condition_a,condition_b,comparison,pca_components_mean,pca_components_std,explained_variance_ratio_mean,explained_variance_ratio_std,rbf_bandwidth_mean,rbf_bandwidth_std,swd_mean_mean,swd_mean_std,swd_std_mean,swd_std_std,linear_mmd2_mean_mean,linear_mmd2_mean_std,linear_mmd2_std_mean,linear_mmd2_std_std,feature_frechet_mean_mean,feature_frechet_mean_std,feature_frechet_std_mean,feature_frechet_std_std,c2st_auc_mean_mean,c2st_auc_mean_std,c2st_auc_std_mean,c2st_auc_std_std,swd_mean_excess_over_split_null_mean,swd_mean_excess_over_split_null_std,linear_mmd2_mean_excess_over_split_null_mean,linear_mmd2_mean_excess_over_split_null_std,feature_frechet_mean_excess_over_split_null_mean,feature_frechet_mean_excess_over_split_null_std,c2st_auc_mean_excess_over_split_null_mean,c2st_auc_mean_excess_over_split_null_std,seed_count
baseline,baseline,within_condition_split,128.0,0.0,0.6271432936191559,0.00048135915684292076,10.863249411729859,0.13258106747169573,0.11543435746459779,0.003928038579628088,0.0101533892973965,0.0018061555656640857,0.0008321621678,0.0007033633380182354,0.006393743484260949,0.0016467774233216517,13.913841897328847,0.48378200880062266,0.6608029283166568,0.44954567204706586,0.5279111111111111,0.011942247860039515,0.01387743031780735,0.0032622462522816443,,,,,,,,,2
factorized_g1_r1p5,factorized_g1_r1p5,within_condition_split,128.0,0.0,0.6271432936191559,0.00048135915684292076,10.863249411729859,0.13258106747169573,0.11620270854227274,0.002103907000829162,0.0037126100300573,0.0016019974599033736,0.002158886040161,0.003584144668203071,0.0040107816630797,0.00032743909101632155,14.964655387762132,0.41370348315388045,0.5492276222537373,0.013598119409840334,0.5243037037037037,0.0027341462205881144,0.0262100804359457,0.0028773260056153254,,,,,,,,,2
factorized_g1p5_r1p35,factorized_g1p5_r1p35,within_condition_split,128.0,0.0,0.6271432936191559,0.00048135915684292076,10.863249411729859,0.13258106747169573,0.11467755422427135,0.0016278470639740357,0.0044846320951132,0.001853999014680416,-0.00236312386549775,0.00016210545052008162,0.005438684574250251,0.00019675799400648854,15.1682600090436,0.6242757205351197,0.41146425243419105,0.09033833614061179,0.5213407407407408,0.0035931500140294072,0.014589230474367849,0.002237333918765771,,,,,,,,,2
factorized_g2_r1p35,factorized_g2_r1p35,within_condition_split,128.0,0.0,0.6271432936191559,0.00048135915684292076,10.863249411729859,0.13258106747169573,0.1144778847966773,0.0014045633405379316,0.00363158931146135,0.00013198963964966939,-3.145690066209993e-05,0.0022450596752612525,0.0048110401039039,0.00029907479305902506,15.17854228331072,0.16710636753370087,0.3804937168554329,0.1829526553558129,0.5292222222222223,0.010318521177314733,0.0232518692437632,0.0005108705636668162,,,,,,,,,2
factorized_g2p5_r1p35,factorized_g2p5_r1p35,within_condition_split,128.0,0.0,0.6271432936191559,0.00048135915684292076,10.863249411729859,0.13258106747169573,0.11396469244104085,0.0020798844324012356,0.0047695945325051505,0.003052937592470256,0.0016478906278372001,0.004836269986840228,0.0044205299225256005,0.0005379353182651059,14.77694677623046,0.5662068460965515,0.5092904076242422,0.13356909007064077,0.5253851851851852,0.0027550975326231337,0.0235451020432594,0.0012910749491895385,,,,,,,,,2
factorized_g3_r1,factorized_g3_r1,within_condition_split,128.0,0.0,0.6271432936191559,0.00048135915684292076,10.863249411729859,0.13258106747169573,0.1146178806010153,0.0001855367176748782,0.0034004819035017998,0.0009494958132938254,0.0028254061403089,0.007141531841623457,0.0070243937469725,0.00017644602684553317,14.626082326535027,0.1492283497976406,0.6384242709979464,0.04924917418163728,0.5197333333333334,0.0018437154590938017,0.02065102779721625,0.006346832509776574,,,,,,,,,2
closed_g3,closed_g3,within_condition_split,128.0,0.0,0.6271432936191559,0.00048135915684292076,10.863249411729859,0.13258106747169573,0.1139852945591809,0.003197050738129744,0.0031551726074552497,0.0008190611318006245,-0.004720222130493,0.0011318336693795041,0.00551747006629295,0.0012084677312862782,14.01605088285859,0.6040546011073167,0.6059656739245569,0.2342999243440847,0.5180518518518518,0.007615801924779638,0.0077607610373895,0.004203949655024116,,,,,,,,,2
baseline,factorized_g1_r1p5,cross_condition,128.0,0.0,0.6271432936191559,0.00048135915684292076,10.863249411729859,0.13258106747169573,0.15580345513378424,0.0026551619762224215,0.0038834284335206,0.0004952678216433463,0.00704740325302315,0.001715238654410919,0.0054833456773261,0.0011820474132945584,14.804054410958145,0.4626972408005759,0.45089773721221,0.054805905511034696,0.7279037037037037,0.0011627978179512928,0.011912382031803451,0.009194631866409175,0.039984922130348974,0.00036081081400620807,0.00555187914904265,0.00042851534869973437,0.3648057684126549,0.013954494823324008,0.2017962962962963,0.008500994858265127,2
baseline,factorized_g1p5_r1p35,cross_condition,128.0,0.0,0.6271432936191559,0.00048135915684292076,10.863249411729859,0.13258106747169573,0.15020455210371392,0.0006418501926682469,0.006740397837874151,0.0013943636744705953,0.00512461514084395,0.00224989096564206,0.0034425519225135997,0.0012817886543811628,14.198968536871474,0.25451121088350454,0.703105466279244,0.009694735200388837,0.6825111111111111,0.012350798444725083,0.025251153821646298,0.005106465726440122,0.03514859625927933,0.002136092629132832,0.005890095989692826,0.0025205199093911368,-0.34208241631474845,0.29951765378436607,0.15788518518518513,0.008176249521720028,2
baseline,factorized_g2_r1p35,cross_condition,128.0,0.0,0.6271432936191559,0.00048135915684292076,10.863249411729859,0.13258106747169573,0.15827850522515824,0.0032461447282435127,0.0071863598566907,0.005121813541270845,0.005604255870249,0.0014360073107524286,0.0056641979069378505,0.0007065055622092148,15.270347323014363,0.34224390593862297,0.7835484218341984,0.32431704602777484,0.7313777777777777,0.0001257078722108625,0.02549675059104815,0.004967381139584346,0.0433223840945207,0.0005798437681605151,0.00520390323668005,0.0022068554793739366,0.7241552326945788,0.016799717771460273,0.20281111111111105,0.0006861554691514895,2
