scale,region,condition,fid,delta_fid_vs_sit_v,sfid,inception_score
-1.00,beyond_velocity,static_sm1,59.076602729976855,-8.396902744058764,67.6015793185976,27.343564987182617
-0.75,beyond_velocity,static_sm0p75,60.6990750332821,-6.774430440753521,67.6459965906057,27.5307559967041
-0.50,beyond_velocity,static_sm0p5,62.82930690276214,-4.644198571273481,67.88318325304965,27.217201232910156
-0.30,beyond_velocity,static_sm0p3,64.43493867581657,-3.038566798219047,68.12906798973461,26.894367218017578
-0.20,beyond_velocity,static_sm0p2,65.26609617065145,-2.207409303384169,68.33048651302443,26.917043685913086
-0.10,beyond_velocity,static_sm0p1,66.24979585721263,-1.223709616822987,68.55417044965066,26.96880531311035
-0.05,beyond_velocity,static_sm0p05,66.87380858503582,-0.5996968890008008,68.72518955920953,26.864551544189453
0.00,interpolation,static_s0,67.47350547403562,0.0,68.87111998497335,26.670499801635742
0.10,interpolation,static_s0p1,68.18987275457931,0.716367280543688,68.94540351186822,26.310457229614258
0.25,interpolation,static_s0p25,69.6031378425447,2.1296323685090806,69.26190914951849,25.58684730529785
0.50,interpolation,static_s0p5,71.93677192689279,4.463266452857169,69.58182031394233,24.89967155456543
0.75,interpolation,static_s0p75,74.2442505640002,6.770745089964579,69.81154899743774,24.404293060302734
1.00,interpolation,static_s1,75.94900298942218,8.475497515386564,69.81971644090311,23.91725730895996
1.25,beyond_x,static_s1p25,77.48313952496534,10.009634050929721,69.64941790555963,23.367286682128906
1.50,beyond_x,static_s1p5,79.00045243410108,11.52694696006546,69.37209164647027,22.924989700317383
