arm,repeat,seconds
mlp,1,1.7442734730429947
mlp,2,1.6668759561143816
mlp,3,1.661970135755837
native_fresh,1,1.708923182450235
native_fresh,2,1.6829064642079175
native_fresh,3,1.6529088830575347
native_base,1,1.6987139810808003
native_base,2,1.7235070457682014
native_base,3,1.6375324949622154
adg,1,1.7338768192566931
adg,2,1.751413564197719
adg,3,1.6894006188958883
strong,1,1.6990794106386602
strong,2,1.6596937710419297
strong,3,1.6385376979596913
cfg_reference,1,3.3620532071217895
cfg_reference,2,3.256496359128505
cfg_reference,3,3.257756787352264
