direction,state,alpha,m,h,predicted_coefficient,estimated_coefficient,raw_error,corrected_error
1,0,0.25,1,0.08,0.09375,0.08648387060938563,0.0002827923860501412,2.4677020628722876e-05
1,0,0.25,1,0.04,0.09375,0.0900141143512641,7.356741325857616e-05,3.1489479770652257e-06
1,0,0.25,1,0.02,0.09375,0.09185664525551547,1.876751947703324e-05,3.9770569069718203e-07
1,0,0.25,1,0.01,0.09375,0.0927970079214309,4.739868046535642e-06,4.9970419957642217e-08
1,0,0.25,1,0.005,0.09375,0.09327193017663864,1.1910289448738363e-06,6.262427773213945e-09
1,0,0.25,2,0.08,0.109375,0.10046399707752637,0.00032848354310341637,2.990523594188946e-05
1,0,0.25,2,0.04,0.109375,0.10478987624406014,8.564220369189029e-05,3.825123238888912e-06
1,0,0.25,2,0.02,0.109375,0.10705024509405507,2.187169728200133e-05,4.836691469911027e-07
1,0,0.25,2,0.01,0.109375,0.10820460268210241,5.526849751167547e-06,6.08067116045475e-08
1,0,0.25,2,0.005,0.109375,0.10878780004976388,1.3891574082886272e-06,7.622666008263089e-09
1,0,0.5,1,0.08,0.125,0.1133877478390119,0.00037081204399574665,3.94056339866786e-05
1,0,0.5,1,0.04,0.125,0.11900420878752012,9.726269920784801e-05,5.044439109728382e-06
1,0,0.5,1,0.02,0.125,0.12195524031665471,2.491716221785153e-05,6.381339864769857e-07
1,0,0.5,1,0.01,0.125,0.12346597575551918,6.30637764994957e-06,8.024464150834781e-08
1,0,0.5,1,0.005,0.125,0.12423008590518529,1.5863471480799405e-06,1.0060568441070609e-08
1,0,0.5,2,0.08,0.1875,0.16928109838702757,0.0005534833936818229,6.055647880947488e-05
1,0,0.5,2,0.04,0.1875,0.17809322814556283,0.00014555031864219218,7.780499694863682e-06
1,0,0.5,2,0.02,0.1875,0.1827225631476493,3.733242845489294e-05,9.85982912386694e-07
1,0,0.5,2,0.01,0.1875,0.1850928082566476,9.454123538429804e-06,1.2409307497693816e-07
1,0,0.5,2,0.005,0.1875,0.18629179104980023,2.3788383631091643e-06,1.5564646155393e-08
1,0,1.0,1,0.08,0.0,-0.006810263589100478,2.6347746099637456e-05,2.6347746099637456e-05
1,0,1.0,1,0.04,0.0,-0.003657010976291403,3.3668990898862284e-06,3.3668990898862284e-06
1,0,1.0,1,0.02,0.0,-0.0018908029214991264,4.2658043204579894e-07,4.2658043204579894e-07
1,0,1.0,1,0.01,0.0,-0.000960895980256735,5.371237451700187e-08,5.371237451700187e-08
1,0,1.0,1,0.005,0.0,-0.00048431188320566655,6.739380048500255e-09,6.739380048500255e-09
1,0,1.0,2,0.08,0.25,0.2165422291542912,0.0007080568943659622,0.00011057441532869535
1,0,1.0,2,0.04,0.25,0.2325856678732457,0.0001900859642534191,1.4325388424539412e-05
1,0,1.0,2,0.02,0.25,0.2411215464737688,4.926403288286586e-05,1.8228907183687991e-06
1,0,1.0,2,0.01,0.25,0.24551797439385822,1.2540502740295922e-05,2.2989510669434382e-07
1,0,1.0,2,0.005,0.25,0.24774829139889631,3.1636021405121617e-06,2.8864582889283377e-08
1,0,1.5,1,0.08,-0.375,-0.35130752796766523,0.001148568926517568,7.971440961320264e-05
1,0,1.5,1,0.04,-0.375,-0.3631674436033721,0.00029680342387377906,9.897506208144152e-06
1,0,1.5,1,0.02,-0.375,-0.36908747554477805,7.5408916992106e-05,1.2333011472453108e-06
1,0,1.5,1,0.01,-0.375,-0.372044770272212,1.900320243957694e-05,1.5392570151099793e-07
1,0,1.5,1,0.005,-0.375,-0.3735226584394395,4.769667846943763e-06,1.922604242528343e-08
1,0,1.5,2,0.08,0.1875,0.1507276276542353,0.0004933685981077837,0.00012282249328679262
1,0,1.5,2,0.04,0.1875,0.16811993299114392,0.00013741736440704328,1.6032947136517207e-05
1,0,1.5,2,0.02,0.1875,0.1775612039781108,3.627866107383566e-05,2.0486295706049912e-06
1,0,1.5,2,0.01,0.1875,0.18246839219646632,9.320112549487603e-06,2.5891566554738916e-07
1,0,1.5,2,0.005,0.1875,0.18496864271552363,2.361944654554426e-06,3.2543372699771864e-08
1,0,2.0,1,0.08,-1.0,-0.9111072321888205,0.002978567675482055,0.00029247683873878276
1,0,2.0,1,0.04,-1.0,-0.9547830564269612,0.0007802993283564188,3.716138591430154e-05
1,0,2.0,1,0.02,-1.0,-0.9772020332911903,0.00019965336788645082,4.6822927060744005e-06
1,0,2.0,1,0.01,-1.0,-0.9885542551649064,5.049307847329351e-05,5.875798937133559e-07
1,0,2.0,1,0.005,-1.0,-0.9942655285313884,1.2696192767370581e-05,7.358979469236824e-08
1,0,2.0,2,0.08,0.0,-0.01952250301391666,7.932318457802986e-05,7.932318457802986e-05
1,0,2.0,2,0.04,0.0,-0.010738186178885247,1.0074387050083278e-05,1.0074387050083278e-05
1,0,2.0,2,0.02,0.0,-0.005613432287579281,1.276793575987197e-06,1.276793575987197e-06
1,0,2.0,2,0.01,0.0,-0.00286784584788919,1.6091341219658215e-07,1.6091341219658215e-07
1,0,2.0,2,0.005,0.0,-0.001449212749163147,2.0202945571236152e-08,2.0202945571236152e-08
1,1,0.25,1,0.08,0.09375,0.08153478925766515,0.00011267520250155395,2.58070850127336e-05
1,1,0.25,1,0.04,0.09375,0.08778149561070292,2.9955628487930973e-05,3.1586856280603827e-06
1,1,0.25,1,0.02,0.09375,0.0907995671179737,7.726878767700543e-06,3.9073002739924104e-07
1,1,0.25,1,0.01,0.09375,0.09228311942376109,1.962159619799465e-06,4.858758815619066e-08
1,1,0.25,1,0.005,0.09375,0.09301862883352954,4.943822528551062e-07,6.057686184700161e-09
1,1,0.25,2,0.08,0.109375,0.09507765612844651,0.0001312355314930163,2.9457530684726865e-05
1,1,0.25,2,0.04,0.109375,0.10236812423357164,3.492423709901655e-05,3.606588836688024e-06
1,1,0.25,2,0.02,0.109375,0.10590575887602859,9.011835162667687e-06,4.4622935624461246e-07
1,1,0.25,2,0.01,0.109375,0.10764877314286103,2.288836040996811e-06,5.549559107915401e-08
1,1,0.25,2,0.005,0.109375,0.10851396561619582,5.767358928903063e-07,6.9193830166111436e-09
1,1,0.5,1,0.08,0.125,0.10455017523118734,0.00014620773953002002,4.378404066728381e-05
1,1,0.5,1,0.04,0.125,0.11506360551230348,3.9355698758198084e-05,5.34409755529691e-06
1,1,0.5,1,0.02,0.125,0.12010199395239167,1.0225614161567607e-05,6.601428093826415e-07
1,1,0.5,1,0.01,0.125,0.12256830421597445,2.6064034693977535e-06,8.203183957274993e-08
1,1,0.5,1,0.005,0.125,0.12378844895228454,6.579388304053948e-07,1.0223785776996869e-08
1,1,0.5,2,0.08,0.1875,0.1587481690224285,0.0002202916980121702,5.8390010669338414e-05
1,1,0.5,2,0.04,0.1875,0.17342347824836848,5.9224553485581946e-05,7.135880297147415e-06
1,1,0.5,2,0.02,0.1875,0.1805334717384356,1.5365432207362788e-05,8.821391422147646e-07
1,1,0.5,2,0.01,0.1875,0.18403428352261994,3.913146126192196e-06,1.0966233330142452e-07
1,1,0.5,2,0.005,0.1875,0.1857714807377522,9.873602321231321e-07,1.3670295737718613e-08
1,1,1.0,1,0.08,0.0,-0.021200529366277896,5.213594676558018e-05,5.213594676558018e-05
1,1,1.0,1,0.04,0.0,-0.009953175743033966,6.297042496688172e-06,6.297042496688172e-06
1,1,1.0,1,0.02,0.0,-0.004818442360472827,7.737673201046208e-07,7.737673201046208e-07
1,1,1.0,1,0.01,0.0,-0.0023701310163603663,9.58976491080537e-08,9.58976491080537e-08
1,1,1.0,1,0.005,0.0,-0.0011753482961300752,1.1936123274931797e-08,1.1936123274931797e-08
1,1,1.0,2,0.08,0.25,0.19580335577886707,0.00027868671311217304,0.00011015718341712128
1,1,1.0,2,0.04,0.25,0.2235931074319685,7.669953177822938e-05,1.3399512979390799e-05
1,1,1.0,2,0.02,0.25,0.23696113608595526,2.0187045089130307e-05,1.652707085552781e-06
1,1,1.0,2,0.01,0.25,0.24352069683426372,5.1791332137680134e-06,2.0522654252618946e-07
1,1,1.0,2,0.005,0.25,0.2467702545964978,1.3116316997938244e-06,2.5569059000043766e-08
1,1,1.5,1,0.08,-0.375,-0.3697846102007853,0.0005037784946889066,2.6905524953780204e-05
1,1,1.5,1,0.04,-0.375,-0.3712382091873623,0.00012631166641381835,3.4211858738764884e-06
1,1,1.5,1,0.02,-0.375,-0.3728346739539897,3.170613127134202e-05,4.3320265394599935e-07
1,1,1.5,1,0.01,-0.375,-0.37384672431159705,7.947590741459327e-06,5.4553421681444925e-08
1,1,1.5,1,0.005,-0.375,-0.374405769840005,1.989840726892594e-06,6.8460469052763765e-09
1,1,1.5,2,0.08,0.1875,0.1189500112403201,0.00019733163136511955,0.00014644783331548765
1,1,1.5,2,0.04,0.1875,0.15448098747604178,5.4291656221308994e-05,1.7685454689702482e-05
1,1,1.5,2,0.02,0.1875,0.1712900726059225,1.4662136304149235e-05,2.1734552984864284e-06
