model,method,alpha,arm,status,reused,samples,fid,is_score,mean_term,covariance_term,arithmetic_error,sum_batch_gpu_seconds,full_calls_per_image,prefix_calls_per_image,sample_path,sample_sha256
sit_xl,ig,0.0,ig_a0.000,complete,False,1000,48.01338382150328,40.8634090423584,3.8420755818753136,44.171337267510296,2.9027882327170573e-05,890.7053871504031,100.0,0.0,/home/zhoushunyu/data/eqvae/experiments/lifting_wide_scale_20260909/sit_xl/ig_a0.000/samples.npz,48c4f27d0aff4062139b146aff960698e3604be39bc7b25801daaa398d157f16
sit_xl,ig,0.25,ig_a0.250,complete,False,1000,43.548706778288874,46.56610260009766,1.756463654762458,41.79227145797296,2.8334446540156932e-05,893.2290911460295,100.0,0.0,/home/zhoushunyu/data/eqvae/experiments/lifting_wide_scale_20260909/sit_xl/ig_a0.250/samples.npz,e77b6af860d339642a215c36e64b0c63041bd250b448ad3aff196655713d0d91
sit_xl,ig,0.35,ig_a0.350,complete,False,1000,42.212951488942224,48.03421287536621,1.2628858998607508,40.95009373035566,2.8141274185600196e-05,894.0406301924959,100.0,0.0,/home/zhoushunyu/data/eqvae/experiments/lifting_wide_scale_20260909/sit_xl/ig_a0.350/samples.npz,b6177af4dd7bb48a5052c5f183273a80513fd8c593efc763ca3442ac8487a30a
sit_xl,ig,0.5,ig_a0.500,complete,False,1000,40.479076311651,49.18966445922852,0.7230076254281107,39.75609602869622,2.734247333080475e-05,894.6650875182822,100.0,0.0,/home/zhoushunyu/data/eqvae/experiments/lifting_wide_scale_20260909/sit_xl/ig_a0.500/samples.npz,5ba46cfeb0328ea93b2d55b570a5d6c9af8258ab5545d2961a137b29b0396193
sit_xl,ig,1.0,ig_a1.000,complete,False,1000,38.19028621446495,55.296378707885744,0.2499031669510572,37.940408358255524,2.5310741634143596e-05,900.7290528453887,100.0,0.0,/home/zhoushunyu/data/eqvae/experiments/lifting_wide_scale_20260909/sit_xl/ig_a1.000/samples.npz,a12ae3fce25ace361d5100b73ba94369e2161e827425ced3ec63a8906ebe19b3
sit_xl,ig,1.5,ig_a1.500,complete,False,1000,38.057372334580236,56.85202522277832,0.33243648365334094,37.724960252918095,2.4401991197464667e-05,890.2432155241258,100.0,0.0,/home/zhoushunyu/data/eqvae/experiments/lifting_wide_scale_20260909/sit_xl/ig_a1.500/samples.npz,071df3086d6152c4875e38ff33cd48d951b4e3047f9baf6e173a96ee7588c9fa
sit_xl,ig,2.0,ig_a2.000,complete,False,1000,38.615971002977176,56.98322372436523,0.4928359889216446,38.12315838519277,2.3371137238825668e-05,894.3549556327052,100.0,0.0,/home/zhoushunyu/data/eqvae/experiments/lifting_wide_scale_20260909/sit_xl/ig_a2.000/samples.npz,31940f3db36bae5403ec7c78ab49afaf7d0e0410223addf11df5701af1fc9c26
sit_xl,lifting,0.25,lifting_a0.250,complete,False,1000,43.18441392150504,47.210377883911136,1.5923637487222324,41.59207849010693,2.8317324122895116e-05,3163.51876155613,300.0,200.0,/home/zhoushunyu/data/eqvae/experiments/lifting_wide_scale_20260909/sit_xl/lifting_a0.250/samples.npz,8e115c28296e9af7c571affcd3c87fc5c3d02e1243b03e292b9eee7f32dc89ff
sit_xl,lifting,0.35,lifting_a0.350,complete,False,1000,41.55014753176988,47.991162872314455,1.0975155853702094,40.45265961268535,2.7666285681959835e-05,3165.0613311068155,300.0,200.0,/home/zhoushunyu/data/eqvae/experiments/lifting_wide_scale_20260909/sit_xl/lifting_a0.350/samples.npz,147cce4b6024c128302eada6f170c4518d94eadb26ec404caf3527b0bc467219
sit_xl,lifting,0.5,lifting_a0.500,complete,False,1000,40.309155733480054,50.19006881713867,0.6598257442609318,39.649357391717274,2.7402498155026933e-05,3185.9533807435073,300.0,200.0,/home/zhoushunyu/data/eqvae/experiments/lifting_wide_scale_20260909/sit_xl/lifting_a0.500/samples.npz,ba235028cf5834100b9102050c707def903df8245f0cc2a89644d2d561a1631c
sit_xl,lifting,1.0,lifting_a1.000,complete,False,1000,38.20819063305521,54.92332763671875,0.25948105036571234,37.94873463068967,2.5048000175331708e-05,3178.6580627453513,300.0,200.0,/home/zhoushunyu/data/eqvae/experiments/lifting_wide_scale_20260909/sit_xl/lifting_a1.000/samples.npz,59b20a6d0a03ee2663a2971812cbfb2b15e767717d3aa58457738ad230ad01c0
sit_xl,lifting,1.5,lifting_a1.500,complete,False,1000,38.06559167579633,56.66005630493164,0.35479817467361824,37.71081762606144,2.4124938732938972e-05,3170.9326848746277,300.0,200.0,/home/zhoushunyu/data/eqvae/experiments/lifting_wide_scale_20260909/sit_xl/lifting_a1.500/samples.npz,89851ed420ab6da9280dce5d41477d490811148228bf786cc5de06efeb57cfa3
sit_xl,lifting,2.0,lifting_a2.000,complete,False,1000,38.381284720088786,56.91610679626465,0.5209963507141786,37.860311153456905,2.278408229727802e-05,3170.9159998991527,300.0,200.0,/home/zhoushunyu/data/eqvae/experiments/lifting_wide_scale_20260909/sit_xl/lifting_a2.000/samples.npz,dd75c02eb66fae952cea124f114a30072194259599c301075ac051863df1ca96
raev2,ig,0.0,ig_a0.000,complete,False,1000,38.874133972672894,56.43095245361328,0.26968447870811857,38.60447375115871,2.425719393528425e-05,799.4316877587698,100.0,0.0,/home/zhoushunyu/data/eqvae/experiments/lifting_wide_scale_20260909/raev2/ig_a0.000/samples.npz,50086f4b301bdd6a8e983e2fb931cc07ec2a9f42105afcc65fe23d6dc3c31d4c
raev2,ig,0.25,ig_a0.250,complete,False,1000,38.70297738644109,57.970418548583986,0.22151981896720396,38.48148177831871,2.421084482051583e-05,797.6083996356465,100.0,0.0,/home/zhoushunyu/data/eqvae/experiments/lifting_wide_scale_20260909/raev2/ig_a0.250/samples.npz,933a6c6d133b1800501879e38b848ebfbef7fe5e993f02cc3230445ed4fc6ec7
