split,condition,generated_count,reference_count,baseline_mean_error,candidate_mean_error,residual_shift_inner_product,shift_energy,residual_shift_cosine,mean_error_improvement,benefit_margin_ratio
full,time_only,1000,5000,7.554505486660274,5.42233098602631,1.36332169866881,0.5944688967036574,0.6433254880577598,2.1321745006339623,4.586688071414526
full,projected_temporal_parallel,1000,5000,7.554505486660274,5.427261477174065,1.347290939558042,0.567337869629876,0.6507849215500024,2.127244009486208,4.7495188023919415
full,projected_temporal_orthogonal,1000,5000,7.554505486660274,5.359983230612521,1.4051157104651224,0.6157091648824933,0.6515102610186376,2.1945222560477515,4.564218922202613
full,projected,1000,5000,7.554505486660274,5.3586936706326815,1.3956745030040287,0.5955371899804669,0.6580011921389642,2.1958118160275903,4.687111154384181
even_split_half,time_only,500,2500,7.63357507779277,5.48508708978081,1.4273751999058604,0.7062624117997615,0.6147394858453059,2.148487988011959,4.042053423934864
even_split_half,projected_temporal_parallel,500,2500,7.63357507779277,5.518378105482519,1.3943058707289127,0.6734147691475736,0.6149683243587184,2.115196972310252,4.141001755853565
even_split_half,projected_temporal_orthogonal,500,2500,7.63357507779277,5.359304699207804,1.5045443318894551,0.7348182851939443,0.6352592841367934,2.274270378584966,4.095010595694017
even_split_half,projected,500,2500,7.63357507779277,5.401514262692755,1.4713728112401327,0.71068480738025,0.6317135905145519,2.2320608151000156,4.140718349288924
odd_split_half,time_only,500,2500,7.852408007099429,5.766760209135874,1.4034936646430536,0.7213395313225507,0.5897109082808739,2.0856477979635564,3.8913538041365827
odd_split_half,projected_temporal_parallel,500,2500,7.852408007099429,5.7454372209502065,1.4034627933083725,0.6999548004675226,0.5986382696401658,2.1069707861492226,4.010152633772792
odd_split_half,projected_temporal_orthogonal,500,2500,7.852408007099429,5.762146168196239,1.4115003366793608,0.7327388344555303,0.5884437477255295,2.0902618389031913,3.852669656107941
odd_split_half,projected,500,2500,7.852408007099429,5.718151251470751,1.425277168137534,0.7162975806463887,0.600967736813911,2.1342567556286793,3.97956717053647
