case,time,future_time,samples,quadrature_order,current_signal,future_signal,channel_signal,current_score_rms,conditional_identity_residual_rms,conditional_identity_residual_max_abs,degree1_fixed_coordinate_defect_rms,degree2_fixed_coordinate_defect_rms,normalized_information_innovation_rms
location,0.02,0.051250000000000004,4096,80,0.020403914662519312,0.053939804678204945,0.378271941922025,0.030605871993778948,2.5566259675101732e-17,3.8163916471489756e-17,2.5754936778987278e-17,0.019028529360475263,1.2622546802892415e-15
location,0.05,0.08125,4096,80,0.052558833122763673,0.08809157108761728,0.5966386167694503,0.07883824968414554,2.05598581842311e-17,2.7755575615628914e-17,4.809997901546763e-17,0.03180030544407242,9.151645148422279e-16
location,0.1,0.13125,4096,80,0.11043152607484655,0.1493839184978039,0.7392464141076203,0.1656472891122698,5.84134484688147e-17,1.6653345369377348e-16,4.1795677346706384e-17,0.04319312462937612,3.7847595548375167e-16
location,0.2,0.23125,4096,80,0.24253562503633294,0.28806206817599733,0.8419561331766559,0.36380343755449934,7.18445733109655e-17,3.3306690738754696e-16,4.4413664116213875e-17,0.05749690203473812,1.831222283718547e-16
location,0.4,0.43125,4096,80,0.5547001962252291,0.6041948133581437,0.9180816914699729,0.8320502943378436,2.5961804544845695e-16,4.440892098500626e-16,1.4517884084427667e-16,0.06816015272406727,2.6172487738823256e-16
covariance,0.02,0.051250000000000004,4096,80,0.020403914662519312,0.053939804678204945,0.378271941922025,0.0006282821823594156,1.0981941229489267e-16,5.130444680201407e-16,0.0010264605816062478,2.3394236527050243e-06,0.05030704149590424
covariance,0.05,0.08125,4096,80,0.052558833122763673,0.08809157108761728,0.5966386167694503,0.00415863023067118,4.668878038137878e-17,2.220446049250313e-16,0.0027598183649128792,3.081663041136104e-05,0.05250912550639521
covariance,0.1,0.13125,4096,80,0.11043152607484655,0.1493839184978039,0.7392464141076203,0.018107649604780528,5.0431028601733445e-17,2.706168622523819e-16,0.006027289301922334,0.0002659825632939489,0.05457942596788215
covariance,0.2,0.23125,4096,80,0.24253562503633294,0.28806206817599733,0.8419561331766559,0.08445109224618981,6.060956625946736e-17,3.608224830031759e-16,0.012620215751766056,0.002721309121830701,0.05203448256261525
covariance,0.4,0.43125,4096,80,0.5547001962252291,0.6041948133581437,0.9180816914699729,0.3886109440904438,1.1504553993271478e-16,6.661338147750939e-16,0.011141995375160382,0.02160508925576823,0.020086517818061693
symmetric_bimodal,0.02,0.051250000000000004,4096,80,0.020403914662519312,0.053939804678204945,0.378271941922025,0.0013578779483258891,1.140444593558475e-16,9.237402509576498e-16,0.0022052512750739568,1.5761622363284613e-05,0.10807981270010222
symmetric_bimodal,0.05,0.08125,4096,80,0.052558833122763673,0.08809157108761728,0.5966386167694503,0.008892069984161454,9.989023560553577e-17,7.147060721024445e-16,0.005797474660266087,0.00020254819039689154,0.11030447815926019
symmetric_bimodal,0.1,0.13125,4096,80,0.11043152607484655,0.1493839184978039,0.7392464141076203,0.039073327963758925,1.0172276977240109e-16,6.38378239159465e-16,0.012487231177519905,0.0016073986407246254,0.11307668762139994
symmetric_bimodal,0.2,0.23125,4096,80,0.24253562503633294,0.28806206817599733,0.8419561331766559,0.17942109381422097,1.278033279982749e-16,1.1657341758564144e-15,0.026975620333665844,0.01158103635456157,0.11122333195226382
symmetric_bimodal,0.4,0.43125,4096,80,0.5547001962252291,0.6041948133581437,0.9180816914699729,0.8224681036211388,2.38998243478583e-16,9.992007221626409e-16,0.07606768153700053,0.050192461326676714,0.13713296309366038
skewed_mixture,0.02,0.051250000000000004,4096,80,0.020403914662519312,0.053939804678204945,0.378271941922025,0.0008710587153042535,1.216727294897885e-16,7.699326202634249e-16,0.0007219481911329204,0.0004763451761940342,0.03538282741689236
skewed_mixture,0.05,0.08125,4096,80,0.052558833122763673,0.08809157108761728,0.5966386167694503,0.0034109240670723807,1.1507370915267224e-16,9.246076126956382e-16,0.001880046828336427,0.0007983998132837288,0.03577033043989257
skewed_mixture,0.1,0.13125,4096,80,0.11043152607484655,0.1493839184978039,0.7392464141076203,0.013332162092334452,1.0323310704386035e-16,6.036837696399289e-16,0.004323407745761802,0.0011333208881931474,0.03915012224707961
skewed_mixture,0.2,0.23125,4096,80,0.24253562503633294,0.28806206817599733,0.8419561331766559,0.059510719100551224,1.0996219720259817e-16,8.326672684688674e-16,0.01003034625388989,0.0024301298196309482,0.04135617706630644
skewed_mixture,0.4,0.43125,4096,80,0.5547001962252291,0.6041948133581437,0.9180816914699729,0.2966176575527883,1.569217568873907e-16,8.881784197001252e-16,0.02374090371502644,0.013874388862617075,0.04279952283519067
