case,time,future_time,samples,quadrature_order,ou_delta,finite_defect_rms,integrated_shape_operator_rms,identity_residual_rms,identity_residual_max_abs,finite_integrated_cosine
location,0.02,0.051250000000000004,4096,48,0.9721419189491388,2.5754936778987278e-17,1.1922291905114404e-16,1.182793503706437e-16,1.802946401624897e-15,nan
location,0.05,0.08125,4096,48,0.5164436809214191,4.809997901546763e-17,8.20425610372884e-17,1.0087521247477973e-16,1.517005309564708e-15,nan
location,0.1,0.13125,4096,48,0.3021239709780953,4.1795677346706384e-17,5.468563371174754e-17,7.227502363911189e-17,1.1263704850426463e-15,nan
location,0.2,0.23125,4096,48,0.17202736446199407,4.4413664116213875e-17,2.6947254882106877e-17,5.2420256398336893e-17,4.854320471502925e-16,nan
location,0.4,0.43125,4096,48,0.08546890379150879,1.4517884084427667e-16,1.653703197982363e-17,1.441763585642337e-16,3.9157251154373237e-16,nan
covariance,0.02,0.051250000000000004,4096,48,0.9721419189491388,0.0010264605816062478,0.0010264605816061503,1.725567998157682e-16,3.2291877505308264e-15,1.0
covariance,0.05,0.08125,4096,48,0.5164436809214191,0.0027598183649128792,0.0027598183649128532,9.604632341763789e-17,1.1362438767648086e-15,0.9999999999999999
covariance,0.1,0.13125,4096,48,0.3021239709780953,0.006027289301922334,0.006027289301922313,7.856764138067814e-17,1.2698175844150228e-15,1.0
covariance,0.2,0.23125,4096,48,0.17202736446199407,0.012620215751766056,0.012620215751766101,7.856294395317311e-17,7.424616477180734e-16,1.0
covariance,0.4,0.43125,4096,48,0.08546890379150879,0.011141995375160382,0.01114199537516048,1.1298924470614934e-16,6.487865800153259e-16,1.0
symmetric_bimodal,0.02,0.051250000000000004,4096,48,0.9721419189491388,0.0022052512750739568,0.002205251275073879,1.8355421534094024e-16,3.04790914729125e-15,1.0
symmetric_bimodal,0.05,0.08125,4096,48,0.5164436809214191,0.005797474660266087,0.0057974746602660766,1.3575683649116813e-16,1.375635716449608e-15,1.0
symmetric_bimodal,0.1,0.13125,4096,48,0.3021239709780953,0.012487231177519905,0.012487231177519898,1.3076394273695546e-16,1.6410484082740595e-15,1.0
symmetric_bimodal,0.2,0.23125,4096,48,0.17202736446199407,0.026975620333665844,0.026975620333665812,1.518186338499657e-16,1.614160194396419e-15,0.9999999999999999
symmetric_bimodal,0.4,0.43125,4096,48,0.08546890379150879,0.07606768153700053,0.07606768153700043,2.1360307764983907e-16,1.1934897514720433e-15,1.0
skewed_mixture,0.02,0.051250000000000004,4096,48,0.9721419189491388,0.0007219481911329204,0.0007219481911328505,1.7177465703774487e-16,1.9812710500000108e-15,1.0
skewed_mixture,0.05,0.08125,4096,48,0.5164436809214191,0.001880046828336427,0.0018800468283363772,1.4105635500631997e-16,1.4823212102221817e-15,1.0
skewed_mixture,0.1,0.13125,4096,48,0.3021239709780953,0.004323407745761802,0.004323407745761796,1.299033078729878e-16,8.777700788442644e-16,1.0000000000000002
skewed_mixture,0.2,0.23125,4096,48,0.17202736446199407,0.01003034625388989,0.010030346253889892,1.3051067304034778e-16,1.0200174038743626e-15,1.0
skewed_mixture,0.4,0.43125,4096,48,0.08546890379150879,0.02374090371502644,0.023740903715026438,1.704964736304715e-16,9.575673587391975e-16,0.9999999999999998
