time,future_time,metric,samples,samples_per_class,total_energy,class_constant_energy,state_varying_energy,class_constant_fraction,recomposition_error,unbiased_class_constant_energy,unbiased_state_varying_energy,unbiased_class_constant_fraction,unbiased_recomposition_error
0.02,0.051250000000000004,raw_revision,12800,128,0.012939054877465708,0.001550991102304207,0.011388063775161501,0.11986896392296545,0.0,0.0014613213087989983,0.01147773356866671,0.1129387982845636,0.0
0.02,0.051250000000000004,degree1_defect,12800,128,0.011442865248088107,0.0018240134406304598,0.009618851807457647,0.15940181074274373,0.0,0.0017482744500205572,0.00969459079806755,0.15278292736276536,0.0
0.02,0.051250000000000004,degree1_common,12800,128,0.012760102977575023,0.0019575895509668676,0.010802513426608155,0.15341487089933306,0.0,0.0018725303901274335,0.010887572587447587,0.14674884626074514,3.469446951953614e-18
0.02,0.051250000000000004,degree1_unique,12800,128,0.00017895191396998634,5.4723233303595435e-05,0.00012422868066639092,0.30579853598421736,0.0,5.37450547156711e-05,0.00012520685925431526,0.3003323827242506,2.710505431213761e-20
0.02,0.051250000000000004,degree2_defect,12800,128,0.01896720463371522,0.014137627761990618,0.004829576871724601,0.745372237765613,1.734723475976807e-18,0.014099599597646329,0.00486760503606889,0.7433672947558934,1.734723475976807e-18
0.02,0.051250000000000004,degree2_common,12800,128,0.0010969240728933892,0.0002340737026136926,0.0008628503702796968,0.21339097973870647,2.168404344971009e-19,0.00022727960520991546,0.0008696444676834739,0.2071972079256254,1.0842021724855044e-19
0.02,0.051250000000000004,degree2_unique,12800,128,0.01184213080842116,0.0011746471394173405,0.010667483669003818,0.099192211133323,1.734723475976807e-18,0.0010906512050157357,0.010751479603405424,0.09209923641783735,0.0
0.05,0.08125,raw_revision,12800,128,0.0057155447297415575,0.0009480826574262964,0.0047674620723152615,0.1658779175487559,0.0,0.0009105435859907432,0.004805001143750815,0.15931002713575398,8.673617379884035e-19
0.05,0.08125,degree1_defect,12800,128,0.005745991279881405,0.001202011659731354,0.004543979620150051,0.2091913477035703,0.0,0.0011662322926435582,0.004579758987237847,0.20296450792170864,0.0
0.05,0.08125,degree1_common,12800,128,0.00540362295295864,0.0011022666950722244,0.004301356257886418,0.20398660392629753,1.734723475976807e-18,0.001068397748159733,0.004335225204798909,0.19771878190996917,1.734723475976807e-18
