seed,condition,fid,fid_mean_component,fid_covariance_component,sfid,inception_score,noise_sha256,label_sha256
20260904,ordinary_ig,66.9618743749,8.0594043732,58.9024700017,205.7577797860,34.4520645142,60c696d3a05410418335a0be4f7be33c26130b757af3981d1fa60c2a65830389,b26ebd40678f4839bfc1fefee98fe43b8ea0b03fb1f2d9be33333e2ae80efcfc
20260904,ou_d1_common_first,62.0005773748,5.6886487007,56.3119286741,204.4178718422,37.5980110168,60c696d3a05410418335a0be4f7be33c26130b757af3981d1fa60c2a65830389,b26ebd40678f4839bfc1fefee98fe43b8ea0b03fb1f2d9be33333e2ae80efcfc
20260904,ou_d1_unique_first,65.7160352703,7.0346350670,58.6814002033,203.3443785879,36.7043228149,60c696d3a05410418335a0be4f7be33c26130b757af3981d1fa60c2a65830389,b26ebd40678f4839bfc1fefee98fe43b8ea0b03fb1f2d9be33333e2ae80efcfc
20260904,ou_d2_common_first,66.2889071450,7.1472139359,59.1416932092,203.3393018482,36.2630081177,60c696d3a05410418335a0be4f7be33c26130b757af3981d1fa60c2a65830389,b26ebd40678f4839bfc1fefee98fe43b8ea0b03fb1f2d9be33333e2ae80efcfc
20260904,ou_d2_unique_first,64.7667380653,6.7152318954,58.0515061699,204.8064300190,36.1148376465,60c696d3a05410418335a0be4f7be33c26130b757af3981d1fa60c2a65830389,b26ebd40678f4839bfc1fefee98fe43b8ea0b03fb1f2d9be33333e2ae80efcfc
20260905,ordinary_ig,65.9055137508,7.4168205261,58.4886932247,206.1172257998,36.9062652588,9ef3b01f7e58fee4b9fbb2c28d74c59ee44c4014668ee3685f7d4c52989f8d07,2766311f377b86f3fdb52382ae071c375bc0ff46808eebd68c5ae8f436723699
20260905,ou_d1_common_first,62.1511898959,5.7653603554,56.3858295405,204.9531609382,38.4753112793,9ef3b01f7e58fee4b9fbb2c28d74c59ee44c4014668ee3685f7d4c52989f8d07,2766311f377b86f3fdb52382ae071c375bc0ff46808eebd68c5ae8f436723699
20260905,ou_d1_unique_first,63.7827456264,6.5586128235,57.2241328029,202.9103651146,38.1293296814,9ef3b01f7e58fee4b9fbb2c28d74c59ee44c4014668ee3685f7d4c52989f8d07,2766311f377b86f3fdb52382ae071c375bc0ff46808eebd68c5ae8f436723699
20260905,ou_d2_common_first,65.4530720070,6.9589109421,58.4941610649,203.1264837271,36.9784584045,9ef3b01f7e58fee4b9fbb2c28d74c59ee44c4014668ee3685f7d4c52989f8d07,2766311f377b86f3fdb52382ae071c375bc0ff46808eebd68c5ae8f436723699
20260905,ou_d2_unique_first,63.9252105621,6.1643838882,57.7608266739,204.2092728324,37.9399223328,9ef3b01f7e58fee4b9fbb2c28d74c59ee44c4014668ee3685f7d4c52989f8d07,2766311f377b86f3fdb52382ae071c375bc0ff46808eebd68c5ae8f436723699
