step,validation,train
3000,0.3122470306009054,0.28866676020622256
4000,0.2805080975368619,0.2588578646853566
5000,0.26059383638203143,0.24075411785393952
6000,0.24842226716130972,0.22991493609547614
7000,0.24124024962633847,0.2237022293806076
8000,0.23320212796330453,0.21600223957002163
9000,0.23071794778108598,0.21418590516969563
10000,0.22663606536015868,0.2102618427835405
11000,0.22354238963499665,0.20716381032392384
12000,0.22340623307600618,0.2073534051924944
13000,0.2219105298370123,0.2058068070113659
14000,0.22225197806209326,0.20654014433547854
15000,0.21880749198421837,0.2028830598257482
16000,0.21872266958281397,0.20259457982331514
17000,0.21879922004416585,0.20280946395546198
18000,0.21845982509478926,0.20241260582581164
19000,0.2178891714140773,0.20170875274762512
20000,0.21706737130135298,0.20090770944952965
