seed,condition,reference,n,fold,fid,mean_term,generated_covariance_trace,bures_cross_trace,minimum_gram_eigenvalue
20260801,source,historical_adm,5000,-1,6.921716131790049,0.06291666833584574,181.25994307124398,177.504873496019,7.066404303690745e-07
20260801,source,historical_adm,1000,0,39.35598764424458,0.13561950227831826,182.5248145326596,161.95652488747078,4.893632065332247e-17
20260801,source,historical_adm,1000,1,39.33828177974249,0.14589306337869923,183.31698154958167,162.36659810873306,-7.886279079587483e-17
20260801,source,historical_adm,1000,2,40.16969559804551,0.20063095396131964,181.96066064207224,161.30009969111813,-1.3267924085792356e-17
20260801,source,historical_adm,1000,3,38.590761689523674,0.12878877930122773,179.6966653803356,160.9216479271807,1.3969690882591548e-17
20260801,source,historical_adm,1000,4,38.684029746139686,0.14356771269400587,179.08600176243215,160.57707155661734,-1.2265037076242865e-17
20260801,source,current_nanogen,5000,-1,6.824552470442541,0.022729440497958223,181.25994307124398,177.5398259140344,7.045113608175986e-07
20260801,source,current_nanogen,1000,0,39.30529669641646,0.09828320587051323,182.5248145326596,161.96966641444152,-5.574662784568025e-17
20260801,source,current_nanogen,1000,1,39.26075686184856,0.10529690563390591,183.31698154958167,162.3915266900682,-7.502101992404374e-17
20260801,source,current_nanogen,1000,2,40.02304393881792,0.14660733738032955,181.96066064207224,161.352877913702,-1.3288252877076648e-17
20260801,source,current_nanogen,1000,3,38.55746494643364,0.09730510504128757,179.6966653803356,160.9290186628563,3.495186457736458e-17
20260801,source,current_nanogen,1000,4,38.64153719706337,0.10607131849809684,179.08600176243215,160.58603383531812,-1.6066097427045942e-18
20260801,reconstruction,historical_adm,5000,-1,6.882135002390044,0.0774514357554209,178.5162471857272,176.1600835016704,7.162925417603159e-07
20260801,reconstruction,historical_adm,1000,0,39.132144993682346,0.1547050752360726,180.08899667424288,160.86008007002243,-2.6164000708533455e-17
20260801,reconstruction,historical_adm,1000,1,38.7949725725594,0.14095520293549235,179.72955018513304,160.84206809987867,2.5268262896212706e-17
20260801,reconstruction,historical_adm,1000,2,40.0055199817964,0.2233379364824397,180.15160447050425,160.48901290471926,-6.410345344843416e-18
20260801,reconstruction,historical_adm,1000,3,38.18575790515581,0.15649826026508462,177.29211782672814,159.93573078304283,-9.67952194431455e-18
20260801,reconstruction,historical_adm,1000,4,38.39906102506876,0.1749862010173991,175.57005735419327,158.97729295719506,1.2710576406498019e-17
20260801,reconstruction,current_nanogen,5000,-1,6.79015057620154,0.035279257833493845,178.5162471857272,176.19145382706427,7.14290794923301e-07
20260801,reconstruction,current_nanogen,1000,0,39.077217425515016,0.10986197701948808,180.08899667424288,160.87158650625835,-1.376937311757807e-17
20260801,reconstruction,current_nanogen,1000,1,38.71947177179976,0.09580193804853408,179.72955018513304,160.8637060690756,4.2189017036842185e-17
20260801,reconstruction,current_nanogen,1000,2,39.88059163207697,0.17181941705367354,180.15160447050425,160.53218202112515,1.3246960020346756e-17
20260801,reconstruction,current_nanogen,1000,3,38.149878398729356,0.12104609242018449,177.29211782672814,159.94240865359416,3.56423946710495e-17
20260801,reconstruction,current_nanogen,1000,4,38.36413603733638,0.1410923617849728,175.57005735419327,158.98427273270562,-1.291661717091847e-17
20260801,full,historical_adm,5000,-1,7.749291492388011,0.2304322632674994,172.65844079520343,172.87409247516558,7.4928927439062e-07
20260801,full,historical_adm,1000,0,39.934857571728344,0.30718925220285653,172.9592200687898,156.97007756675626,-5.1585788795444586e-17
20260801,full,historical_adm,1000,1,39.52265438329516,0.32608739244007134,173.0295773653123,157.22080687935272,-2.1412992906647883e-17
20260801,full,historical_adm,1000,2,39.28359599462442,0.29946534279153125,172.36135898341183,156.9929158579136,2.2871835073499445e-17
20260801,full,historical_adm,1000,3,39.46184059116007,0.29094873941524485,174.41838410726325,157.92804781988335,-1.2170365947497049e-17
20260801,full,historical_adm,1000,4,39.51387679971003,0.36222460288504293,170.78080033791008,156.11887576266668,-7.427356628767068e-17
20260801,full,current_nanogen,5000,-1,7.6638763358284905,0.20004117086809248,172.65844079520343,172.90806870850622,7.474858589889807e-07
20260801,full,current_nanogen,1000,0,39.87755721019988,0.2846848823191364,172.9592200687898,156.99393976383922,-7.660735381557343e-17
20260801,full,current_nanogen,1000,1,39.44990568193856,0.28851303797685923,173.0295773653123,157.24485825405998,9.225910147140551e-17
20260801,full,current_nanogen,1000,2,39.231752249839985,0.26919881381756017,172.36135898341183,157.0101686670794,-4.573277789543166e-17
20260801,full,current_nanogen,1000,3,39.389700833328504,0.25080626887897095,174.41838410726325,157.95051066479155,9.713748373512047e-18
20260801,full,current_nanogen,1000,4,39.470298083977184,0.3407568647451854,170.78080033791008,156.13639545272372,1.8125693884418006e-17
20260801,ig,historical_adm,5000,-1,7.093245077968675,0.10186007593240137,174.00898248018748,173.81310043119973,6.555405135873528e-07
20260801,ig,historical_adm,1000,0,39.09351685169861,0.1642696338570759,174.19992851991984,157.93964234316326,2.9468750187901735e-17
20260801,ig,historical_adm,1000,1,38.69957528285272,0.18590117909032206,175.4148595152215,158.75489439785366,-7.728725781519354e-17
20260801,ig,historical_adm,1000,2,38.46091660214694,0.23354283022093747,173.00965203482946,157.69544082357584,7.372998289375057e-18
20260801,ig,historical_adm,1000,3,38.41403878362013,0.18215041623550413,173.47792837457973,157.92732169572167,3.356791563505282e-18
20260801,ig,historical_adm,1000,4,38.69317312814843,0.1727622564956759,174.2095209270406,158.14885671981804,-5.702225800928207e-17
20260801,ig,current_nanogen,5000,-1,7.011957041465109,0.06538030028928446,174.00898248018748,173.8419687628905,6.535678284304706e-07
20260801,ig,current_nanogen,1000,0,39.06358032611058,0.13861682618221477,174.19992851991984,157.94824840338043,-4.2876510009510766e-18
20260801,ig,current_nanogen,1000,1,38.593355376095474,0.1357889274759167,175.4148595152215,158.78941242668566,-1.430478505745923e-17
20260801,ig,current_nanogen,1000,2,38.423070159898884,0.19577499379353422,173.00965203482946,157.70194432774673,4.5659820067399555e-17
20260801,ig,current_nanogen,1000,3,38.34857002783184,0.13889744187756456,173.47792837457973,157.9448937876974,-3.416126558796268e-17
20260801,ig,current_nanogen,1000,4,38.65243140925304,0.14714924835470058,174.2095209270406,158.16288527645582,-2.2552728676678577e-17
20260802,source,historical_adm,5000,-1,6.802806500332167,0.053274913963594225,180.16333920445197,177.01120550116582,7.172549905129916e-07
20260802,source,historical_adm,1000,0,38.67572363504132,0.11611996858316387,179.16187493961309,160.60543732870158,1.9826482607272805e-17
20260802,source,historical_adm,1000,1,38.987960857510245,0.1302578127314873,181.931033852347,161.84096709590824,-5.917033356462437e-17
20260802,source,historical_adm,1000,2,39.08393996838845,0.1572222398829567,182.04743920870717,161.86466243222497,1.8501207135380586e-17
20260802,source,historical_adm,1000,3,38.626937704260285,0.15299097285015584,177.33265103137225,159.73365384210518,-2.804522031916254e-17
20260802,source,historical_adm,1000,4,39.184941751577185,0.16836484100170787,180.60603141623247,161.0990289449526,-8.070107728454327e-17
20260802,source,current_nanogen,5000,-1,6.734356403029608,0.01964659477888055,180.16333920445197,177.0350805914853,7.153494612207229e-07
20260802,source,current_nanogen,1000,0,38.64253276654796,0.08778413049661371,179.16187493961309,160.61432904516553,4.303923992617887e-17
20260802,source,current_nanogen,1000,1,38.94140155791712,0.09464188512743685,181.931033852347,161.85290298316335,-6.540486134923099e-17
20260802,source,current_nanogen,1000,2,39.02407191342803,0.11385099382582267,182.04743920870717,161.87937503793717,1.1043276753122666e-16
20260802,source,current_nanogen,1000,3,38.56620363380733,0.11758192377035706,177.33265103137225,159.75278055405232,3.717464154610084e-17
20260802,source,current_nanogen,1000,4,39.17162221143394,0.1429553059056729,180.60603141623247,161.09944814873677,1.1116320469240127e-16
20260802,reconstruction,historical_adm,5000,-1,6.84154340267213,0.06826328635130324,178.68045116080344,176.2578872143654,7.08851750050343e-07
20260802,reconstruction,historical_adm,1000,0,38.755687107435676,0.1363270354947163,177.8856255411247,159.937434426716,-5.1018496122644386e-17
20260802,reconstruction,historical_adm,1000,1,39.02845740167231,0.15747934509584532,179.76165622558418,160.74964077662798,3.020638997560332e-17
20260802,reconstruction,historical_adm,1000,2,39.00137194959575,0.16138533171349106,180.39459863975028,161.08160770305813,4.5851300737609237e-17
20260802,reconstruction,historical_adm,1000,3,38.35312172535032,0.16426020753800633,177.3502217626465,159.88498181454122,9.475466413204498e-17
20260802,reconstruction,historical_adm,1000,4,38.92974903840934,0.15025451479475005,178.2967720550946,160.0629404578641,9.373606400109935e-17
20260802,reconstruction,current_nanogen,5000,-1,6.7688837405586355,0.031950658869896856,178.68045116080344,176.28252493294204,7.070334124284172e-07
20260802,reconstruction,current_nanogen,1000,0,38.725457886385016,0.1038171259644999,177.8856255411247,159.9427582837368,3.946495907846458e-17
20260802,reconstruction,current_nanogen,1000,1,38.98801060557241,0.12636060239871377,179.76165622558418,160.76076900458992,-1.9161206792971154e-17
20260802,reconstruction,current_nanogen,1000,2,38.924904424259466,0.1105305863343766,180.39459863975028,161.10087829429727,-3.041187094509088e-17
20260802,reconstruction,current_nanogen,1000,3,38.28266172899788,0.12453402096281435,177.3502217626465,159.90681292069038,4.6303647702589457e-17
20260802,reconstruction,current_nanogen,1000,4,38.910040244422646,0.12290096156937257,178.2967720550946,160.06558227950535,-9.676504389433127e-18
20260802,full,historical_adm,5000,-1,7.5879301298015776,0.2317277469925933,171.80145615699712,172.52692857921818,7.439104444728722e-07
20260802,full,historical_adm,1000,0,39.05608622128784,0.25831248840547527,172.30991572955992,157.06037269046288,-1.2912794934743154e-16
20260802,full,historical_adm,1000,1,38.96945691869837,0.2909222539455013,171.2438913650806,156.58698004228796,-4.1491061892025353e-17
20260802,full,historical_adm,1000,2,38.46729266698338,0.3026475812384828,168.23815398292686,155.3410561407151,3.90359368906135e-17
20260802,full,historical_adm,1000,3,39.15723659909685,0.2981737309810599,174.2549893393745,158.0022649277535,1.0132208095919545e-17
20260802,full,historical_adm,1000,4,40.13096105321284,0.43511333394919216,173.2212664752221,157.06701107010335,-8.407830646634874e-18
20260802,full,current_nanogen,5000,-1,7.532139979042142,0.20753385596608603,171.80145615699712,172.54919091034523,7.420535053255848e-07
20260802,full,current_nanogen,1000,0,39.05858650322244,0.23755697939341747,172.30991572955992,157.05520899625012,7.623191177572246e-18
20260802,full,current_nanogen,1000,1,38.8964838416631,0.25858861736277206,171.2438913650806,156.61376396377483,5.67133040376855e-17
20260802,full,current_nanogen,1000,2,38.47369958120282,0.28943340413444224,168.23815398292686,155.33770979631393,-6.865740240572948e-17
20260802,full,current_nanogen,1000,3,39.11815288486815,0.2732027989554523,174.2549893393745,158.0157855201156,-4.842335158220125e-17
20260802,full,current_nanogen,1000,4,40.08414739527734,0.405418133541091,173.2212664752221,157.08203450012763,6.487593007732286e-17
20260802,ig,historical_adm,5000,-1,7.2013341815704734,0.10668385611417164,174.6562966734403,174.0851248661161,6.411887309657693e-07
20260802,ig,historical_adm,1000,0,39.07785901050187,0.17642919866410944,176.18890262121403,158.94803809681224,5.206880812933449e-17
20260802,ig,historical_adm,1000,1,39.27080130876345,0.1910862320294018,176.30185305659742,158.9153706820558,-4.232063058631103e-17
20260802,ig,historical_adm,1000,2,38.24261705929291,0.20523832782332452,170.95228596983273,156.7617553113057,2.142785734219629e-17
20260802,ig,historical_adm,1000,3,38.5088775225222,0.17155549108708626,175.8750487565796,159.07316505469635,1.4199660327770906e-17
20260802,ig,historical_adm,1000,4,38.65638264713857,0.18652436927865076,174.26490532372046,158.20182521505438,3.26674334543537e-17
20260802,ig,current_nanogen,5000,-1,7.10843153015702,0.06433526009802211,174.6562966734403,174.11686609507532,6.395323169390438e-07
20260802,ig,current_nanogen,1000,0,39.03225010299326,0.13250075768647115,176.18890262121403,158.9553425313383,1.0786169166406483e-16
20260802,ig,current_nanogen,1000,1,39.18976189165045,0.1524922757592937,176.30185305659742,158.9430576137378,-2.4516127811312185e-17
20260802,ig,current_nanogen,1000,2,38.204661624601385,0.16938485640985362,170.95228596983273,156.76927049420527,8.082989246697492e-17
20260802,ig,current_nanogen,1000,3,38.411252504825086,0.12455778023457362,175.8750487565796,159.10494290937922,-2.802725268692496e-17
20260802,ig,current_nanogen,1000,4,38.58222114319932,0.14015496871163313,174.26490532372046,158.22218546800107,3.9859462266180956e-17
