grid_index,noise_time,heat_variance,heat_step_from_previous,cumulative_log_weight_mean,cumulative_log_weight_std,increment_mean,increment_std,potential_mean,potential_std,potential_q10,potential_median,potential_q90,potential_min,potential_max,k4_ess_mean,k4_ess_min,k4_ess_fraction_mean,k4_ess_fraction_min,k4_entropy_ess_fraction_mean,k4_max_weight_mean,k4_max_weight_max,k4_log_weight_range_mean,k4_log_weight_range_max,k8_ess_mean,k8_ess_min,k8_ess_fraction_mean,k8_ess_fraction_min,k8_entropy_ess_fraction_mean,k8_max_weight_mean,k8_max_weight_max,k8_log_weight_range_mean,k8_log_weight_range_max,k16_ess_mean,k16_ess_min,k16_ess_fraction_mean,k16_ess_fraction_min,k16_entropy_ess_fraction_mean,k16_max_weight_mean,k16_max_weight_max,k16_log_weight_range_mean,k16_log_weight_range_max
1,0.9987389445304871,627242.6625627052,0.0,0.0,0.0,0.0,0.0,3.1361006500030264e-09,5.237997918464923e-10,2.579001168179218e-09,2.993352121727355e-09,3.904112899633105e-09,2.3062458609501846e-09,4.707340739429355e-09,4.0,4.0,1.0,1.0,1.0,0.25,0.25,0.0,0.0,8.0,8.0,1.0,1.0,0.9999999999999998,0.125,0.125,0.0,0.0,16.0,16.0,1.0,1.0,0.9999999999999999,0.0625,0.0625,0.0,0.0
2,0.9974554777145386,153664.84478916763,473577.8177735376,0.012026709089864356,0.002464213224538333,0.012026709089864356,0.002464213224538333,4.765474570511685e-08,9.914073811196011e-09,3.7161116495099124e-08,4.4873205595763466e-08,6.042200482170301e-08,3.307272677943729e-08,8.300564502405905e-08,3.999995874374208,3.999987708868188,0.999998968593552,0.999996927217047,0.9999994842927438,0.2502740621928867,0.25068208494595595,0.002317546709084089,0.0044454658582434164,7.9999846166088595,7.999932967321701,0.9999980770761074,0.9999916209152127,0.9999990388715267,0.12524882332555137,0.12565470200955503,0.0037962429153925417,0.008783186444705025,15.999961848914019,15.999863827809884,0.9999976155571262,0.9999914892381178,0.999998808417726,0.06269884042465663,0.06288266511538496,0.005214568440762216,0.009689153367010716
3,0.996148943901062,66909.66685454026,86755.17793462737,0.02462949550297977,0.005779354559824072,0.01260278641311542,0.003421466630504312,2.42882066348038e-07,6.974867705188637e-08,1.7878928559866836e-07,2.2746019823216557e-07,3.2268831091641913e-07,1.5330392955092975e-07,6.578675879609364e-07,3.9999757061384074,3.999928173007715,0.9999939265346018,0.9999820432519287,0.9999969628627854,0.250677867357988,0.25143182701048217,0.005592255792636915,0.011967191727405322,7.9998888053553205,7.999556681809737,0.9999861006694151,0.9999445852262171,0.9999930628729974,0.1256931365135053,0.12715426480577596,0.009655607348746965,0.025091524074162343,15.999776225265979,15.999384154799442,0.9999860140791237,0.9999615096749651,0.999993019878154,0.06299396624306162,0.06370072998245736,0.012309322464836594,0.025342405128903386
4,0.9948186874389648,36864.494755939435,30045.17209860083,0.04060570959994235,0.011400882494445843,0.015976214096962572,0.005944239327817793,8.205975532415977e-07,3.2929006513376395e-07,5.610815151158022e-07,7.428564856581943e-07,1.1314001312712206e-06,4.738758150324429e-07,2.9967784485052107e-06,3.9998320218120993,3.999041125946012,0.9999580054530248,0.999760281486503,0.9999790657321254,0.251662678659874,0.25644508021372003,0.012491132121865,0.04112534245457669,7.999407584421206,7.996553378696102,0.9999259480526508,0.9995691723370127,0.9999631724621747,0.1264387678851169,0.13053107258981445,0.019297792078288807,0.0627193426429217,15.999009652752424,15.995576119708339,0.9999381032970265,0.9997235074817712,0.9999692444460515,0.06346804770380651,0.06567437512288342,0.023564170063382912,0.06469515519736144
5,0.9934640526771545,23104.002772331485,13760.49198360795,0.06169154227632238,0.02013598303946563,0.021085832676380027,0.009102317114145815,2.2440941309653795e-06,9.989525568463015e-07,1.4912390270183095e-06,2.036952878370357e-06,3.1161100650933804e-06,1.1666545560728991e-06,7.992171958903782e-06,3.999203565195483,3.9947548232723653,0.9998008912988707,0.9986887058180913,0.9999013600373845,0.25342907667592174,0.26545159398298446,0.024148864958372845,0.09120693570684847,7.997829810293499,7.986010717249685,0.9997287262866874,0.9982513396562106,0.9998655440034104,0.12747003056625286,0.13501001018799133,0.0327653856265743,0.11491293162717255,15.9965463520854,15.981626932168805,0.9997841470053375,0.9988516832605503,0.999893454632486,0.06413548877189086,0.06843786529537231,0.039579281324199966,0.12021589223700982
6,0.9920844435691833,15708.487857802153,7395.514914529333,0.09002262528708657,0.0321365001394343,0.028331083010764195,0.012482729232984447,5.417599027168762e-06,2.398955620565172e-06,3.399008687665628e-06,4.846031060878886e-06,7.848884433769853e-06,2.6036350391223095e-06,1.747566602716688e-05,3.9976453801085308,3.9843212692774572,0.9994113450271327,0.9960803173193643,0.9997101831742736,0.25591146805568027,0.2769010178576973,0.04067972921162176,0.1530201631908777,7.994155917651672,7.962177638904869,0.999269489706459,0.9952722048631086,0.999638808134087,0.12907332524898504,0.14044820041862122,0.05328312643100375,0.17774515208676062,15.990384142062323,15.948638213065035,0.9993990088788952,0.9967898883165647,0.9997053995399271,0.06529143754446032,0.07190678936560714,0.0660346945398315,0.1885079123922742
7,0.9906790852546692,11296.630340924414,4411.857516877739,0.12845310374125188,0.0484246312452973,0.03843047845416532,0.01739806378617348,1.2003851374231544e-05,5.5537478636401404e-06,7.308408203243744e-06,1.0524496701691533e-05,1.7570899217389524e-05,5.4193815230974e-06,4.278360211174004e-05,3.994675618093808,3.966201013939896,0.998668904523452,0.991550253484974,0.9993475113835851,0.25931658301503213,0.2896478988368957,0.06364949499013903,0.22061830435791574,7.987027351138465,7.9201270023825145,0.9983784188923082,0.9900158752978143,0.9991991027490188,0.13144648649372936,0.14691795182842757,0.08315873858315505,0.2499062412375192,15.975995630138168,15.88739180756176,0.9984997268836355,0.99296198797261,0.9992696664666392,0.06731891091529182,0.07612012818702407,0.10982042502795478,0.2668539861970391
8,0.9892473220825195,8464.016319298333,2832.614021626081,0.18073536162716625,0.0713058165497756,0.05228225788591437,0.02499624472578012,2.491064349641192e-05,1.2236680767056331e-05,1.4365502283908427e-05,2.182844309572829e-05,3.990919976786244e-05,1.0524066055950243e-05,9.5650291768834e-05,3.9892482189717793,3.939073397543129,0.9973120547429448,0.9847683493857823,0.99868472860775,0.2647527938809561,0.3034039560079973,0.0985235839650084,0.2931302266950578,7.973820393137856,7.854853691222432,0.996727549142232,0.981856711402804,0.9983831608942615,0.13542853694878298,0.1544132082429473,0.13066758883911272,0.3336624358956713,15.941566972362546,15.786742706679332,0.9963479357726591,0.9866714191674583,0.9982400126141746,0.07091513921158377,0.08113400259993456,0.18202382323958097,0.36105815872198066
9,0.9877883195877075,6542.999887081152,1921.0164322171804,0.2509466992533991,0.10352496162941582,0.07021133762623283,0.03605892834536255,4.8187468991045534e-05,2.5802110658474284e-05,2.7015268460672815e-05,4.0599519707029685e-05,8.010504097910598e-05,1.8898790585808456e-05,0.0001903800730360672,3.9782488507447598,3.900367790058734,0.9945622126861899,0.9750919475146835,0.9973390274007092,0.27349686117848665,0.3185605418590752,0.15255098536597894,0.37329549821863317,7.948058615679985,7.759975530353525,0.9935073269599981,0.9699969412941907,0.9967925543183777,0.1419817457952055,0.16306435206860934,0.20451571753990375,0.4327175340155609,15.85904186075648,15.632070491358007,0.99119011629728,0.9770044057098755,0.9958161038631821,0.07768682020497249,0.0930642061932683,0.3035015771581294,0.5503790152058337
10,0.9863013625144958,5183.9943609283255,1359.0055261528269,0.34287118388017845,0.14803673596664593,0.09192448462677938,0.04965161445818572,8.709451898880616e-05,4.7544445991892605e-05,4.7691152212792075e-05,7.434436702169478e-05,0.0001469061055104248,3.289429878350347e-05,0.0003700682718772441,3.9542227940125207,3.8464311942954286,0.9885556985031302,0.9616077985738571,0.9943972053814281,0.28665086502083703,0.33566248650089126,0.23178911896974183,0.46295476842486905,7.894996372652222,7.628405280636355,0.9868745465815277,0.9535506600795444,0.9935425263118992,0.15192104938668566,0.1730627146955999,0.3106575314260744,0.5444411472865699,15.664845167604913,15.297886625881574,0.979052822975307,0.9561179141175984,0.9902730774848566,0.08822701513427098,0.10874638263920806,0.474899928891008,0.7803417310919982
11,0.9847856163978577,4189.620341868485,994.3740190598401,0.4602653883761344,0.2051178724077641,0.11739420449595592,0.062148692889530045,0.0001490222786060258,7.80477465958055e-05,8.165160907083192e-05,0.00012672365846810862,0.0002469036757247522,5.563626837101765e-05,0.0005364479147829115,3.904426058176684,3.774692783651075,0.976106514544171,0.9436731959127688,0.9882243896934919,0.30444925644234205,0.35474851219996284,0.33769725271851947,0.561881827368802,7.785563712922079,7.454822745000852,0.9731954641152599,0.9318528431251065,0.9869053905010723,0.1660049470789694,0.1861960487735293,0.4520154952706257,0.6685992246478376,15.257961774083313,14.461699585205421,0.9536226108802071,0.9038562240753388,0.9789512522290957,0.10293191828079401,0.13769474918048957,0.6874859987889732,1.0354667788237661
12,0.9832402467727661,3441.7875144597633,747.8328274087221,0.6075599437535755,0.2748770675705618,0.14729455537744113,0.07536834613100525,0.00024490147006872576,0.00012420709526885174,0.0001351006663753651,0.0002080986087094061,0.00039884692814666777,8.889952005119994e-05,0.0007670343620702624,3.817338972474322,3.564888646284862,0.9543347431185805,0.8912221615712155,0.9768962726202965,0.3260252785512012,0.3772713308275202,0.4674026927135573,0.8160754393320274,7.579323687295334,7.051979824405203,0.9474154609119168,0.8814974780506504,0.974205265257871,0.18453419930813586,0.22633465849529869,0.6286994343936049,0.9718307139016542,14.535400483781585,12.570119238720583,0.908462530236349,0.7856324524200364,0.9585027329474218,0.12240486385016451,0.18457700714617756,0.9396108322920779,1.4102216092952957
13,0.9816642999649048,2866.3617765912845,575.4257378684788,0.7896963857941757,0.35920685960227783,0.18213644204060014,0.09096804257589954,0.00038814787080809765,0.00019279033312036859,0.00020909804006805644,0.00033261447970289737,0.0006335470709018409,0.00013920629862695932,0.0011161444708704948,3.6928419392904988,3.2084946945077277,0.9232104848226247,0.8021236736269319,0.9592128674688536,0.35002489886786686,0.41877431918550595,0.6198143822507916,1.1653669060249385,7.248333186390106,6.092508075226099,0.9060416482987632,0.7615635094032623,0.9525037305900114,0.20751021704326206,0.27219380359076295,0.8408857214526659,1.3808998911500878,13.439500755125998,10.023432703110137,0.8399687971953749,0.6264645439443836,0.924820406212796,0.1477439335494377,0.24434085241023434,1.2361935521338616,1.8312846568894925
14,0.9800570011138916,2415.0256117634017,451.33616482788284,1.0120084967641638,0.45971084428651776,0.222312110969988,0.10839937147804099,0.0005969808571535395,0.0002887952398525349,0.00032050323789007963,0.0005174690450076014,0.001006839529145509,0.0002100085694110021,0.0017622214509174228,3.541008183305963,2.852960850410681,0.8852520458264908,0.7132402126026702,0.9352725593684499,0.37447085332117697,0.4544200039802357,0.7968768087900452,1.5721895820188498,6.796038134686199,4.998183801798186,0.8495047668357749,0.6247729752247733,0.9198372701633359,0.23421637713261004,0.31451717633527704,1.0870120762925397,1.8318355989004087,12.029740827899143,7.413676854300071,0.7518588017436965,0.46335480339375446,0.8747189820982955,0.1789371867682648,0.3172917354925475,1.5737957715185578,2.275563880518394
15,0.9784172773361206,2055.1132811810517,359.91233058235,1.279844665828335,0.5780521960645217,0.2678361690641714,0.1275044350477548,0.000891360309879019,0.0004212526266090599,0.00048025346477515997,0.0007888287655077875,0.0014871718711219728,0.00031127073452807963,0.0026333522982895374,3.371974454005125,2.5502630805535573,0.8429936135012812,0.6375657701383893,0.9059057436726246,0.3971532247489681,0.4955529714634816,0.9951363291659882,2.0210065143991978,6.238107829792876,3.9893077938555535,0.7797634787241094,0.4986634742319442,0.8754177732211958,0.26390589032954603,0.3425868462181841,1.3684466911832582,2.3191443063821753,10.458160606571333,5.267090358005663,0.6536350379107083,0.32919314737535393,0.8077701672138746,0.21518955374672263,0.40189233326197926,1.950805739929716,2.748159304934026
16,0.9767442345619202,1764.0075352429594,291.10574593809224,1.599880186404391,0.7162948301687024,0.3200355205760559,0.1485174063295589,0.0013073975301267637,0.0006014969220033118,0.0007073605200275779,0.001173695782199502,0.002143940236419439,0.00044546573190018535,0.0038193808868527412,3.191541416835512,2.2870627424794763,0.797885354208878,0.5717656856198691,0.8718616150529431,0.4302754940121958,0.5659685765943692,1.2451444511371121,2.7321444318074684,5.594513907727899,3.1485523416740664,0.6993142384659874,0.3935690427092583,0.8193653997143817,0.3068442504669407,0.4325897318643228,1.7178310806414503,3.071389650350921,8.8884323104102,3.7424701086401924,0.5555270194006375,0.23390438179001202,0.7274730793015387,0.262483098376333,0.4942705085120361,2.4010734735363894,3.262592217251586
17,0.9750366806983948,1525.5879321755924,238.419603067367,1.9788563579997644,0.8764892127026973,0.37897617159537333,0.17183531022588724,0.0018716713611865998,0.0008432936048606667,0.0009951760061085225,0.0017063425038941205,0.0032543294597417115,0.0006323567940853536,0.005444439593702555,2.998222560655531,2.018421172701723,0.7495556401638828,0.5046052931754308,0.833009619430766,0.47278715861015264,0.6451098616366594,1.550265316811979,3.5728257989454004,4.895141719945938,2.4667305037334843,0.6118927149932423,0.30834131296668554,0.7521336608607021,0.35921983788972034,0.5491701900263994,2.128758553018811,3.973211921238166,7.438763426935999,2.768075166487038,0.46492271418349995,0.17300469790543987,0.6410165948739344,0.31728680990168256,0.5853900454254923,2.918970199391401,3.973211921238166
18,0.9732937812805176,1328.1988322891398,197.38909988645264,2.4228426774145873,1.0603180241298786,0.44398631941482286,0.19732452940506462,0.0026269186791978427,0.0011604431346188776,0.001410842430777848,0.002381019410677254,0.004466163786128163,0.0008842960232868791,0.007597513031214476,2.790385822346575,1.721568779025125,0.6975964555866437,0.43039219475628127,0.7893862019897973,0.5195917452582202,0.7263931134071757,1.8942426314826184,4.496844944482792,4.20774351312139,1.9184643356372904,0.5259679391401737,0.2398080419546613,0.6765187486745288,0.41753568426596144,0.6756384813798405,2.594591676123759,5.019029777852408,6.176601741503381,2.169701379772291,0.3860376088439613,0.13560633623576818,0.5558807258291952,0.3753953595091122,0.6673417824187281,3.493356171203112,5.019029777852408
19,0.9715142250061035,1163.1674726895076,165.0313595996322,2.9386742734095836,1.269967347203403,0.5158315959949968,0.22545748390908438,0.003624397400926682,0.001575570887892796,0.0019793363171629608,0.0033551291562616825,0.005932980449870229,0.0012216153554618359,0.01040646992623806,2.569653082901488,1.4415790636073222,0.642413270725372,0.36039476590183056,0.7414284952492374,0.5684281377623601,0.8137711010263112,2.2731593110827357,5.474521851644788,3.609521517559686,1.5151067913512732,0.4511901896949608,0.18938834891890916,0.5984467898565106,0.4769080470672142,0.7936274964490019,3.117167837257557,6.220312911785102,5.149077579170683,1.8066738420892081,0.3218173486981677,0.11291711513057551,0.4775596351149558,0.4300020783859143,0.7347420515069312,4.12628560896036,6.220312911785102
20,0.9696969985961914,1024.0020141630675,139.16545852644003,3.5323127308742754,1.5072237250217775,0.5936384574646916,0.25413915363386524,0.004907007787551265,0.002080056861685827,0.0027056934079155324,0.004677944350987673,0.007749440148472786,0.0016674436628818512,0.013972735963761806,2.344573264928332,1.2343788057280882,0.586143316232083,0.30859470143202206,0.6898691309168448,0.6166154857476496,0.8942503912647413,2.690700462744042,6.5154671889499625,3.1382809533024885,1.258559167624723,0.39228511916281106,0.15731989595309037,0.5253288728171406,0.5314673053381624,0.8855963654516296,3.699616354246227,7.5881576299746225,4.345701303566905,1.3756343033856155,0.27160633147293156,0.08597714396160097,0.40789605077933555,0.4739291972206219,0.8465313123764321,4.814866572314704,7.5881576299746225
21,0.9678407311439514,905.7231275802745,118.278886582793,4.210840197665237,1.7736475903222673,0.6785274667909619,0.2838088509598307,0.006566341115103569,0.0027228690789463023,0.0036251824349164963,0.006085290806367993,0.01014546537771821,0.0022737563122063875,0.018479954451322556,2.1370326515277847,1.1093945941788614,0.5342581628819462,0.27734864854471536,0.6372556585445279,0.6611623937734992,0.9480621082426273,3.1519688994861035,7.657998050081759,2.771742222129063,1.1166937018258893,0.34646777776613286,0.13958671272823617,0.4615299937913534,0.5778277276922659,0.9449561646347262,4.349805218969851,9.130937927804602,3.7064904668651177,1.1590538784732283,0.23165565417906986,0.07244086740457677,0.34674889506000195,0.5064161735421658,0.9274214412928123,5.572375056494915,9.130937927804602
22,0.9659442901611328,804.4967342529717,101.22639332730284,4.983384887403584,2.0721714675694223,0.7725446897383471,0.316767680159139,0.008697359671714366,0.0035422052231366937,0.004819583939388395,0.0078475889749825,0.013334438763558864,0.0031327756587415934,0.02405904419720173,1.9636551110016855,1.0455822880639385,0.4909137777504214,0.2613955720159846,0.5866840808275553,0.6996792695882496,0.9777137978568716,3.6686373191739787,8.923361782909383,2.4484023923280938,1.0476518048373324,0.3060502990410117,0.13095647560466656,0.40547937777498916,0.6225321857429212,0.976747406346477,5.097041671539284,10.85212628436874,3.179259631729724,1.0619820091992145,0.19870372698310776,0.0663738755749509,0.2938712540032893,0.5513608138392094,0.9701191499272176,6.476598533008261,10.85212628436874
23,0.964006245136261,717.307523053627,87.18921119934464,5.859127758028539,2.4039294172221695,0.875742870624954,0.35137654726184175,0.011390971409127815,0.004527131791045722,0.006567428819835186,0.010253359097987413,0.01735711917281151,0.004254665691405535,0.03120824322104454,1.8289549677122832,1.0168797318348375,0.4572387419280708,0.25421993295870937,0.5415308884405262,0.7298099892029448,0.9916309289434276,4.252882220935466,10.35529996069079,2.1368977291902898,1.0174327973433894,0.2671122161487862,0.12717909966792368,0.3531667948361871,0.6755888256326419,0.9913613518203704,5.971398406225078,12.762896721175686,2.7474761942655728,1.0218936254195583,0.1717172621415983,0.0638683515887224,0.24975162405945506,0.5980689130614469,0.9891933921223585,7.477767817125221,12.762896721175686
24,0.9620253443717957,641.7787585975867,75.52876445604034,6.846936947895839,2.7689086192550256,0.9878091898672998,0.3860000028868437,0.01476619392997236,0.005701597945833625,0.00869326712563634,0.013753000646829605,0.022540198639035225,0.0058097876608371735,0.04024982824921608,1.7238884041990477,1.0054569133560958,0.4309721010497619,0.25136422833902394,0.5030690927575929,0.7559567979233978,0.9972789945802635,4.921777318212461,12.005270230761544,1.9034945631480986,1.0055937987562167,0.23793682039351233,0.12569922484452709,0.30803337766703665,0.7295307655656369,0.9972111139259936,6.951230847689153,14.882141206139234,2.422018207020543,1.0068424792885622,0.15137613793878393,0.06292765495553514,0.21514096354805903,0.6397294670102264,0.9965923945874364,8.555049621532671,14.882141206139234
25,0.9599999785423279,575.9993562703617,65.77940232722506,7.957662386017429,3.167677072823438,1.1107254381215896,0.421239908069935,0.01900502924399916,0.007116581359630151,0.011369508411735296,0.017838982865214348,0.028488967940211295,0.00781926978379488,0.05151437968015671,1.632965861247863,1.0015270805136887,0.40824146531196576,0.25038177012842217,0.4695386088349266,0.7850622500362201,0.9992370438614642,5.7016442334090796,13.906022482889048,1.7767074501375766,1.0015575162561796,0.22208843126719707,0.12519468953202245,0.2775274799639548,0.7713707737820036,0.9992218610403952,8.016351546025824,17.221391880503248,2.2131697047719765,1.0018670901284519,0.13832310654824853,0.06261669313302824,0.19051074758025954,0.6729868899238655,0.9990674602712969,9.709582916589412,17.221391880503248
