grid_index,noise_time,heat_variance,heat_step_from_previous,cumulative_log_weight_mean,cumulative_log_weight_std,increment_mean,increment_std,potential_mean,potential_std,potential_q10,potential_median,potential_q90,potential_min,potential_max,k4_ess_mean,k4_ess_min,k4_ess_fraction_mean,k4_ess_fraction_min,k4_entropy_ess_fraction_mean,k4_max_weight_mean,k4_max_weight_max,k4_log_weight_range_mean,k4_log_weight_range_max,k8_ess_mean,k8_ess_min,k8_ess_fraction_mean,k8_ess_fraction_min,k8_entropy_ess_fraction_mean,k8_max_weight_mean,k8_max_weight_max,k8_log_weight_range_mean,k8_log_weight_range_max
1,0.9987389445304871,627242.6625627052,0.0,0.0,0.0,0.0,0.0,3.140161707049227e-09,3.579096502187691e-10,2.6185849488769007e-09,3.2554270390505735e-09,3.5573490153595347e-09,2.3171660146203976e-09,3.6939291625515125e-09,4.0,4.0,1.0,1.0,1.0,0.25,0.25,0.0,0.0,8.0,8.0,1.0,1.0,0.9999999999999998,0.125,0.125,0.0,0.0
2,0.9974554777145386,153664.84478916763,473577.8177735376,0.012229621253439892,0.001853757797270882,0.012229621253439892,0.001853757797270882,4.850761736729936e-08,7.509156049498373e-09,3.939114279205569e-08,4.9301975835192025e-08,5.663110584919196e-08,3.373741463974511e-08,6.743295699607188e-08,3.999992740713217,3.999979194038559,0.9999981851783043,0.9999947985096398,0.9999990930356362,0.25043028595931016,0.25094796480617265,0.0030658221803269996,0.005928788711533453,7.9999877160937585,7.9999762097022655,0.9999984645117198,0.9999970262127832,0.9999992326938535,0.12528718897864335,0.1255318088256966,0.003830529543181764,0.005928788711533453
3,0.996148943901062,66909.66685454026,86755.17793462737,0.025259195606049514,0.004688164791562903,0.013029574352609622,0.00290447693158153,2.51868098821717e-07,5.991460494537039e-08,1.9884369635292386e-07,2.4454645597415947e-07,3.019870234766131e-07,1.6214035269968008e-07,4.637417134745192e-07,3.999937204499668,3.9997967093456746,0.999984301124917,0.9999491773364186,0.9999921657127265,0.2512531126762815,0.2530239248559822,0.008504610029443364,0.01791904539043223,7.999893511868732,7.999759455957637,0.9999866889835916,0.9999699319947046,0.9999933600897213,0.1258812201322047,0.12673007565968059,0.010857992299211004,0.018504793972703677
4,0.9948186874389648,36864.494755939435,30045.17209860083,0.042328296809212435,0.010529383401365925,0.017069101203162927,0.0060541918748139205,8.843611194464529e-07,3.454266180518135e-07,6.971730442728586e-07,7.999468891739525e-07,1.0279505659127609e-06,5.072190560895251e-07,2.186115125368815e-06,3.9996561084846034,3.9988096860920557,0.9999140271211509,0.9997024215230139,0.9999572350229486,0.2528391506249484,0.25739762131953814,0.018398158162408414,0.04208152497717166,7.99932828783499,7.9985647019147565,0.9999160359793737,0.9998205877393446,0.9999583067271125,0.12725761788319023,0.12927389140725862,0.026031108816203498,0.045197846121323916
5,0.9934640526771545,23104.002772331485,13760.49198360795,0.06535960377081654,0.02007392683075918,0.023031306961604096,0.009786438569315287,2.463092879878559e-06,1.0803692873603775e-06,1.8028875274467282e-06,2.2004348920745542e-06,3.123308397334768e-06,1.278360400647216e-06,6.309108812274644e-06,3.9986681419078334,3.995322805081556,0.9996670354769583,0.998830701270389,0.9998352085450126,0.25547172175365856,0.2647458733327816,0.03423845995328878,0.08153317315125691,7.997237778150584,7.994248811180657,0.999654722268823,0.9992811013975821,0.9998298084725357,0.12963817155982077,0.1335704203630468,0.05185422600881647,0.08969516351004321
6,0.9920844435691833,15708.487857802153,7395.514914529333,0.09648822510862246,0.033219268076559706,0.031128621337805914,0.013552069079389394,5.955150257364039e-06,2.601853039041593e-06,4.066050178153091e-06,5.166526989341946e-06,7.788578750478337e-06,2.8816500616812846e-06,1.5567682567052543e-05,3.9960157546735475,3.986209293668127,0.9990039386683869,0.9965523234170317,0.9995100608595816,0.25944461563823235,0.2754135648128211,0.05771325852716962,0.13755819259912655,7.991798226445219,7.982551801352101,0.9989747783056524,0.9978189751690126,0.9994991509427231,0.13304965153448672,0.13989342173407007,0.08896831841771084,0.1543227338484324
7,0.9906790852546692,11296.630340924414,4411.857516877739,0.13853424116766055,0.05060265715271578,0.042046016059038085,0.018315829580752063,1.3105309378147467e-05,5.759226204781147e-06,8.220170730055543e-06,1.0972499694617e-05,2.1453182671393744e-05,6.076882073102752e-06,3.322509292047471e-05,3.990038729341803,3.966586988031106,0.9975096823354508,0.9916467470077766,0.9987824972633694,0.2649177087599337,0.2896653389466964,0.09046004588799653,0.21070941529242937,7.979884925902137,7.956131208994034,0.9974856157377672,0.9945164011242542,0.9987829022941819,0.13758520783525738,0.14856001595029217,0.1387579027909115,0.240883355710907
8,0.9892473220825195,8464.016319298333,2832.614021626081,0.19504464406865618,0.07425551053754428,0.05651040290099564,0.025739474933307326,2.6794516344352814e-05,1.2569453777307083e-05,1.5268958304659463e-05,2.2591276319872122e-05,4.6839164861012256e-05,1.2120874998799991e-05,6.433225644286722e-05,3.977597968738953,3.929060770721025,0.9943994921847382,0.9822651926802562,0.9972733735606748,0.2739681630865875,0.30798803703093475,0.1422083954541114,0.3017311963386978,7.955232853192802,7.902862668238279,0.9944041066491003,0.9878578335297848,0.99731192105041,0.14333973158398833,0.1600987431000766,0.20295596032137742,0.3514634167536484
9,0.9877883195877075,6542.999887081152,1921.0164322171804,0.2696616909116591,0.10727993806236714,0.0746170468430029,0.03615264100073649,5.089044833539447e-05,2.517770860553303e-05,2.7311874691804406e-05,4.1577135561965406e-05,8.79386287124362e-05,2.313466575287748e-05,0.00011801436630776152,3.9523955777273425,3.8634205865171003,0.9880988944318356,0.9658551466292751,0.9942100346958838,0.2879389064971535,0.33090137726796154,0.21981623454424287,0.41520321745812216,7.90484870784587,7.803017606558425,0.9881060884807338,0.9753772008198032,0.9943128895000314,0.15166470596070586,0.17530746555976154,0.29200602544200915,0.48942541103346143
10,0.9863013625144958,5183.9943609283255,1359.0055261528269,0.3656041188654378,0.1513973828215898,0.09594242795377875,0.0469824994896617,9.030460364556347e-05,4.403992192311081e-05,4.847179152420722e-05,7.533939424320124e-05,0.0001497969584306702,4.287213596398942e-05,0.0002075591473840177,3.9049026860810345,3.7562364590391386,0.9762256715202586,0.9390591147597847,0.9883900986909564,0.30643251867928867,0.35908890295402973,0.323241053692816,0.5632795239758153,7.807504451374325,7.623855813546088,0.9759380564217907,0.952981976693261,0.9885134125472781,0.1633285373520871,0.19541202400539215,0.4123867478554799,0.660133922393028
