step_index,t,s,samples,official_empirical_squared_mean_gap,official_offdiagonal_cross_statistic,official_first1024_empirical_squared_mean_gap,official_second1024_empirical_squared_mean_gap,candidate_empirical_squared_mean_gap,candidate_offdiagonal_cross_statistic,candidate_first1024_empirical_squared_mean_gap,candidate_second1024_empirical_squared_mean_gap,control_empirical_squared_mean_gap,control_offdiagonal_cross_statistic,control_first1024_empirical_squared_mean_gap,control_second1024_empirical_squared_mean_gap
0,1.0,0.9987389445304871,100,2.9116082664627432e-09,4.1198326633690515e-10,5.329735950090219e-09,4.934805828352676e-10,2.754608498687885e-09,2.5459305331142716e-10,5.09531536111905e-09,4.139016362567198e-10,2.701880590120501e-09,2.0181415137831128e-10,5.094277045297482e-09,3.0948413494351997e-10
1,0.9987389445304871,0.9974554777145386,100,2.589688620808736e-09,1.2746960690069654e-10,4.731276172861585e-09,4.481010687558868e-10,2.434110600071578e-09,-2.8640427862500095e-11,4.48162772512862e-09,3.8659347501453664e-10,2.3885552067861372e-09,-7.41438758872015e-11,4.488760719962071e-09,2.883496936102032e-10
2,0.9974554777145386,0.996148943901062,100,2.7316593856606804e-09,1.5662436856353133e-10,4.97940443992045e-09,4.839143314009103e-10,2.6143974437944547e-09,3.876423174255718e-11,4.811074269576279e-09,4.1772061801263096e-10,2.557301973044186e-09,-1.8422086185431274e-11,4.798874591342205e-09,3.1572935474616714e-10
3,0.996148943901062,0.9948186874389648,100,2.8811614971550666e-09,3.231596373122903e-10,5.282668683843436e-09,4.796543104666974e-10,2.8462895778943322e-09,2.881777184472381e-10,5.287383427776799e-09,4.0519572801186526e-10,2.7982168380009587e-09,2.400091430925339e-10,5.293269696011428e-09,3.0316397999048935e-10
4,0.9948186874389648,0.9934640526771545,100,2.838888749981864e-09,2.0822763989048802e-11,5.230037962151184e-09,4.477395378125444e-10,2.7138237082713177e-09,-1.0423129576631758e-10,5.041720945222443e-09,3.8592647132019217e-10,2.6581798823410476e-09,-1.5989120132745802e-10,5.018326437371256e-09,2.9803332731083924e-10
5,0.9934640526771545,0.9920844435691833,100,3.1623403299476693e-09,4.719786875737594e-10,5.828884600510106e-09,4.957960593852326e-10,3.10226325440581e-09,4.1109244248794177e-10,5.780125309747917e-09,4.2440119906370266e-10,3.070800456120173e-09,3.7961217960108257e-10,5.8163357603226475e-09,3.252651519176991e-10
6,0.9920844435691833,0.9906790852546692,100,2.7229672211367225e-09,3.0090227895424367e-10,4.965360178649596e-09,4.805742636238497e-10,2.6576282638171256e-09,2.349047918623543e-10,4.919808232848287e-09,3.9544829478596424e-10,2.6100316039523736e-09,1.87262192972968e-10,4.918561993116895e-09,3.0150121478785286e-10
7,0.9906790852546692,0.9892473220825195,100,2.5869929141405687e-09,2.0632805581351305e-10,4.683889730533056e-09,4.900960977480814e-10,2.5443233049979328e-09,1.6329527332712333e-10,4.692313396457325e-09,3.963332135385407e-10,2.501161731194863e-09,1.2002361514206635e-10,4.7080546309151515e-09,2.9426883147457457e-10
8,0.9892473220825195,0.9877883195877075,100,2.6875188453566314e-09,2.1094093332809459e-10,4.892502019463807e-09,4.825356712494559e-10,2.596438236209845e-09,1.197320874490582e-10,4.794957499898989e-09,3.9791897252070105e-10,2.5488279107006027e-09,7.195422378136949e-11,4.796221938304173e-09,3.0143388309703223e-10
9,0.9877883195877075,0.9863013625144958,100,2.347034054822802e-09,1.8846355352106437e-11,4.2349908315238316e-09,4.590772781217728e-10,2.3009754601027186e-09,-2.8197826637434316e-11,4.215929196593813e-09,3.8602172361162476e-10,2.241489193023695e-09,-8.775579242423018e-11,4.185581993431214e-09,2.973963926161759e-10
