step_index,t,s,samples,official_empirical_squared_mean_gap,official_offdiagonal_cross_statistic,candidate_empirical_squared_mean_gap,candidate_offdiagonal_cross_statistic,control_empirical_squared_mean_gap,control_offdiagonal_cross_statistic
0,1.0,0.9987389445304871,100,2.9116082664627432e-09,4.1198326633690515e-10,2.754608498687885e-09,2.5459305331142716e-10,2.701880590120501e-09,2.0181415137831128e-10
1,0.9987389445304871,0.9974554777145386,100,2.589688620808736e-09,1.2746960690069654e-10,2.434110600071578e-09,-2.8640427862500095e-11,2.3885552067861372e-09,-7.41438758872015e-11
2,0.9974554777145386,0.996148943901062,100,2.7316593856606804e-09,1.5662436856353133e-10,2.6143974437944547e-09,3.876423174255718e-11,2.557301973044186e-09,-1.8422086185431274e-11
3,0.996148943901062,0.9948186874389648,100,2.8811614971550666e-09,3.231596373122903e-10,2.8462895778943322e-09,2.881777184472381e-10,2.7982168380009587e-09,2.400091430925339e-10
4,0.9948186874389648,0.9934640526771545,100,2.838888749981864e-09,2.0822763989048802e-11,2.7138237082713177e-09,-1.0423129576631758e-10,2.6581798823410476e-09,-1.5989120132745802e-10
5,0.9934640526771545,0.9920844435691833,100,3.1623403299476693e-09,4.719786875737594e-10,3.10226325440581e-09,4.1109244248794177e-10,3.070800456120173e-09,3.7961217960108257e-10
6,0.9920844435691833,0.9906790852546692,100,2.7229672211367225e-09,3.0090227895424367e-10,2.6576282638171256e-09,2.349047918623543e-10,2.6100316039523736e-09,1.87262192972968e-10
7,0.9906790852546692,0.9892473220825195,100,2.5869929141405687e-09,2.0632805581351305e-10,2.5443233049979328e-09,1.6329527332712333e-10,2.501161731194863e-09,1.2002361514206635e-10
8,0.9892473220825195,0.9877883195877075,100,2.6875188453566314e-09,2.1094093332809459e-10,2.596438236209845e-09,1.197320874490582e-10,2.5488279107006027e-09,7.195422378136949e-11
9,0.9877883195877075,0.9863013625144958,100,2.347034054822802e-09,1.8846355352106437e-11,2.3009754601027186e-09,-2.8197826637434316e-11,2.241489193023695e-09,-8.775579242423018e-11
10,0.9863013625144958,0.9847856163978577,100,2.595139986581449e-09,7.706632638377334e-11,2.5397681597277185e-09,2.0936759276666244e-11,2.488838148769629e-09,-3.0037757563749616e-11
11,0.9847856163978577,0.9832402467727661,100,2.0655366934095845e-09,-1.6887075541106708e-10,1.926540952051798e-09,-3.086019836543423e-10,1.879588725713155e-09,-3.5561112469093236e-10
12,0.9832402467727661,0.9816642999649048,100,2.2929621580838175e-09,8.670623533473101e-11,2.1096085848606857e-09,-9.712051617154542e-11,2.061014242799109e-09,-1.4575492658806684e-10
13,0.9816642999649048,0.9800570011138916,100,2.712657926716405e-09,3.733440263777651e-10,2.5895616730532296e-09,2.4959805322783943e-10,2.549501195244606e-09,2.094821361116402e-10
14,0.9800570011138916,0.9784172773361206,100,2.321703168848149e-09,3.224043397236797e-10,2.1761555479923333e-09,1.7656430007432322e-10,2.1249698867310464e-09,1.2534957082255275e-10
15,0.9784172773361206,0.9767442345619202,100,2.348265449709083e-09,3.2663811979367734e-10,2.175251280113334e-09,1.5240202221560507e-10,2.128851089279573e-09,1.0593401274248451e-10
16,0.9767442345619202,0.9750366806983948,100,2.1469823072980614e-09,1.5851367313587403e-10,1.9458753140503286e-09,-4.341551238134428e-11,1.9075239014225088e-09,-8.174836413427704e-11
17,0.9750366806983948,0.9732937812805176,100,2.2298935054216022e-09,2.8923067871490303e-10,2.061880949208074e-09,1.2032688194710222e-10,2.0333144280595393e-09,9.16319369401082e-11
18,0.9732937812805176,0.9715142250061035,100,2.028011397259947e-09,8.870839384493573e-11,1.8372568258194282e-09,-1.0223954380331296e-10,1.8096797570087318e-09,-1.3002216616949334e-10
19,0.9715142250061035,0.9696969985961914,100,2.251736469323481e-09,2.9213011617293906e-10,2.1171442564891373e-09,1.567783297242529e-10,2.069584481992391e-09,1.0915621311510295e-10
20,0.9696969985961914,0.9678407311439514,100,2.5044507110752054e-09,4.129046187007742e-10,2.335167315332337e-09,2.427123140097336e-10,2.3022167251837236e-09,2.0973772444367683e-10
21,0.9678407311439514,0.9659442901611328,100,2.1868515331108536e-09,2.723831707656787e-10,1.9685024260458114e-09,5.295626943723239e-11,1.9244089559402864e-09,8.719070555224044e-12
22,0.9659442901611328,0.964006245136261,100,2.1359314588325404e-09,2.3158156180398702e-10,1.8215063048287319e-09,-8.312980417610762e-11,1.7981864733526798e-09,-1.0652077426842889e-10
23,0.964006245136261,0.9620253443717957,100,2.420602937747069e-09,4.127758977386109e-10,2.1758481713389473e-09,1.6692776826089314e-10,2.168420453185697e-09,1.5937897837551212e-10
24,0.9620253443717957,0.9599999785423279,100,2.154859446358041e-09,3.453843167513261e-10,1.8860961087451337e-09,7.606394979625157e-11,1.8578898447673318e-09,4.782539202615102e-11
25,0.9599999785423279,0.9579287767410278,100,2.381151884446555e-09,4.072270015879579e-10,2.02717448508662e-09,5.159439262448835e-11,2.0147060301314455e-09,3.903690458033077e-11
26,0.9579287767410278,0.9558101296424866,100,2.1917938609633058e-09,2.974816649115491e-10,1.8284655662605085e-09,-6.685642294310179e-11,1.8281167183965542e-09,-6.721370962478907e-11
27,0.9558101296424866,0.9536424279212952,100,2.23705107025135e-09,3.034667937246008e-10,1.8506332307618093e-09,-8.456701223154999e-11,1.854617298141175e-09,-8.080310165070094e-11
28,0.9536424279212952,0.9514237642288208,100,2.235523130712615e-09,2.3639325662584983e-10,1.863369261266093e-09,-1.361532437518147e-10,1.877925723665182e-09,-1.2189013288395005e-10
29,0.9514237642288208,0.9491525292396545,100,2.3672393653385433e-09,3.1667983856415937e-10,2.0811133537997248e-09,2.960604211013681e-11,2.0785170027311215e-09,2.6921638191958908e-11
30,0.9491525292396545,0.9468267560005188,100,2.6508433907043186e-09,5.020099859591108e-10,2.2203107052270854e-09,7.013124537060117e-11,2.2241615232580804e-09,7.398909973537357e-11
31,0.9468267560005188,0.9444444179534912,100,2.576319673904541e-09,5.375568521322503e-10,2.1524624959170135e-09,1.1266791023237861e-10,2.1516534327241137e-09,1.1162032107833581e-10
32,0.9444444179534912,0.9420035481452942,100,2.618324345610125e-09,4.902520851595906e-10,2.091162859089303e-09,-3.731432148116251e-11,2.112659338842495e-09,-1.5975370012944283e-11
33,0.9420035481452942,0.9395017623901367,100,2.9611521222103244e-09,7.255520930249047e-10,2.4215224959219476e-09,1.8435642869064737e-10,2.4728238603233523e-09,2.354349920590739e-10
34,0.9395017623901367,0.9369369745254517,100,2.8168998508541893e-09,6.549269562003262e-10,2.2506985186269212e-09,8.786112234000733e-11,2.27626391597588e-09,1.1339980730502399e-10
35,0.9369369745254517,0.9343065619468689,100,3.1179549181140137e-09,7.738817895478844e-10,2.517662276009057e-09,1.7109058788851614e-10,2.5928800187654213e-09,2.4621434132722987e-10
36,0.9343065619468689,0.9316081404685974,100,2.882066779667753e-09,5.938363261494405e-10,2.23247192234954e-09,-5.7587967065228646e-11,2.295880731349445e-09,5.789920635565001e-12
37,0.9316081404685974,0.9288389086723328,100,3.2314274015801737e-09,8.532588304979596e-10,2.460448737409634e-09,7.96589707054126e-11,2.531439542680763e-09,1.504268932966071e-10
38,0.9288389086723328,0.9259962439537048,100,3.0843603047120856e-09,6.383105034863204e-10,2.425734548018978e-09,-2.150539056350603e-11,2.5224842391550334e-09,7.490442799918006e-11
39,0.9259962439537048,0.9230769276618958,100,3.2632932348809574e-09,7.189198040020465e-10,2.687042610641019e-09,1.415104552292242e-10,2.7721579328573624e-09,2.26412409353215e-10
40,0.9230769276618958,0.9200779795646667,100,3.689048154577138e-09,9.427841546145859e-10,2.7982559002341316e-09,5.0014294993145505e-11,2.9168576019042834e-09,1.6857207165147996e-10
41,0.9200779795646667,0.9169960021972656,100,3.742946822437778e-09,1.0990595464549893e-09,2.858052657880798e-09,2.1260781384144718e-10,2.9728888861710205e-09,3.270849148237148e-10
42,0.9169960021972656,0.913827657699585,100,4.099326129981353e-09,1.2555762719036894e-09,2.9994980957315173e-09,1.5474100189866437e-10,3.1354352874422674e-09,2.9035851397402433e-10
43,0.913827657699585,0.9105690717697144,100,4.317444480965994e-09,1.3509182007936415e-09,3.14025661151921e-09,1.7144516665992544e-10,3.3027282368185416e-09,3.3357706264186664e-10
44,0.9105690717697144,0.9072164297103882,100,4.5141328159997675e-09,1.5252980442394529e-09,3.4165577619195144e-09,4.2598978889171507e-10,3.5870997053502018e-09,5.964391846014179e-10
45,0.9072164297103882,0.9037656784057617,100,4.641017507838278e-09,1.414383437632242e-09,3.531377415598879e-09,3.013606166666127e-10,3.7534639623247574e-09,5.233280791238249e-10
46,0.9037656784057617,0.9002123475074768,100,4.725929066691519e-09,1.4910566511014083e-09,3.44231604383832e-09,2.0485368117173277e-10,3.6733050819062352e-09,4.35786246720846e-10
47,0.9002123475074768,0.8965517282485962,100,5.202937216589752e-09,1.8164910773812658e-09,3.647508231655829e-09,2.5688710359652266e-10,3.877084760214414e-09,4.861393346533869e-10
48,0.8965517282485962,0.8927790522575378,100,5.138242609522027e-09,1.6476794174913712e-09,3.7211556708282207e-09,2.284729124071742e-10,3.994528647903807e-09,5.015378776646364e-10
49,0.8927790522575378,0.8888888955116272,100,5.419310134029909e-09,1.7383145834272478e-09,4.004965864561584e-09,3.217353582238198e-10,4.272545915696676e-09,5.890238668030359e-10
50,0.8888888955116272,0.8848758339881897,100,6.261419594388315e-09,2.213587029147344e-09,4.540760969119246e-09,4.89438435428076e-10,4.8625140592082474e-09,8.110642983530176e-10
51,0.8848758339881897,0.8807339668273926,100,6.44473893935077e-09,2.481709901876211e-09,4.532179025710661e-09,5.66942835585368e-10,4.863988331078912e-09,8.983901295678469e-10
52,0.8807339668273926,0.8764568567276001,100,7.198071978023832e-09,2.832669728448728e-09,5.019786583278004e-09,6.523096046027389e-10,5.373012359337524e-09,1.0050716039768774e-09
53,0.8764568567276001,0.8720378875732422,100,7.459087963807137e-09,2.8977067267598207e-09,5.125476668784175e-09,5.610109236576235e-10,5.53103855173452e-09,9.660038934449677e-10
54,0.8720378875732422,0.8674699068069458,100,8.232600304548352e-09,3.5867324293990987e-09,5.82255598872615e-09,1.173281961344786e-09,6.2450578639395965e-09,1.595506450882798e-09
