output_row,sample_id,label,source_row,paired_X_row,v2_vector_row,step_index,domain,t,R_F,R_W,R_B,C_W,Q_W,Q_W_zero,R_W_minus_R_F,identity_W_residual,identity_W_allowed_bound,oracle_C_over_Q_W_descriptive,delta_W_fp32_minus_fp64_max_abs,delta_W_fp32_minus_fp64_rms,C_B,Q_B,Q_B_zero,R_B_minus_R_F,identity_B_residual,identity_B_allowed_bound,oracle_C_over_Q_B_descriptive,delta_B_fp32_minus_fp64_max_abs,delta_B_fp32_minus_fp64_rms
0,0,0,985579,0,0,0,teacher,1.0,0.57178266782239,0.5872480267691874,0.5804396711320221,0.0055368597034754,0.004391639539846598,False,0.015465358946797458,5.984795992119984e-17,1.3093071789359485e-12,1.2607728055178238,0.0,0.0,4.957478481380263e-06,0.00864708835266932,False,0.00865700330963215,6.938893903907228e-17,1.1731400661926423e-12,0.0005733118801602056,0.0,0.0
1,1,1,801642,1,1,0,teacher,1.0,0.659530485370328,0.658239848864181,0.6690404119529345,-0.0019232752876552873,0.0025559140691636083,False,-0.0012906365061470249,-5.854691731421724e-17,1.076931011506212e-12,-0.7524804182030485,0.0,0.0,0.0002707131360321529,0.008968500310542209,False,0.00950992658260652,5.204170427930421e-18,1.1901985316521302e-12,0.03018488338724118,0.0,0.0
2,2,2,769290,2,2,0,teacher,1.0,0.7148241828802019,0.7222842484382758,0.7374234267384858,0.0022263181661686697,0.003007429225736562,False,0.007460065558073881,-2.0816681711721685e-17,1.1492013111614777e-12,0.7402728373843653,0.0,0.0,0.00543489512744585,0.01172945360339221,False,0.022599243858283935,2.42861286636753e-17,1.4519848771656784e-12,0.46335450151523294,0.0,0.0
3,3,3,1066283,3,3,0,teacher,1.0,0.5929823955313364,0.6055142484379679,0.598362396773237,0.0043946684442507915,0.003742516018129924,False,0.012531852906631502,-5.204170427930421e-18,1.25063705813263e-12,1.1742550794603512,0.0,0.0,-0.0018241904279825702,0.009028382097865714,False,0.005380001241900634,6.071532165918825e-17,1.1805676419573148e-12,-0.20205064519963153,0.0,0.0
4,4,4,356051,4,4,0,teacher,1.0,0.8487528258959056,0.8446625633381134,0.8676193334171092,-0.003144885670969156,0.0021995087841460677,False,-0.0040902625577922125,3.209238430557093e-17,1.1257954268387658e-12,-1.4298127352967673,0.0,0.0,0.004061484003286872,0.01074353951462981,False,0.018866507521203557,1.734723475976807e-18,1.377330150424071e-12,0.37803965795036387,0.0,0.0
5,5,5,843767,5,5,0,teacher,1.0,1.160602233991537,1.162311016100964,1.153741251184675,-0.0004499862207534831,0.002608754550933861,False,0.0017087821094270428,1.478851763270228e-16,1.0521750910186788e-12,-0.1724908234821864,0.0,0.0,-0.007554919942248923,0.008248857077635808,False,-0.006860982806861982,5.724587470723463e-17,1.3021967976899564e-12,-0.9158747534530235,0.0,0.0
6,6,6,756795,6,6,0,teacher,1.0,0.6867761769309584,0.6896088383245474,0.6831752991084441,9.77758596032675e-05,0.002637109674382561,False,0.0028326613935890643,-3.165870343657673e-17,1.0566532278717816e-12,0.03707690300220837,0.0,0.0,-0.0052826464770771185,0.006964415131639962,False,-0.0036008778225142812,-6.071532165918825e-18,1.2113058590830848e-12,-0.7585197575425369,0.0,0.0
7,7,7,67027,7,7,0,teacher,1.0,0.6307720306808148,0.6427920940925286,0.6284420312264379,0.004090324481325161,0.00383941444906352,False,0.0120200634117138,-4.336808689942018e-17,1.2404012682342763e-12,1.0653511194455294,0.0,0.0,-0.004986728489604185,0.007643457524831583,False,-0.002329999454376841,-5.4643789493269423e-17,1.1994691395841678e-12,-0.6524178977123397,0.0,0.0
8,0,0,985579,0,16,47,teacher,0.9002123475074768,0.27944977791584563,0.35474856463637805,0.3154077106469239,0.0036001087384947388,0.06809856924354295,False,0.07529878672053242,-1.3877787807814457e-17,2.505975734410648e-12,0.05286614356932467,0.0,0.0,-0.0014976186219301836,0.03895316997493865,False,0.03595793273107828,-6.938893903907228e-18,1.779063399498773e-12,-0.03844664305610322,0.0,0.0
9,1,1,801642,1,17,47,teacher,0.9002123475074768,0.3660547538006455,0.42633812776546237,0.40482571278308155,-0.0010206087795853304,0.06232459152398752,False,0.060283373964816866,6.938893903907228e-18,2.2464918304797504e-12,-0.01637569945713191,0.0,0.0,-0.0046302944376542645,0.048031547857744564,False,0.03877095898243604,6.938893903907228e-18,1.9606309571548914e-12,-0.0964011081085258,0.0,0.0
10,2,2,769290,2,18,47,teacher,0.9002123475074768,0.25703129730304236,0.33707963956531434,0.296349726595994,0.002555894987539376,0.07493655228719322,False,0.08004834226227198,1.3877787807814457e-17,2.6009668452454395e-12,0.034107453699550344,0.0,0.0,-0.0010573316207739929,0.041433092534499616,False,0.03931842929295165,2.0816681711721685e-17,1.8286618506899925e-12,-0.02551901284929665,0.0,0.0
11,3,3,1066283,3,19,47,teacher,0.9002123475074768,0.28081914852987844,0.3535074117495514,0.331459516049718,0.002451230291882085,0.06778580263590883,False,0.07268826321967298,-2.7755575615628914e-17,2.4537652643934597e-12,0.03616141133635513,0.0,0.0,0.0022662891165130894,0.04610778928681344,False,0.05064036751983958,-3.469446951953614e-17,2.0128073503967917e-12,0.04915197955850022,0.0,0.0
12,4,4,356051,4,20,47,teacher,0.9002123475074768,0.40120416788463026,0.4506291141137685,0.48864736554541777,0.0043985607300424875,0.040627824769053265,False,0.049424946229138234,-6.938893903907228e-18,1.9884989245827646e-12,0.10826473617639819,0.0,0.0,0.005475185391983377,0.07649282687682075,False,0.08744319766078751,0.0,2.7488639532157498e-12,0.07157776245869787,2.9802322387695312e-08,5.820766091346741e-11
13,5,5,843767,5,21,47,teacher,0.9002123475074768,0.4050982118567964,0.45201254330314306,0.440741712810298,-0.003674854046286696,0.05426403953892007,False,0.04691433144634666,-2.0816681711721685e-17,2.0852807907784013e-12,-0.06772171916266871,0.0,0.0,-0.0035718559191342076,0.04278721279177004,False,0.035643500953501606,-2.0816681711721685e-17,1.8557442558354005e-12,-0.08347951843736923,0.0,0.0
14,6,6,756795,6,22,47,teacher,0.9002123475074768,0.3714974715818939,0.4094853964191542,0.3974037538641799,-0.004954078577013342,0.047896081991287004,False,0.03798792483726032,0.0,1.9579216398257402e-12,-0.10343390045796567,0.0,0.0,-0.00455327516193781,0.03501283260616168,False,0.02590628228228603,-2.7755575615628914e-17,1.7002566521232332e-12,-0.13004589526231333,0.0,0.0
15,7,7,67027,7,23,47,teacher,0.9002123475074768,0.27078971686974046,0.3522574917843874,0.3121006805189992,0.0009214243095371886,0.07962492629557258,False,0.08146777491464696,0.0,2.6293554982929394e-12,0.011572058555091221,0.0,0.0,-0.0005034683643556961,0.04231790037797012,False,0.041310963649258736,6.938893903907228e-18,1.8463580075594024e-12,-0.011897290741243674,0.0,0.0
16,0,0,985579,0,32,67,teacher,0.7975830435752869,0.18218827564027312,0.2714599736117619,0.21601782158229257,0.0017701416920525223,0.08573141458738374,False,0.08927169797148876,-2.7755575615628914e-17,2.7854339594297754e-12,0.020647526937144656,0.0,0.0,-0.0020664177523800915,0.03796238144677965,False,0.03382954594201945,-2.0816681711721685e-17,1.759247628935593e-12,-0.05443330143228898,0.0,0.0
17,1,1,801642,1,33,67,teacher,0.7975830435752869,0.22254981092923518,0.31294489378165374,0.26844007427435074,0.001847187019382468,0.08670070881365362,False,0.09039508285241857,1.3877787807814457e-17,2.807901657048371e-12,0.02130532777249421,0.0,0.0,-0.0008323961362670922,0.047555055617649715,False,0.04589026334511556,3.469446951953614e-17,1.9511011123529944e-12,-0.01750384108389423,0.0,0.0
18,2,2,769290,2,34,67,teacher,0.7975830435752869,0.17205959291873998,0.2591430193353586,0.20929574116240607,-0.00022297967619585787,0.08752938576901031,False,0.08708342641661862,2.7755575615628914e-17,2.7505877153802063e-12,-0.002547483616351431,0.0,0.0,-0.0006573097232046056,0.03855076769007528,False,0.037236148243666084,1.3877787807814457e-17,1.7710153538015056e-12,-0.017050496334832445,0.0,0.0
19,3,3,1066283,3,35,67,teacher,0.7975830435752869,0.18199888389110364,0.2697525363341642,0.22955883843556807,0.001574780759912249,0.08460409092323604,False,0.08775365244306055,1.3877787807814457e-17,2.755073048861211e-12,0.018613529709114153,0.0,0.0,0.0007684984433858795,0.04602295765769268,False,0.04755995454446443,-6.938893903907228e-18,1.9511990908892884e-12,0.016698154192996025,0.0,0.0
20,4,4,356051,4,36,67,teacher,0.7975830435752869,0.25027152213347004,0.3144670188895539,0.3245434090815303,-2.7154179080826412e-06,0.06420092759190002,False,0.06419549675608388,2.7755575615628914e-17,2.2840185518380007e-12,-4.229561799080976e-05,0.0,0.0,0.000832676611682028,0.07260653372469618,False,0.07427188694806025,1.3877787807814457e-17,2.485437738961205e-12,0.011468342709201718,0.0,0.0
21,5,5,843767,5,37,67,teacher,0.7975830435752869,0.2731338497767556,0.3422159809081674,0.31492232371426565,-0.002373448925715887,0.07382902898284362,False,0.06908213113141182,-2.7755575615628914e-17,2.476580579656872e-12,-0.032147909276545254,0.0,0.0,-0.0013936758768115448,0.044575825691133185,False,0.04178847393751006,-3.469446951953614e-17,1.891516513822663e-12,-0.03126528460669139,0.0,0.0
22,6,6,756795,6,38,67,teacher,0.7975830435752869,0.2103227819646741,0.2828253611500272,0.24768739914601667,0.0008248295773288766,0.07085292003069539,False,0.0725025791853531,-4.163336342344337e-17,2.4500515837070624e-12,0.011641433789483034,0.0,0.0,-0.00023084282012482242,0.03782630282159222,False,0.03736461718134257,0.0,1.7565260564318444e-12,-0.0061027063949017895,0.0,0.0
