step_index,t,rows,R_F_mean,R_F_min,R_F_max,R_W_mean,R_W_min,R_W_max,R_B_mean,R_B_min,R_B_max,C_W_mean,C_W_min,C_W_max,Q_W_mean,Q_W_min,Q_W_max,C_B_mean,C_B_min,C_B_max,Q_B_mean,Q_B_min,Q_B_max,R_W_minus_R_F_mean,R_W_minus_R_F_min,R_W_minus_R_F_max,R_B_minus_R_F_mean,R_B_minus_R_F_min,R_B_minus_R_F_max,oracle_mean_C_over_mean_Q_W_descriptive,zero_Q_W_rows,positive_C_W_rows,negative_C_W_rows,identity_W_max_abs_residual,oracle_mean_C_over_mean_Q_B_descriptive,zero_Q_B_rows,positive_C_B_rows,negative_C_B_rows,identity_B_max_abs_residual
0,1.0,8,0.733252874887934,0.57178266782239,1.160602233991537,0.7390826105457206,0.5872480267691871,1.1623110161009638,0.7397804776916682,0.580439671132022,1.153741251184675,0.0013534749344306706,-0.003144885670969156,0.0055368597034754,0.0031227857889253377,0.0021995087841460677,0.004391639539846598,-0.0012345544489583177,-0.007554919942248923,0.00543489512744585,0.008996711701650825,0.00696441513163996,0.011729453603392209,0.005829735657786578,-0.0040902625577922125,0.015465358946797125,0.006527602803734184,-0.006860982806861982,0.022599243858283935,0.4334190770403274,0,5,3,2.732189474663471e-16,-0.13722285318221175,0,4,4,1.1796119636642288e-16
47,0.9002123475074768,8,0.3289930682178091,0.25703129730304236,0.40509821185679645,0.392007286167145,0.3370796395653144,0.45201254330314317,0.37336702235182656,0.296349726595994,0.4886473655454177,0.0005347097068263134,-0.004954078577013342,0.0043985607300424875,0.061944798535683174,0.040627824769053265,0.07962492629557258,-0.0010090462021612112,-0.0046302944376542645,0.005475185391983377,0.04639204653833985,0.03501283260616167,0.07649282687682074,0.06301421794933587,0.037987924837260434,0.0814677749146469,0.04437395413401745,0.025906282282286197,0.08744319766078751,0.00863203561019405,0,5,3,1.5959455978986625e-16,-0.021750413647462254,0,2,6,1.457167719820518e-16
67,0.7975830435752869,8,0.20844693479521315,0.17205959291873998,0.2731338497767556,0.29018824339678184,0.2591430193353586,0.34221598090816757,0.25268667193807165,0.20929574116240604,0.32454340908153034,0.0004239729556960515,-0.002373448925715887,0.001847187019382468,0.08089336269017659,0.06420092759190002,0.09369842482269,-0.0005632603879488266,-0.0020664177523800915,0.000832676611682028,0.04536625791875616,0.037826302821592224,0.07260653372469618,0.08174130860156872,0.06419549675608394,0.09364640205611427,0.04423973714285852,0.03382954594201948,0.0742718869480603,0.005241134026284424,0,4,4,1.3877787807814457e-16,-0.012415844149136952,0,2,6,6.938893903907228e-17
77,0.7049808502197266,8,0.15962171156695718,0.13406781407680549,0.2049585346261928,0.2486197535891276,0.2268279996997687,0.28747519011108535,0.1996724923230694,0.16746422781767198,0.2581584776706699,0.00046908934966865146,-0.0013737311732253408,0.0017014863758574444,0.08805986332283314,0.07298619481070226,0.09818258070215131,-0.0008613980674301706,-0.0015230453642182582,-0.000197531690456082,0.04177357689097259,0.035176723569401686,0.06213138441020894,0.08899804202217043,0.07337484238523403,0.09822724278420514,0.040050780756112236,0.03274352403002273,0.0601793025794751,0.00532693706267678,0,5,3,5.551115123125783e-17,-0.02062064423351599,0,0,8,4.85722573273506e-17
84,0.6037735939025879,8,0.12763699431340933,0.10679760669590581,0.16190746111504073,0.22705569288112998,0.2106680954633009,0.2589501633743577,0.16317165912502535,0.1369493547721334,0.21278054621243603,0.0005073729175840554,-0.001464359072902953,0.0018802052275456995,0.09840395273255254,0.08592285851053927,0.10470104801862042,-0.0011461385749415476,-0.0014400168502311551,-0.0006777545240657388,0.037826941961499126,0.03249099946655271,0.0531454994278998,0.09941869856772065,0.0896832689656306,0.10611522733630491,0.035534664811616025,0.029929802652726017,0.0508730850973953,0.005156021719605312,0,5,3,1.1102230246251565e-16,-0.030299530321750725,0,0,8,4.163336342344337e-17
89,0.4971751570701599,8,0.10238305138752254,0.08552161255846512,0.13109719095530536,0.21985955461881845,0.20317492749686566,0.2504719130546442,0.13275443371159848,0.11197099033851339,0.17261781858677563,0.00045632216491249414,-0.0011748369357834952,0.001892643690754282,0.11656385890147092,0.10165425731168748,0.1234940928146877,-0.0012181934802613249,-0.00171445180867972,-0.000794585577454116,0.03280776928459859,0.028904940188575503,0.04398217840859656,0.11747650323129592,0.10543954469319602,0.12347006983483287,0.030371382324075935,0.026449377780048272,0.04152062763147027,0.0039147825853827825,0,5,3,6.938893903907228e-17,-0.0371312499089415,0,0,8,2.0816681711721685e-17
92,0.41025641560554504,8,0.08378115820199744,0.0704245166621701,0.10665432600907955,0.22426770808232105,0.20490946143958888,0.25931341087904736,0.10915409541058887,0.09333692874798653,0.13992058867725884,0.0004770181430282472,-0.0007528991010761254,0.0018454425704702779,0.1395325135942671,0.12198123953543058,0.15109846205593958,-0.0012604318207015412,-0.0017597572238173638,-0.0007817405754828605,0.027893800849994512,0.025079414685574446,0.03611229802660188,0.1404865498803236,0.12567212467637107,0.15265908486996782,0.025372937208591434,0.022679055990601132,0.033266262668179294,0.00341868809455638,0,7,1,8.326672684688674e-17,-0.0451868079032976,0,0,8,2.7755575615628914e-17
95,0.29629629850387573,8,0.05879111457012079,0.050702182836194175,0.0725503348449002,0.24797515141621004,0.2232957564434241,0.2898230051480998,0.07641886556313167,0.06742514059610423,0.09440296581391172,0.0007288086234158679,8.756530097644294e-05,0.0016153185662658573,0.1877264195992575,0.1663017337674163,0.21404203317066778,-0.0014051988978737058,-0.0019315403535190906,-0.0009289374855117535,0.020438148788758288,0.018299376628025988,0.02571571167604972,0.18918403684608925,0.16898102966364642,0.21727267030319958,0.017627750993010873,0.016103245868571286,0.02185263096901152,0.003882291181878752,0,8,0,8.326672684688674e-17,-0.06875372678794742,0,0,8,2.0816681711721685e-17
97,0.1983470916748047,8,0.03553466207447765,0.03197707916285507,0.0416886696128795,0.2936216699399051,0.26583704953904125,0.3410174954710048,0.04818327046581726,0.04373449018484422,0.058502598692246076,0.0010636943305626697,0.00020554761740540755,0.001837539857310346,0.2559596192043021,0.22981928401190638,0.29860602551780313,-0.0016108948769705653,-0.00231148262621867,-0.0011567984480027743,0.01587039814528074,0.013691894855490805,0.021436894331803895,0.25808700786542743,0.23207511524298663,0.2993288258581253,0.012648608391339612,0.01093754341741654,0.016813929079366574,0.004155711490231782,0,8,0,1.1102230246251565e-16,-0.10150311682316457,0,0,8,2.0816681711721685e-17
99,0.07476635277271271,8,0.01048551483152557,0.009719240974364407,0.012351283885631061,0.3595839727797975,0.33064714820115987,0.4031584481459598,0.02571928797266637,0.022012776968390827,0.033926592996575196,0.0012055504512761472,-0.00010565620396298797,0.0022045570929132285,0.3466873570457195,0.3177702635790305,0.38760513922471757,-0.0019984148927584943,-0.0025341749678577333,-0.0016478448782318205,0.019230602926657788,0.01558922575049006,0.02664365904665959,0.34909845794827193,0.32066664910578535,0.39080716426032874,0.015233773141140803,0.01229353599402642,0.021575309110944137,0.0034773418377560413,0,7,1,1.6653345369377348e-16,-0.10391847309104686,0,0,8,1.3877787807814457e-17
