step_index,t,domain,F_minus_W_fp32_bitwise,F_minus_B_fp32_bitwise,head_dtype,full_norm_max_abs_difference,base_norm_max_abs_difference,weak_norm_max_abs_difference
0,1.0,teacher,True,True,torch.bfloat16,0.0,0.0,0.0
47,0.9002123475074768,teacher,True,True,torch.bfloat16,0.0,0.0,0.0
67,0.7975830435752869,teacher,True,True,torch.bfloat16,0.0,0.0,0.0
77,0.7049808502197266,teacher,True,True,torch.bfloat16,0.0,0.0,0.0
84,0.6037735939025879,teacher,True,True,torch.bfloat16,0.0,0.0,0.0
89,0.4971751570701599,teacher,True,True,torch.bfloat16,0.0,0.0,0.0
92,0.41025641560554504,teacher,True,True,torch.bfloat16,0.0,0.0,0.0
95,0.29629629850387573,teacher,True,True,torch.bfloat16,0.0,0.0,0.0
97,0.1983470916748047,teacher,True,True,torch.bfloat16,0.0,0.0,0.0
99,0.07476635277271271,teacher,True,True,torch.bfloat16,0.0,0.0,0.0
