step_index,time,next_time,cohort_second_moment_before,target_second_moment,lambda_ideal_fp64,lambda_applied_fp32,active,cohort_second_moment_after,cohort_correction_rms,energy_bound_excess_after,lambda_roundoff
0,1.0,0.9987389445304871,0.9975312588106539,0.9974810660816975,0.9999748412092778,0.9999748468399048,True,0.9974810773636472,2.5122080935272804e-05,1.128194970778651e-08,5.630626964681085e-09
1,0.9987389445304871,0.9974554777145386,0.9949402787606608,0.9949238903621273,0.9999917640956094,0.999991774559021,True,0.9949239113390287,8.204566080066934e-06,2.0976901438096718e-08,1.0463411581618232e-08
2,0.9974554777145386,0.996148943901062,0.9923436332869919,0.9923275164175989,0.9999918793579702,0.9999918937683105,True,0.9923275451770724,8.075099267871034e-06,2.875947358038644e-08,1.4410340365422769e-08
3,0.996148943901062,0.9948186874389648,0.9897069537663304,0.9896910077742873,0.9999919440516141,0.9999919533729553,True,0.9896910257381307,8.00539217860765e-06,1.796384341279378e-08,9.32134125442019e-09
4,0.9948186874389648,0.9934640526771545,0.9870291929182148,0.987013448521111,0.9999920243190358,0.9999920129776001,True,0.9870134262932938,7.935013386934168e-06,0.0,-1.134143567949053e-08
5,0.9934640526771545,0.9920844435691833,0.9843097114967353,0.9842940612639305,0.9999920501165278,0.9999920725822449,True,0.9842941050110243,7.865261757945545e-06,4.374709383636599e-08,2.2465717064434898e-08
6,0.9920844435691833,0.9906790852546692,0.9815474414209456,0.9815317381415078,0.9999920007217263,0.9999920129776001,True,0.9815317623611569,7.912947697652413e-06,2.4219649064072257e-08,1.2255873760302904e-08
7,0.9906790852546692,0.9892473220825195,0.978741246440508,0.9787256297841077,0.9999920220391488,0.9999920129776001,True,0.9787256122099035,7.90162645127693e-06,0.0,-9.061548733590996e-09
8,0.9892473220825195,0.9877883195877075,0.9758900701157763,0.9758745611429411,0.9999920539029301,0.9999920725822449,True,0.9758745971184759,7.831553991782632e-06,3.597553477341364e-08,1.8679314761627097e-08
9,0.9877883195877075,0.9863013625144958,0.9729929420991835,0.9729776172363903,0.9999921248539053,0.9999921321868896,True,0.9729776316649161,7.760802501063826e-06,1.4428525818566129e-08,7.3329843308655995e-09
10,0.9863013625144958,0.9847856163978577,0.9700488330080743,0.9700336781186101,0.9999921885640498,0.9999921917915344,True,0.9700336838915177,7.69067567546062e-06,5.772907596401922e-09,3.2274846128999e-09
11,0.9847856163978577,0.9832402467727661,0.9670565788268526,0.9670416538044392,0.9999922832436453,0.999992311000824,True,0.9670417070063555,7.561574357651677e-06,5.3201916316858444e-08,2.775717866665417e-08
12,0.9832402467727661,0.9816642999649048,0.9640150165506413,0.964000255558102,0.9999923439734903,0.9999923706054688,True,0.9640003070656755,7.490824561442545e-06,5.1507573539666396e-08,2.6631978400359912e-08
13,0.9816642999649048,0.9800570011138916,0.9609229996245274,0.9609085730213792,0.9999924933333358,0.9999924898147583,True,0.9609085664276988,7.36194127355416e-06,0.0,-3.5185775404400488e-09
14,0.9800570011138916,0.9784172773361206,0.9577791502514147,0.9577651569853832,0.9999926949145119,0.9999926686286926,True,0.9577651061298921,7.175234195886491e-06,0.0,-2.6285819298976776e-08
15,0.9784172773361206,0.9767442345619202,0.9545824256631529,0.9545689396994841,0.9999929361724365,0.9999929070472717,True,0.9545688835616292,6.930326011527118e-06,0.0,-2.9125164724419506e-08
16,0.9767442345619202,0.9750366806983948,0.9513313984509335,0.95131832407133,0.9999931283543536,0.9999931454658508,True,0.9513183560873488,6.685976550777853e-06,3.201601883606742e-08,1.7111497219168825e-08
17,0.9750366806983948,0.9732937812805176,0.9480251027175539,0.9480124365890743,0.9999933197070677,0.9999933242797852,True,0.9480124454429716,6.4998729444679615e-06,8.85389728200181e-09,4.572717426931661e-09
18,0.9732937812805176,0.9715142250061035,0.9446616184932134,0.9446495423254785,0.9999936081840879,0.999993622303009,True,0.9446495684253029,6.199064812014568e-06,2.609982441281744e-08,1.4118921143335683e-08
19,0.9715142250061035,0.9696969985961914,0.9412401377154236,0.9412285193405232,0.9999938281367908,0.9999938011169434,True,0.9412284686673482,6.01395521004662e-06,0.0,-2.701984747055519e-08
20,0.9696969985961914,0.9678407311439514,0.9377585790436684,0.9377476225298446,0.9999941581201857,0.999994158744812,True,0.937747623910925,5.656495960674382e-06,1.3810804722069747e-09,6.24626350642643e-10
21,0.9678407311439514,0.9659442901611328,0.934215991803688,0.9342056097054242,0.9999944434010981,0.9999944567680359,True,0.934205634017081,5.358201677446192e-06,2.4311656798836623e-08,1.3366937778869215e-08
22,0.9659442901611328,0.964006245136261,0.9306105753272024,0.9306007388058019,0.999994715003432,0.999994695186615,True,0.9306007012308827,5.117872686790468e-06,0.0,-1.9816816965168016e-08
23,0.964006245136261,0.9620253443717957,0.9269408223982881,0.9269316628556037,0.999995059250229,0.9999950528144836,True,0.9269316501949638,4.763481066838373e-06,0.0,-6.435745381061508e-09
24,0.9620253443717957,0.9599999785423279,0.9232051009145789,0.9231964380018188,0.9999953082294099,0.9999952912330627,True,0.9231964058549178,4.5248145265746685e-06,0.0,-1.6996347107500753e-08
25,0.9599999785423279,0.9579287767410278,0.919401579301247,0.9193936323826525,0.9999956782020252,0.9999956488609314,True,0.9193935775980716,4.172613171754326e-06,0.0,-2.934109377683569e-08
26,0.9579287767410278,0.9558101296424866,0.9155286654684027,0.9155214494650297,0.9999960590979485,0.9999960660934448,True,0.9155214625769703,3.764009938289565e-06,1.3111940644350284e-08,6.99549629334939e-09
27,0.9558101296424866,0.9536424279212952,0.9115848182404461,0.9115781735924263,0.9999963554350647,0.9999963641166687,True,0.9115781884331216,3.4720318341848726e-06,1.4840695228279799e-08,8.681603991256281e-09
28,0.9536424279212952,0.9514237642288208,0.9075673925078014,0.9075616348844627,0.9999968279862642,0.9999968409538269,True,0.9075616572959412,3.010195287990491e-06,2.2411478450834466e-08,1.2967562690313628e-08
29,0.9514237642288208,0.9491525292396545,0.903475323546538,0.9034702969614926,0.999997218190743,0.9999971985816956,True,0.9034702602717741,2.663555230126738e-06,0.0,-1.9609047496871312e-08
30,0.9491525292396545,0.9468267560005188,0.8993062358585386,0.8993020750498499,0.9999976866537029,0.9999976754188538,True,0.8993020533196839,2.2053750182101403e-06,0.0,-1.1234849162100602e-08
31,0.9468267560005188,0.9444444179534912,0.8950584074479663,0.8950548863238672,0.9999980330179948,0.9999980330467224,True,0.8950548845784688,1.8619896184845689e-06,0.0,2.8727575873688238e-11
32,0.9444444179534912,0.9420035481452942,0.8907295482151414,0.8907268679700824,0.9999984954764998,0.9999985098838806,True,0.8907268912977638,1.4077904659135618e-06,2.3327681453189086e-08,1.4407380843906026e-08
33,0.9420035481452942,0.9395017623901367,0.8863173165539252,0.8863155404603016,0.9999989980481706,0.9999989867210388,True,0.8863155169495142,9.560653079695341e-07,0.0,-1.1327131788085865e-08
34,0.9395017623901367,0.9369369745254517,0.8818199498852873,0.8818190838909948,0.9999995089731724,0.9999995231628418,True,0.8818191113170268,4.471195717387579e-07,2.7426032001010014e-08,1.4189669439446106e-08
