step_index,time,next_time,cohort_second_moment_before,target_second_moment,lambda_ideal_fp64,lambda_applied_fp32,active,cohort_second_moment_after,cohort_correction_rms,energy_bound_excess_after,lambda_roundoff
0,1.0,0.9987389445304871,0.9974842820775978,0.9974810660816975,0.9999983879452788,0.9999983906745911,True,0.9974810691053866,1.6087110606360265e-06,3.02368907689754e-09,2.7293122206728526e-09
1,0.9987389445304871,0.9974554777145386,0.9949400115648362,0.9949238903621273,0.9999918983718487,0.9999918937683105,True,0.9949238813626936,8.085655815819874e-06,0.0,-4.603538106273675e-09
2,0.9974554777145386,0.996148943901062,0.9923433386683409,0.9923275164175989,0.9999920278026794,0.9999920129776001,True,0.9923274871565548,7.956345520974526e-06,0.0,-1.4825079275304631e-08
3,0.996148943901062,0.9948186874389648,0.9897066250905725,0.9896910077742873,0.9999921100973262,0.9999921321868896,True,0.9896910516672739,7.827170906772924e-06,4.3892986578697446e-08,2.208956340066237e-08
4,0.9948186874389648,0.9934640526771545,0.9870289496321203,0.987013448521111,0.9999921475596657,0.9999921321868896,True,0.9870134183339601,7.816580030932347e-06,0.0,-1.5372776052124948e-08
5,0.9934640526771545,0.9920844435691833,0.9843094105531656,0.9842940612639305,0.9999922029857126,0.9999921917915344,True,0.9842940387353768,7.746997180092756e-06,0.0,-1.1194178139994904e-08
6,0.9920844435691833,0.9906790852546692,0.9815470530208431,0.9815317381415078,0.9999921985711091,0.9999921917915344,True,0.9815317243476008,7.736116362263643e-06,0.0,-6.779574679427469e-09
7,0.9906790852546692,0.9892473220825195,0.9787408462016817,0.9787256297841077,0.999992226503688,0.9999922513961792,True,0.9787256786752633,7.665754647122663e-06,4.889115556849788e-08,2.4892491179429044e-08
8,0.9892473220825195,0.9877883195877075,0.9758897282345868,0.9758745611429411,0.9999922290653656,0.9999922513961792,True,0.9758746048982727,7.654577914596964e-06,4.375533158018641e-08,2.233081364266809e-08
9,0.9877883195877075,0.9863013625144958,0.9729924920335931,0.9729776172363903,0.9999923561311237,0.9999923706054688,True,0.972977645562416,7.5256246409799096e-06,2.8326025636182806e-08,1.4474345055859317e-08
10,0.9863013625144958,0.9847856163978577,0.9700483445076717,0.9700336781186101,0.9999924403538333,0.9999924302101135,True,0.9700336579408683,7.45585885891718e-06,0.0,-1.0143719753052949e-08
11,0.9847856163978577,0.9832402467727661,0.9670560130268234,0.9670416538044392,0.9999925757787067,0.9999925494194031,True,0.9670416023157902,7.327127186540019e-06,0.0,-2.6359303628709085e-08
12,0.9832402467727661,0.9816642999649048,0.9640143391081608,0.964000255558102,0.9999926953360933,0.9999926686286926,True,0.9640002035517412,7.198555430144163e-06,0.0,-2.6707400624381705e-08
13,0.9816642999649048,0.9800570011138916,0.960922286690636,0.9609085730213792,0.9999928642938273,0.999992847442627,True,0.9609085408160848,7.011364206162015e-06,0.0,-1.6851200324019544e-08
14,0.9800570011138916,0.9784172773361206,0.9577784738088021,0.9577651569853832,0.9999930480429076,0.9999930262565613,True,0.9577651147116967,6.825256196545106e-06,0.0,-2.1786346282581803e-08
15,0.9784172773361206,0.9767442345619202,0.9545817408365912,0.9545689396994841,0.9999932948748775,0.9999933242797852,True,0.9545689960263957,6.522309369562713e-06,5.632691157941849e-08,2.9404907619934306e-08
16,0.9767442345619202,0.9750366806983948,0.9513307694745163,0.95131832407133,0.9999934589291711,0.9999934434890747,True,0.9513182948852151,6.394920605672318e-06,0.0,-1.544009642362454e-08
17,0.9750366806983948,0.9732937812805176,0.948024234852817,0.9480124365890743,0.9999937774267699,0.9999938011169434,True,0.9480124817035575,6.035586955861736e-06,4.511448314925559e-08,2.3690173489576694e-08
18,0.9732937812805176,0.9715142250061035,0.9446607718494564,0.9446495423254785,0.9999940563016455,0.9999940395355225,True,0.9446495108659198,5.7931344402793185e-06,0.0,-1.67661230454641e-08
19,0.9715142250061035,0.9696969985961914,0.9412391463485056,0.9412285193405232,0.9999943547620073,0.9999943375587463,True,0.941228486308293,5.493946617845304e-06,0.0,-1.7203260926912378e-08
20,0.9696969985961914,0.9678407311439514,0.9377575792893683,0.9377476225298446,0.9999946911727652,0.999994695186615,True,0.9377476293624275,5.137486692152836e-06,6.832582943872012e-09,4.0138498080821705e-09
21,0.9678407311439514,0.9659442901611328,0.9342149140099674,0.9342056097054242,0.9999950202423605,0.9999949932098389,True,0.9342055594425082,4.839237833296237e-06,0.0,-2.703252166558201e-08
22,0.9659442901611328,0.964006245136261,0.9306093129547882,0.9306007388058019,0.9999953932500908,0.9999954104423523,True,0.9306007700045713,4.427940712610501e-06,3.1198769456786124e-08,1.7192261503318207e-08
23,0.964006245136261,0.9620253443717957,0.9269395825020523,0.9269316628556037,0.9999957280584871,0.9999957084655762,True,0.9269316268142449,4.131716589866777e-06,0.0,-1.9592910960319898e-08
24,0.9620253443717957,0.9599999785423279,0.9232036470346089,0.9231964380018188,0.9999960956356235,0.9999960660934448,True,0.9231963837637768,3.7797523816138238e-06,0.0,-2.954217870332343e-08
25,0.9599999785423279,0.9579287767410278,0.9194000057481093,0.9193936323826525,0.9999965339479757,0.999996542930603,True,0.9193936492403918,3.3147344704334866e-06,1.685773931558998e-08,8.98262730864019e-09
26,0.9579287767410278,0.9558101296424866,0.9155270556191397,0.9155214494650297,0.9999969382867181,0.9999969601631165,True,0.9155214883396712,2.9093312409353226e-06,3.88746415058705e-08,2.187639835948829e-08
27,0.9558101296424866,0.9536424279212952,0.9115830349511068,0.9115781735924263,0.9999973335587788,0.9999973177909851,True,0.9115781435204129,2.561696829593792e-06,0.0,-1.5767793737353486e-08
28,0.9536424279212952,0.9514237642288208,0.9075653850849645,0.9075616348844627,0.9999979339205541,0.9999979138374329,True,0.9075615967281833,1.9884485018866076e-06,0.0,-2.0083121277103544e-08
29,0.9514237642288208,0.9491525292396545,0.9034731498328068,0.9034702969614926,0.9999984211630601,0.9999984502792358,True,0.9034703503423421,1.4728199829636344e-06,5.338084951844735e-08,2.9116175692678326e-08
30,0.9491525292396545,0.9468267560005188,0.8993040720902024,0.8993020750498499,0.9999988896739584,0.9999988675117493,True,0.8993020320765993,1.0758659977960976e-06,0.0,-2.216220917894418e-08
31,0.9468267560005188,0.9444444179534912,0.8950559312621665,0.8950548863238672,0.9999994162718955,0.9999994039535522,True,0.8950548662216561,5.633785698364687e-07,0.0,-1.2318343234341e-08
32,0.9444444179534912,0.9420035481452942,0.8907269448841595,0.8907268679700824,0.9999999568251083,0.9999999403953552,True,0.8907267916190178,8.28127137330661e-08,0.0,-1.642975311355599e-08
33,0.9420035481452942,0.9395017623901367,0.8863144696345241,0.8863155404603016,1.0,1.0,False,0.8863144696345241,0.0,0.0,0.0
34,0.9395017623901367,0.9369369745254517,0.8818159924540927,0.8818190838909948,1.0,1.0,False,0.8818159924540927,0.0,0.0,0.0
35,0.9369369745254517,0.9343065619468689,0.8772286852856268,0.8772348783427444,1.0,1.0,False,0.8772286852856268,0.0,0.0,0.0
36,0.9343065619468689,0.9316081404685974,0.8725506446693005,0.8725608761109033,1.0,1.0,False,0.8725506446693005,0.0,0.0,0.0
37,0.9316081404685974,0.9288389086723328,0.8677790435920715,0.867794470649303,1.0,1.0,False,0.8677790435920715,0.0,0.0,0.0
38,0.9288389086723328,0.9259962439537048,0.8629116989812047,0.8629335427031569,1.0,1.0,False,0.8629116989812047,0.0,0.0,0.0
39,0.9259962439537048,0.9230769276618958,0.8579458681781504,0.8579751463987326,1.0,1.0,False,0.8579458681781504,0.0,0.0,0.0
40,0.9230769276618958,0.9200779795646667,0.8528792285494172,0.8529169552361308,1.0,1.0,False,0.8528792285494172,0.0,0.0,0.0
41,0.9200779795646667,0.9169960021972656,0.8477085176779953,0.8477561636189671,1.0,1.0,False,0.8477085176779953,0.0,0.0,0.0
42,0.9169960021972656,0.913827657699585,0.8424317382111385,0.8424903124149452,1.0,1.0,False,0.8424317382111385,0.0,0.0,0.0
43,0.913827657699585,0.9105690717697144,0.8370456296226573,0.8371163174695376,1.0,1.0,False,0.8370456296226573,0.0,0.0,0.0
44,0.9105690717697144,0.9072164297103882,0.8315472458496714,0.8316314883947953,1.0,1.0,False,0.8315472458496714,0.0,0.0,0.0
45,0.9072164297103882,0.9037656784057617,0.8259340309669886,0.8260330572771978,1.0,1.0,False,0.8259340309669886,0.0,0.0,0.0
46,0.9037656784057617,0.9002123475074768,0.820203099997162,0.8203179238934184,1.0,1.0,False,0.820203099997162,0.0,0.0,0.0
47,0.9002123475074768,0.8965517282485962,0.8143511499592813,0.8144829861517152,1.0,1.0,False,0.8143511499592813,0.0,0.0,0.0
48,0.8965517282485962,0.8927790522575378,0.8083753739270259,0.8085254578037662,1.0,1.0,False,0.8083753739270259,0.0,0.0,0.0
49,0.8927790522575378,0.8888888955116272,0.8022724068510886,0.8024419662289957,1.0,1.0,False,0.8022724068510886,0.0,0.0,0.0
50,0.8888888955116272,0.8848758339881897,0.7960386525289547,0.7962296365038085,1.0,1.0,False,0.7960386525289547,0.0,0.0,0.0
51,0.8848758339881897,0.8807339668273926,0.7896722633377286,0.789885391006742,1.0,1.0,False,0.7896722633377286,0.0,0.0,0.0
52,0.8807339668273926,0.8764568567276001,0.7831687474818753,0.783405927590805,1.0,1.0,False,0.7831687474818753,0.0,0.0,0.0
53,0.8764568567276001,0.8720378875732422,0.7765257050309627,0.7767883304044613,1.0,1.0,False,0.7765257050309627,0.0,0.0,0.0
54,0.8720378875732422,0.8674699068069458,0.7697405683213625,0.7700295959421117,1.0,1.0,False,0.7697405683213625,0.0,0.0,0.0
55,0.8674699068069458,0.8627451062202454,0.7628097113747659,0.7631265490001167,1.0,1.0,False,0.7628097113747659,0.0,0.0,0.0
56,0.8627451062202454,0.8578553795814514,0.7557305020459879,0.7560764624603091,1.0,1.0,False,0.7557305020459879,0.0,0.0,0.0
57,0.8578553795814514,0.8527919054031372,0.7485006366891854,0.7488765485189739,1.0,1.0,False,0.7485006366891854,0.0,0.0,0.0
58,0.8527919054031372,0.8475452661514282,0.7411169312323768,0.7415242541728173,1.0,1.0,False,0.7411169312323768,0.0,0.0,0.0
59,0.8475452661514282,0.8421052694320679,0.7335769453519803,0.7340171439595754,1.0,1.0,False,0.7335769453519803,0.0,0.0,0.0
60,0.8421052694320679,0.836461067199707,0.7258794341965906,0.7263532185263348,1.0,1.0,False,0.7258794341965906,0.0,0.0,0.0
61,0.836461067199707,0.8306010961532593,0.7180230744962085,0.7185309933226653,1.0,1.0,False,0.7180230744962085,0.0,0.0,0.0
