stage,arm,kind,w,samples,fid,inception_score,full_calls,prefix_calls,head_calls,seconds,source_output
tune_native,incumbent_w1p0000,incumbent,1.0,400,92.88547309713988,26.081120109558107,100,0,0,250.2822429947555,/home/zhoushunyu/data/eqvae/experiments/raev2_shallow_ig_20260914/tune_native/incumbent_w1p0000
tune_native,incumbent_w1p2000,incumbent,1.2,400,93.32405841457506,26.614300346374513,100,0,0,253.6945405881852,/home/zhoushunyu/data/eqvae/experiments/raev2_shallow_ig_20260914/tune_native/incumbent_w1p2000
tune_native,incumbent_w1p4000,incumbent,1.4,400,93.94684325617823,27.201278114318846,100,0,0,252.19052067492157,/home/zhoushunyu/data/eqvae/experiments/raev2_shallow_ig_20260914/tune_native/incumbent_w1p4000
tune_native,incumbent_w1p6000,incumbent,1.6,400,95.1243449901039,27.366841125488282,100,0,0,254.6559752416797,/home/zhoushunyu/data/eqvae/experiments/raev2_shallow_ig_20260914/tune_native/incumbent_w1p6000
tune_native,incumbent_w1p7800,incumbent,1.78,400,94.91274456826335,27.38928089141846,100,0,0,252.9455299731344,/home/zhoushunyu/data/eqvae/experiments/raev2_shallow_ig_20260914/tune_native/incumbent_w1p7800
tune_native,incumbent_w2p0000,incumbent,2.0,400,95.51225241577993,28.24097957611084,100,0,0,254.95265536941588,/home/zhoushunyu/data/eqvae/experiments/raev2_shallow_ig_20260914/tune_native/incumbent_w2p0000
tune_native,incumbent_w2p4000,incumbent,2.4,400,95.70108888879912,28.38693447113037,100,0,0,252.97891861619428,/home/zhoushunyu/data/eqvae/experiments/raev2_shallow_ig_20260914/tune_native/incumbent_w2p4000
tune_native,incumbent_w3p0000,incumbent,3.0,400,97.36869639792599,27.720751571655274,100,0,0,255.04192775627598,/home/zhoushunyu/data/eqvae/experiments/raev2_shallow_ig_20260914/tune_native/incumbent_w3p0000
balanced_1000,incumbent_w1p0000,incumbent,1.0,1000,39.02629106647612,53.14017601013184,100,0,0,627.1775061800145,/home/zhoushunyu/data/eqvae/experiments/raev2_shallow_ig_20260914/balanced_1000/incumbent_w1p0000
balanced_1000,incumbent_w1p2000,incumbent,1.2,1000,38.626898192241754,54.33585090637207,100,0,0,633.0509157874621,/home/zhoushunyu/data/eqvae/experiments/raev2_shallow_ig_20260914/balanced_1000/incumbent_w1p2000
balanced_1000,incumbent_w1p4000,incumbent,1.4,1000,38.82172946861141,56.578209686279294,100,0,0,633.9586811019108,/home/zhoushunyu/data/eqvae/experiments/raev2_shallow_ig_20260914/balanced_1000/incumbent_w1p4000
balanced_1000,incumbent_w1p6000,incumbent,1.6,1000,38.85562905390685,57.439717864990236,100,0,0,636.0684163989499,/home/zhoushunyu/data/eqvae/experiments/raev2_shallow_ig_20260914/balanced_1000/incumbent_w1p6000
balanced_1000,incumbent_w1p7800,incumbent,1.78,1000,38.77174540102135,57.59765357971192,100,0,0,633.3452926543541,/home/zhoushunyu/data/eqvae/experiments/raev2_shallow_ig_20260914/balanced_1000/incumbent_w1p7800
balanced_1000,incumbent_w2p0000,incumbent,2.0,1000,39.05978734234145,57.9966495513916,100,0,0,636.1259529343806,/home/zhoushunyu/data/eqvae/experiments/raev2_shallow_ig_20260914/balanced_1000/incumbent_w2p0000
balanced_1000,incumbent_w2p4000,incumbent,2.4,1000,39.55865991470921,58.57027587890625,100,0,0,634.6442895280197,/home/zhoushunyu/data/eqvae/experiments/raev2_shallow_ig_20260914/balanced_1000/incumbent_w2p4000
balanced_1000,incumbent_w3p0000,incumbent,3.0,1000,41.01820765699733,56.9708065032959,100,0,0,637.158656117972,/home/zhoushunyu/data/eqvae/experiments/raev2_shallow_ig_20260914/balanced_1000/incumbent_w3p0000
balanced_1000,native4_w1p2000,native4,1.2,1000,38.747050248023584,62.25806846618652,100,0,99,639.7225975883193,/home/zhoushunyu/data/eqvae/experiments/raev2_shallow_ig_20260914/balanced_1000/native4_w1p2000
balanced_1000,native4_w1p4000,native4,1.4,1000,40.972735662226285,64.27142715454102,100,0,99,643.3837970201857,/home/zhoushunyu/data/eqvae/experiments/raev2_shallow_ig_20260914/balanced_1000/native4_w1p4000
balanced_1000,native4_w1p6000,native4,1.6,1000,42.24986050117582,61.67191696166992,100,0,99,641.8300108714029,/home/zhoushunyu/data/eqvae/experiments/raev2_shallow_ig_20260914/balanced_1000/native4_w1p6000
balanced_1000,native4_w1p7800,native4,1.78,1000,50.72220247112483,50.30308876037598,100,0,99,643.0881982860155,/home/zhoushunyu/data/eqvae/experiments/raev2_shallow_ig_20260914/balanced_1000/native4_w1p7800
