arm,kind,w,stage,samples,fid,inception_score,full_calls,prefix_calls,head_calls,seconds,source_output
incumbent_w1p0000,incumbent,1.0,grid_5k,5000,7.456110616907267,141.6372299194336,100,0,0,3195.155855302699,/home/zhoushunyu/data/eqvae/experiments/raev2_shallow_ig_20260914/grid_5k/incumbent_w1p0000
incumbent_w1p2000,incumbent,1.2,grid_5k,5000,7.124839100568465,147.84324798583984,100,0,0,3172.859954372514,/home/zhoushunyu/data/eqvae/experiments/raev2_shallow_ig_20260914/grid_5k/incumbent_w1p2000
incumbent_w1p4000,incumbent,1.4,grid_5k,5000,6.9865560367260855,152.1898620605469,100,0,0,3187.4053741204552,/home/zhoushunyu/data/eqvae/experiments/raev2_shallow_ig_20260914/grid_5k/incumbent_w1p4000
incumbent_w1p6000,incumbent,1.6,grid_5k,5000,6.97163417614604,156.1724624633789,100,0,0,3210.8325816276483,/home/zhoushunyu/data/eqvae/experiments/raev2_shallow_ig_20260914/grid_5k/incumbent_w1p6000
incumbent_w1p8000,incumbent,1.8,grid_5k,5000,6.943104222749525,156.9864532470703,100,0,0,3216.4371055518277,/home/zhoushunyu/data/eqvae/experiments/raev2_shallow_ig_20260914/grid_5k/incumbent_w1p8000
incumbent_w2p0000,incumbent,2.0,grid_5k,5000,6.936133468988601,157.64393157958983,100,0,0,3214.356086261105,/home/zhoushunyu/data/eqvae/experiments/raev2_shallow_ig_20260914/grid_5k/incumbent_w2p0000
native4_w1p2000,native4,1.2,grid_5k,5000,8.155971749763182,169.74706115722657,100,0,99,3239.613108078949,/home/zhoushunyu/data/eqvae/experiments/raev2_shallow_ig_20260914/grid_5k/native4_w1p2000
native4_w1p4000,native4,1.4,grid_5k,5000,10.216183386795251,184.48863830566407,100,0,99,3239.9235988864675,/home/zhoushunyu/data/eqvae/experiments/raev2_shallow_ig_20260914/grid_5k/native4_w1p4000
native4_w1p6000,native4,1.6,grid_5k,5000,11.33430382178858,173.4240463256836,100,0,99,3240.929820797406,/home/zhoushunyu/data/eqvae/experiments/raev2_shallow_ig_20260914/grid_5k/native4_w1p6000
native4_w1p8000,native4,1.8,grid_5k,5000,19.06331443546219,110.98291473388672,100,0,99,3236.8879041145556,/home/zhoushunyu/data/eqvae/experiments/raev2_shallow_ig_20260914/grid_5k/native4_w1p8000
native4_w2p0000,native4,2.0,grid_5k,5000,47.7433255012653,41.621287155151364,100,0,99,3233.0188842131756,/home/zhoushunyu/data/eqvae/experiments/raev2_shallow_ig_20260914/grid_5k/native4_w2p0000
mlp4_w1p2000,mlp4,1.2,grid_5k,5000,7.510678606592364,159.57622375488282,100,0,99,3217.821919834707,/home/zhoushunyu/data/eqvae/experiments/raev2_shallow_ig_20260914/grid_5k/mlp4_w1p2000
mlp4_w1p4000,mlp4,1.4,grid_5k,5000,8.735755453699255,165.41436767578125,100,0,99,3216.723507313989,/home/zhoushunyu/data/eqvae/experiments/raev2_shallow_ig_20260914/grid_5k/mlp4_w1p4000
mlp4_w1p6000,mlp4,1.6,grid_5k,5000,9.964508486032287,160.5011779785156,100,0,99,3218.7847066754475,/home/zhoushunyu/data/eqvae/experiments/raev2_shallow_ig_20260914/grid_5k/mlp4_w1p6000
mlp4_w1p8000,mlp4,1.8,grid_5k,5000,11.443496732974893,147.25816192626954,100,0,99,3213.655212779995,/home/zhoushunyu/data/eqvae/experiments/raev2_shallow_ig_20260914/grid_5k/mlp4_w1p8000
mlp8_w1p2000,mlp8,1.2,grid_5k,5000,7.1510451641495365,151.78521881103515,100,0,99,3201.825180951506,/home/zhoushunyu/data/eqvae/experiments/raev2_shallow_ig_20260914/grid_5k/mlp8_w1p2000
mlp8_w1p4000,mlp8,1.4,grid_5k,5000,7.0826906557983875,158.09637145996095,100,0,99,3218.2540250690654,/home/zhoushunyu/data/eqvae/experiments/raev2_shallow_ig_20260914/grid_5k/mlp8_w1p4000
mlp8_w1p6000,mlp8,1.6,grid_5k,5000,7.1978160278607675,161.8747085571289,100,0,99,3220.270104012452,/home/zhoushunyu/data/eqvae/experiments/raev2_shallow_ig_20260914/grid_5k/mlp8_w1p6000
mlp8_w1p8000,mlp8,1.8,grid_5k,5000,7.367296515356998,161.86976013183593,100,0,99,3217.786606079899,/home/zhoushunyu/data/eqvae/experiments/raev2_shallow_ig_20260914/grid_5k/mlp8_w1p8000
mlp8_w1p2500,mlp8,1.25,mlp8_refine_5k,5000,7.112037512384404,152.62396545410155,100,0,99,3206.351684096735,/home/zhoushunyu/data/eqvae/experiments/raev2_shallow_ig_20260914/mlp8_refine_5k/mlp8_w1p2500
mlp8_w1p3000,mlp8,1.2999999999999998,mlp8_refine_5k,5000,7.058280012515297,154.6864471435547,100,0,99,3230.6945583168417,/home/zhoushunyu/data/eqvae/experiments/raev2_shallow_ig_20260914/mlp8_refine_5k/mlp8_w1p3000
mlp8_w1p3500,mlp8,1.35,mlp8_refine_5k,5000,7.050632190207239,156.30923919677736,100,0,99,3220.7669855854474,/home/zhoushunyu/data/eqvae/experiments/raev2_shallow_ig_20260914/mlp8_refine_5k/mlp8_w1p3500
