arm,source,role,fid,full_calls_per_image,prefix_calls_per_image,sum_batch_gpu_seconds,complete
ig_shallow_00,ig,candidate,66.88748317540683,128.0,0.0,102.60099531058222,True
ig_deep_00,ig,candidate,68.81965971842646,128.0,0.0,103.62368900934234,True
cfg_probability_00,cfg,candidate,49.66442221122935,224.0,0.0,164.5707946200855,True
cfg_mean_00,cfg,control,49.4846120481576,224.0,0.0,164.57461269479245,True
ig_original_00,ig,control,68.27814923627807,128.0,0.0,103.98755444353446,True
ig_ig_00,ig,control,66.19277809136622,128.0,0.0,102.19413541955873,True
cfg_original_00,cfg,control,45.17926866967014,224.0,0.0,159.92230409150943,True
cfg_cfg_00,cfg,control,44.60585397250725,224.0,0.0,162.51363595528528,True
cfg_apg_07,cfg,control,43.6182111492991,224.0,0.0,178.21659903181717,True
ig_adg_reference_00,ig,control,66.76495810407152,128.0,0.0,111.66687827510759,True
