noisy_state,conditional_mean,null_mean,linear_guidance,probability_guidance
-2.000000000000000000e+00,-9.979892478292068381e-01,-9.993292997390671450e-01,-9.963141829418815654e-01,-9.920845658806987100e-01
-1.995000000000000107e+00,-9.979486696033007531e-01,-9.993157553304705676e-01,-9.962398124443385683e-01,-9.919253090857268473e-01
-1.989999999999999991e+00,-9.979072733413516527e-01,-9.993019374957800016e-01,-9.961639431483160223e-01,-9.917628613282438721e-01
-1.985000000000000098e+00,-9.978650425871417040e-01,-9.992878407191353451e-01,-9.960865449221494305e-01,-9.915971592106480603e-01
-1.979999999999999982e+00,-9.978219605548344084e-01,-9.992734593735638216e-01,-9.960075870314224478e-01,-9.914281380976386338e-01
-1.975000000000000089e+00,-9.977780101224276166e-01,-9.992587877187470990e-01,-9.959270381270282080e-01,-9.912557320929423765e-01
-1.969999999999999973e+00,-9.977331738250843074e-01,-9.992438198987459996e-01,-9.958448662330072754e-01,-9.910798740156386843e-01
-1.965000000000000080e+00,-9.976874338483289195e-01,-9.992285499396772463e-01,-9.957610387341437885e-01,-9.909004953760803813e-01
-1.959999999999999964e+00,-9.976407720211147856e-01,-9.992129717473469119e-01,-9.956755223633246832e-01,-9.907175263514008678e-01
-1.955000000000000071e+00,-9.975931698087547872e-01,-9.991970791048343514e-01,-9.955882831886555540e-01,-9.905308957606051568e-01
-1.949999999999999956e+00,-9.975446083057140090e-01,-9.991808656700278402e-01,-9.954992866003218310e-01,-9.903405310392368044e-01
-1.945000000000000062e+00,-9.974950682282655023e-01,-9.991643249731133603e-01,-9.954084972972054857e-01,-9.901463582136195152e-01
-1.939999999999999947e+00,-9.974445299069997217e-01,-9.991474504140099855e-01,-9.953158792732366145e-01,-9.899483018746629837e-01
-1.935000000000000053e+00,-9.973929732791927405e-01,-9.991302352597579706e-01,-9.952213958034863417e-01,-9.897462851512309756e-01
-1.929999999999999938e+00,-9.973403778810224773e-01,-9.991126726418514403e-01,-9.951250094299863846e-01,-9.895402296830658750e-01
-1.925000000000000044e+00,-9.972867228396379291e-01,-9.990947555535190094e-01,-9.950266819472868285e-01,-9.893300555932637019e-01
-1.919999999999999929e+00,-9.972319868650735275e-01,-9.990764768469516666e-01,-9.949263743877259092e-01,-9.891156814602931613e-01
-1.915000000000000036e+00,-9.971761482420070655e-01,-9.990578292304743702e-01,-9.948240470064231289e-01,-9.888970242895591678e-01
-1.909999999999999920e+00,-9.971191848213587505e-01,-9.990388052656595796e-01,-9.947196592659826031e-01,-9.886739994844964130e-01
-1.905000000000000027e+00,-9.970610740117296089e-01,-9.990193973643866077e-01,-9.946131698209081939e-01,-9.884465208171969719e-01
-1.899999999999999911e+00,-9.970017927706734673e-01,-9.989995977858409093e-01,-9.945045365017142203e-01,-9.882145003985598475e-01
-1.895000000000000018e+00,-9.969413175958007356e-01,-9.989793986334529752e-01,-9.943937162987355194e-01,-9.879778486479638966e-01
-1.889999999999999902e+00,-9.968796245157141023e-01,-9.989587918517781606e-01,-9.942806653456339738e-01,-9.877364742624527016e-01
-1.885000000000000009e+00,-9.968166890807661495e-01,-9.989377692233121220e-01,-9.941653389025837395e-01,-9.874902841854310553e-01
-1.879999999999999893e+00,-9.967524863536434410e-01,-9.989163223652454127e-01,-9.940476913391407265e-01,-9.872391835748691724e-01
-1.875000000000000000e+00,-9.966869908997674221e-01,-9.988944427261527981e-01,-9.939276761167856744e-01,-9.869830757710027491e-01
-1.870000000000000107e+00,-9.966201767775139109e-01,-9.988721215826155131e-01,-9.938052457711370469e-01,-9.867218622635351988e-01
-1.864999999999999991e+00,-9.965520175282434057e-01,-9.988493500357785715e-01,-9.936803518938244206e-01,-9.864554426583277413e-01
-1.859999999999999876e+00,-9.964824861661443212e-01,-9.988261190078384644e-01,-9.935529451140265866e-01,-9.861837146435796786e-01
-1.854999999999999982e+00,-9.964115551678788263e-01,-9.988024192384613587e-01,-9.934229750796506053e-01,-9.859065739554904173e-01
-1.850000000000000089e+00,-9.963391964620341712e-01,-9.987782412811312405e-01,-9.932903904381626958e-01,-9.856239143434039063e-01
-1.844999999999999973e+00,-9.962653814183723977e-01,-9.987535754994238957e-01,-9.931551388170578587e-01,-9.853356275344248294e-01
-1.840000000000000080e+00,-9.961900808368766569e-01,-9.987284120632096140e-01,-9.930171668039604604e-01,-9.850416031975122166e-01
-1.834999999999999964e+00,-9.961132649365882497e-01,-9.987027409447771786e-01,-9.928764199263520052e-01,-9.847417289070360402e-01
