condition,step,projected_feature_fd
multi_positive,0,0.8851216320974515
multi_positive,20,0.8798874955220555
multi_positive,40,0.8779396331250524
multi_positive,60,0.8739033272027399
multi_positive,80,0.8712936385000773
multi_positive,100,0.8711274494976919
multi_negative,0,0.8851216320974515
multi_negative,20,0.8889621381623698
multi_negative,40,0.892799648644953
multi_negative,60,0.8997581662507059
multi_negative,80,0.902395546045085
multi_negative,100,0.905954400650586
sigma_0.1,0,0.8851216320974515
sigma_0.1,20,0.8803449758890025
sigma_0.1,40,0.8786205484074969
sigma_0.1,60,0.8746597289735831
sigma_0.1,80,0.8725738924972859
sigma_0.1,100,0.8708111765169235
sigma_0.3,0,0.8851216320974515
sigma_0.3,20,0.8800998023855726
sigma_0.3,40,0.8781537997139282
sigma_0.3,60,0.8731980636402881
sigma_0.3,80,0.8715694147737452
sigma_0.3,100,0.8697029268653012
sigma_0.7,0,0.8851216320974515
sigma_0.7,20,0.8815468989013056
sigma_0.7,40,0.8793832185770611
sigma_0.7,60,0.875829258787931
sigma_0.7,80,0.8744848135695804
sigma_0.7,100,0.8718298142779446
sigma_1.5,0,0.8851216320974515
sigma_1.5,20,0.8808581418592212
sigma_1.5,40,0.8780018035074733
sigma_1.5,60,0.8741757139003994
sigma_1.5,80,0.8722243087042187
sigma_1.5,100,0.8693912471051846
