epsilon,train_sample_count,method,kind,sigma,relative_l2_mean,relative_l2_std,relative_l2_count,global_cosine_mean,global_cosine_std,global_cosine_count,norm_ratio_mean,norm_ratio_std,norm_ratio_count,positive_alignment_fraction_mean,positive_alignment_fraction_std,positive_alignment_fraction_count,estimate_rms_mean,estimate_rms_std,estimate_rms_count,target_rms_mean,target_rms_std,target_rms_count,inner_product_mean,inner_product_std,inner_product_count,classifier_bce_mean,classifier_bce_std,classifier_bce_count,classifier_accuracy_mean,classifier_accuracy_std,classifier_accuracy_count,classifier_auc_mean,classifier_auc_std,classifier_auc_count,real_logit_mean_mean,real_logit_mean_std,real_logit_mean_count,fake_logit_mean_mean,fake_logit_mean_std,fake_logit_mean_count,logit_mse_mean,logit_mse_std,logit_mse_count,centered_logit_mse_mean,centered_logit_mse_std,centered_logit_mse_count,logit_correlation_mean,logit_correlation_std,logit_correlation_count,quadrature_mass_mean,quadrature_mass_std,quadrature_mass_count,kl_before_mean,kl_before_std,kl_before_count,kl_after_mean,kl_after_std,kl_after_count,kl_change_mean,kl_change_std,kl_change_count,kl_directional_derivative_mean,kl_directional_derivative_std,kl_directional_derivative_count,oracle_kl_directional_derivative_mean,oracle_kl_directional_derivative_std,oracle_kl_directional_derivative_count,kl_action_ratio_mean,kl_action_ratio_std,kl_action_ratio_count,positive_jacobian_mass_fraction_mean,positive_jacobian_mass_fraction_std,positive_jacobian_mass_fraction_count,train_seconds_mean,train_seconds_std,train_seconds_count,parameter_count_mean,parameter_count_std,parameter_count_count,sobolev_lambda_mean,sobolev_lambda_std,sobolev_lambda_count,real_component_relative_l2_mean,real_component_relative_l2_std,real_component_relative_l2_count,real_component_global_cosine_mean,real_component_global_cosine_std,real_component_global_cosine_count,real_component_norm_ratio_mean,real_component_norm_ratio_std,real_component_norm_ratio_count,real_component_positive_alignment_fraction_mean,real_component_positive_alignment_fraction_std,real_component_positive_alignment_fraction_count,real_component_estimate_rms_mean,real_component_estimate_rms_std,real_component_estimate_rms_count,real_component_target_rms_mean,real_component_target_rms_std,real_component_target_rms_count,real_component_inner_product_mean,real_component_inner_product_std,real_component_inner_product_count,fake_component_relative_l2_mean,fake_component_relative_l2_std,fake_component_relative_l2_count,fake_component_global_cosine_mean,fake_component_global_cosine_std,fake_component_global_cosine_count,fake_component_norm_ratio_mean,fake_component_norm_ratio_std,fake_component_norm_ratio_count,fake_component_positive_alignment_fraction_mean,fake_component_positive_alignment_fraction_std,fake_component_positive_alignment_fraction_count,fake_component_estimate_rms_mean,fake_component_estimate_rms_std,fake_component_estimate_rms_count,fake_component_target_rms_mean,fake_component_target_rms_std,fake_component_target_rms_count,fake_component_inner_product_mean,fake_component_inner_product_std,fake_component_inner_product_count,component_error_pairwise_cosine_mean,component_error_pairwise_cosine_std,component_error_pairwise_cosine_count,component_error_pairwise_relative_l2_mean,component_error_pairwise_relative_l2_std,component_error_pairwise_relative_l2_count,component_error_left_rms_mean,component_error_left_rms_std,component_error_left_rms_count,component_error_right_rms_mean,component_error_right_rms_std,component_error_right_rms_count,component_common_error_rms_mean,component_common_error_rms_std,component_common_error_rms_count,component_difference_error_rms_mean,component_difference_error_rms_std,component_difference_error_rms_count,component_difference_to_common_error_ratio_mean,component_difference_to_common_error_ratio_std,component_difference_to_common_error_ratio_count
0.3,8192,factorized_dsm_coupled,factorized_dsm_coupled,0.03,41.431270599365234,10.87982134601082,3,0.020735046515862148,0.0623032736835698,3,41.43929672241211,10.846925853067482,3,0.4108072916666667,0.17595618691363377,3,1.6221258242925007,0.4245988462320088,3,0.03914462774991989,0.0,3,0.0009107537722835938,0.003751391524328289,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,1.0000024912979648,0.0,3,0.01018318821778214,0.0,3,0.01293374729935319,0.0013043905909793103,3,0.0027505590815710486,0.0013043905909793103,3,-0.0011050109370960447,0.004400462851101864,3,-0.00208718224283425,0.0,3,0.5294271455642109,2.1083270836600922,3,1.0,0.0,3,16.769898495675687,1.1775118540408658,3,35716.0,0.0,3,,,0,0.8297704259554545,0.0702684074129189,3,0.6337682604789734,0.036434919265452365,3,0.9241395990053812,0.09636543723107817,3,0.8014322916666666,0.03624179659571851,3,5.76047420501709,0.600678197872373,3,6.233337879180908,0.0,3,22.699072519938152,1.8038474298778753,3,0.7604968746503195,0.026381336884030944,3,0.6772217551867167,0.015860157811442576,3,0.8630886475245158,0.06507662084899749,3,0.842529296875,0.0351282644146407,3,5.379871050516765,0.405640606408091,3,6.233277320861816,0.0,3,22.708574930826824,1.740968978354038,3,0.9482451677322388,0.02779122722885395,3,0.3270073781410853,0.08694586462232999,3,5.172239303588867,0.4380066101764996,3,4.740387757619222,0.1644422728031965,3,4.892240842183431,0.30695203524397263,3,1.6218115886052449,0.4258865253928604,3,0.33211804429690045,0.0904603858962505,3
0.3,8192,factorized_dsm_coupled,factorized_dsm_coupled,0.1,9.038970947265625,1.3752835202170313,3,0.06682928434262674,0.07707041744933231,3,9.049894014994303,1.3228777710217374,3,0.541015625,0.04064996392505354,3,0.5553332567214966,0.08117641141379126,3,0.06136350706219673,0.0,3,0.0020772745580567666,0.0022452575051535306,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0.9999980017949462,0.0,3,0.010171317221970837,0.0,3,0.010436792128820807,0.00011864661208010194,3,0.00026547490684997063,0.00011864661208010188,3,-0.0017866989778799313,0.002004593297627438,3,-0.003122595108377845,0.0,3,0.5721840058886476,0.6419638883853894,3,1.0,0.0,3,16.769898495675687,1.1775118540408658,3,35716.0,0.0,3,,,0,0.6931154926617941,0.004176366494858455,3,0.7214759985605875,0.004524079630418238,3,0.7230782508850098,0.03546620963298304,3,0.9036458333333334,0.014875224691451723,3,4.038955529530843,0.1981063727125874,3,5.585779190063477,0.0,3,16.275341669718426,0.7553275497037649,3,0.6902527610460917,0.0012533064012783014,3,0.7240338126818339,0.001284143816156887,3,0.71845014890035,0.030691814552894433,3,0.9108072916666666,0.005748116336722118,3,4.01312239964803,0.1714386294993922,3,5.5858049392700195,0.0,3,16.230071385701496,0.6856558301976763,3,0.9895597100257874,0.0029770784791670387,3,0.1435373251636823,0.02164440257456621,3,3.8715901374816895,0.023328164178072992,3,3.8556172847747803,0.007000744060393242,3,3.8535026709238687,0.012979397131972836,3,0.5546629329522451,0.08439220437908974,3,0.1439249962568283,0.021801020792052418,3
0.3,8192,factorized_dsm_coupled,factorized_dsm_coupled,0.3,3.1320335070292153,0.31739675751737667,3,0.22108972072601318,0.08561581111810157,3,3.1974523067474365,0.25606386635322714,3,0.610107421875,0.04192115631226812,3,0.2629389663537343,0.021057142838551313,3,0.08223389834165573,0.0,3,0.004701972706243396,0.0016256169621828977,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0.9999952081792012,0.0,3,0.009946851377707917,0.0,3,0.009923013983085916,2.4446318363269584e-05,3,-2.383739462200052e-05,2.4446318363269584e-05,3,-0.004514267260646809,0.0014556529793268776,3,-0.006555780084751668,0.0,3,0.6885934552848578,0.22204115460075222,3,1.0,0.0,3,16.769898495675687,1.1775118540408658,3,35716.0,0.0,3,,,0,0.46872397263844806,0.005927531790151663,3,0.8838062683741251,0.002382068740419824,3,0.8956284125645956,0.030094161570430055,3,0.94677734375,0.00815590482836429,3,2.699979782104492,0.0907224425350393,3,3.014620542526245,0.0,3,7.193231423695882,0.22196100763169466,3,0.46804024775822956,0.003943506109109482,3,0.8839084108670553,0.0020020218563253063,3,0.8944555123647054,0.018044416208426506,3,0.9415690104166666,0.004884846581529595,3,2.697917381922404,0.05442686804362065,3,3.016267776489258,0.0,3,7.192757606506348,0.13283951873049968,3,0.9833054741223654,0.003472965138102444,3,0.18237117429574332,0.018618045488577702,3,1.4130249818166096,0.017869274830000555,3,1.4117347399393718,0.011894716502717607,3,1.4064735571543376,0.012564238228917567,3,0.25755933423837024,0.026100769383549487,3,0.18315056959788004,0.018866465734324003,3
0.3,8192,factorized_dsm_coupled,factorized_dsm_coupled,0.7,1.5889588197072346,0.19405440524307557,3,0.43103233973185223,0.06840257203495323,3,1.7380075852076213,0.146602892485932,3,0.6676432291666666,0.11000975840083568,3,0.12216960887114207,0.010305143081005441,3,0.07029290497303009,0.0,3,0.0036690181586891413,0.0002823522783326217,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,1.000003767850303,0.0,3,0.00887340713128259,0.0,3,0.00883770131736574,4.1198539691693705e-06,3,-3.5705813916850466e-05,4.119853969169442e-06,3,-0.003666596409876059,0.00035459062761166994,3,-0.004871126209183125,0.0,3,0.7527204700555147,0.07279438314351001,3,1.0,0.0,3,16.769898495675687,1.1775118540408658,3,35716.0,0.0,3,,,0,0.12496503442525864,0.022214040306512254,3,0.9920338789621989,0.0029029581640333704,3,0.9930285215377808,0.00836890378830009,3,0.9834798177083334,0.0012288141984490024,3,1.304547866185506,0.010994304743117429,3,1.3137062788009644,0.0,3,1.7001156012217205,0.010160459444551235,3,0.12078720579544704,0.01750013166345663,3,0.9926024079322815,0.002181263990319728,3,0.9928364157676697,0.010847530327056038,3,0.9931640625,0.002197265625,3,1.306143085161845,0.014270642383930998,3,1.3155672550201416,0.0,3,1.7056294282277424,0.021729202247524896,3,0.7522727052370707,0.07834078598059672,3,0.6991617480913798,0.10918137492865883,3,0.16416735450426737,0.029182725592136024,3,0.1589036931594213,0.0230226008599745,3,0.15141184628009796,0.026995747438501812,3,0.11169253538052241,0.01364064973390744,3,0.7491947611172994,0.1339624703392571,3
0.3,8192,factorized_dsm_coupled,factorized_dsm_coupled,1.5,1.2156134843826294,0.10674828313988244,3,0.5022374292214712,0.13458750874455908,3,1.3617556889851887,0.16937693041344004,3,0.7405598958333334,0.13951442308050943,3,0.06824426104625066,0.008488305585854873,3,0.05011490732431412,0.0,3,0.0017432241002097726,0.0006526906948234226,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,1.000004901274961,0.0,3,0.0056311948623105935,0.0,3,0.005613861781362417,6.2825587684036e-06,3,-1.7333080948177145e-05,6.2825587684031726e-06,3,-0.0017450409224711173,0.0006265575260436834,3,-0.0024884728872879313,0.0,3,0.7012497228261766,0.2517839471928259,3,1.0,0.0,3,16.769898495675687,1.1775118540408658,3,35716.0,0.0,3,,,0,0.16319072246551514,0.021821211211712425,3,0.9899983803431193,0.0018067436025999966,3,1.0714213053385417,0.023919054183473027,3,0.971923828125,0.017364904201253206,3,0.6945798595746359,0.015506205165776181,3,0.6482788920402527,0.0,3,0.4457707206408183,0.009480155870584577,3,0.17664470275243124,0.020450345968403987,3,0.9875357349713644,0.002284227927894808,3,1.0683518250783284,0.014281050705581166,3,0.9827473958333334,0.009447117096960564,3,0.6948535839716593,0.009288380816292297,3,0.6503977179527283,0.0,3,0.4462893605232239,0.004989885628864445,3,0.8444026907285055,0.07014883810158314,3,0.5595123469829559,0.11266528643386738,3,0.10579311102628708,0.0141462309460184,3,0.11488931626081467,0.013300858543241475,3,0.10609955340623856,0.014062547790799695,3,0.06092036018768946,0.005349682040952883,3,0.5850905776023865,0.12951898825639976,3
0.3,8192,oracle,oracle,0.0,0.0,,1,1.0,,1,1.0,,1,0.889892578125,,1,0.04979453608393669,,1,0.04979453608393669,,1,0.002479495946317911,,1,0.6915767192840576,,1,0.531982421875,,1,0.5349416732788086,,1,0.009486090391874313,,1,-0.0071988338604569435,,1,0.0,,1,0.0,,1,0.9999999403953552,,1,1.000001742102662,,1,0.010184098062812395,,1,0.010170010201122175,,1,-1.4087861690220346e-05,,1,-0.0019837005631966483,,1,-0.0019837005631966483,,1,1.0,,1,1.0,,1,0.0,,1,0.0,,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
0.3,8192,oracle,oracle,0.03,0.0,,1,1.0,,1,1.0,,1,0.904296875,,1,0.03914462774991989,,1,0.03914462774991989,,1,0.0015323017723858356,,1,0.6893309950828552,,1,0.5390625,,1,0.5458815097808838,,1,0.010716981254518032,,1,-0.014629922807216644,,1,0.0,,1,0.0,,1,1.0,,1,1.0000024912979648,,1,0.01018318821778214,,1,0.010168162987623543,,1,-1.502523015859715e-05,,1,-0.00208718224283425,,1,-0.00208718224283425,,1,1.0,,1,1.0,,1,0.0,,1,0.0,,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
0.3,8192,oracle,oracle,0.1,0.0,,1,1.0,,1,1.0,,1,0.98388671875,,1,0.06136350706219673,,1,0.06136350706219673,,1,0.003765480127185583,,1,0.6918321847915649,,1,0.525634765625,,1,0.5310990810394287,,1,0.009109709411859512,,1,-0.006622034590691328,,1,0.0,,1,0.0,,1,0.9999999403953552,,1,0.9999980017949462,,1,0.010171317221970837,,1,0.01014655720356694,,1,-2.476001840389687e-05,,1,-0.003122595108377845,,1,-0.003122595108377845,,1,1.0,,1,1.0,,1,0.0,,1,0.0,,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
0.3,8192,oracle,oracle,0.3,0.0,,1,1.0,,1,1.0,,1,1.0,,1,0.08223389834165573,,1,0.08223389834165573,,1,0.006762414239346981,,1,0.6895697116851807,,1,0.53369140625,,1,0.5453610420227051,,1,0.014746315777301788,,1,-0.009859450161457062,,1,0.0,,1,0.0,,1,1.0,,1,0.9999952081792012,,1,0.009946851377707917,,1,0.009884538468004366,,1,-6.231290970355047e-05,,1,-0.006555780084751668,,1,-0.006555780084751668,,1,1.0,,1,1.0,,1,0.0,,1,0.0,,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
0.3,8192,oracle,oracle,0.7,0.0,,1,1.0,,1,1.0,,1,1.0,,1,0.07029290497303009,,1,0.07029290497303009,,1,0.004941092804074287,,1,0.691615104675293,,1,0.52490234375,,1,0.5257724523544312,,1,0.009829203598201275,,1,-0.0055783335119485855,,1,0.0,,1,0.0,,1,1.0000001192092896,,1,1.000003767850303,,1,0.00887340713128259,,1,0.00882487806097219,,1,-4.8529070310400144e-05,,1,-0.004871126209183125,,1,-0.004871126209183125,,1,1.0,,1,1.0,,1,0.0,,1,0.0,,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
