context,time,rows,cosine_mean,cosine_min,cosine_max,mean_pointwise_parallel_fraction,mean_pointwise_orthogonal_fraction,pooled_pointwise_residual_fraction,positive_projection_fraction,max_saved_fraction_rounding_error
strong_rollout,all,4608,0.5222136332210733,0.10610123347451499,0.7811212363282002,0.279101606426833,0.720898393573167,0.7210084321193209,1.0,5.280925319262053e-08
strong_rollout,0.02,512,0.49418102535187614,0.10610123347451499,0.7073651380256646,0.2518977874408521,0.7481022125591479,0.7431733617208087,1.0,3.9125253370464463e-08
strong_rollout,0.05,512,0.543499618088739,0.2671142484900574,0.7422992037456267,0.30079775606040066,0.6992022439395993,0.6947567920567719,1.0,4.1272788076085476e-08
strong_rollout,0.1,512,0.5675763685671738,0.26829713829750124,0.7811212363282002,0.32763632437128026,0.6723636756287197,0.6649342813292465,1.0,4.747585946596189e-08
strong_rollout,0.2,512,0.565512196924804,0.2230160383867181,0.7479536358207135,0.32522922237799734,0.6747707776220027,0.6694369631420924,1.0,5.280925319262053e-08
strong_rollout,0.4,512,0.5803342561013156,0.3368706696253398,0.7120646059060243,0.3403094390346927,0.6596905609653073,0.6565579271209238,1.0,4.637680461883065e-08
strong_rollout,0.6,512,0.5655293683392274,0.3883355885704181,0.6646805005131361,0.3215096761185446,0.6784903238814555,0.675041131057036,1.0,4.0437140580440456e-08
strong_rollout,0.8,512,0.5069931188775332,0.4004076552165807,0.5862608564061458,0.25806269300129553,0.7419373069987045,0.7391990511466283,1.0,3.0406420159501124e-08
strong_rollout,0.9,512,0.45371434868231486,0.3241120923363764,0.552357000486633,0.20685310883210628,0.7931468911678937,0.7911510669729538,1.0,2.8156939280155058e-08
strong_rollout,0.95,512,0.42258239805667663,0.2657102271169318,0.5155515795170962,0.17961845060432782,0.8203815493956722,0.8192096107110027,1.0,2.0226271768564175e-08
teacher,all,4608,0.5276798270969553,0.0956121770570399,0.7503079152375111,0.28491701958198623,0.7150829804180138,0.7127436037804822,1.0,6.341689207101098e-08
teacher,0.02,512,0.49434142822606253,0.0956121770570399,0.6949971601593121,0.2521332727130292,0.7478667272869708,0.7431092659229142,1.0,4.2766800545379624e-08
teacher,0.05,512,0.5466748123909779,0.15318779029392895,0.7112209744197581,0.3042483321523052,0.6957516678476948,0.6908128460249061,1.0,4.692585886534317e-08
teacher,0.1,512,0.5683044639346986,0.27820252985625665,0.7503079152375111,0.3283763640788907,0.6716236359211093,0.6668807645247783,1.0,4.3753594358708625e-08
teacher,0.2,512,0.570067406423534,0.21169574897229296,0.7472371820595907,0.3299205104273622,0.6700794895726379,0.6668578604311555,1.0,6.341689207101098e-08
teacher,0.4,512,0.5902456751477181,0.3189649695830541,0.7181792506506263,0.3519513601995613,0.6480486398004387,0.6422489349238086,1.0,5.19046907676568e-08
teacher,0.6,512,0.5783411258601272,0.43617212683264284,0.6913112775625402,0.33627217015722277,0.6637278298427772,0.6572686455392196,1.0,4.705972445062656e-08
teacher,0.8,512,0.5169164711882182,0.4190032794299243,0.6032414697314424,0.2682130644960848,0.7317869355039153,0.7277200562322887,1.0,2.8704633781018174e-08
teacher,0.9,512,0.4584432376128065,0.3549399396550336,0.5521224240659757,0.21101727309287693,0.788982726907123,0.7866656698910404,1.0,2.7813633451945208e-08
teacher,0.95,512,0.42578382308845436,0.30709137494057037,0.5320184083428778,0.182120828920543,0.8178791710794571,0.816697978682794,1.0,2.42890998425338e-08
