method,k,readout,n,rho,p_value_descriptive
cfg_high,8,convnext_p,200,0.18808520213005328,0.007650893563181133
cfg_high,8,resnet_p,200,0.24231305782644572,0.000546206843395954
cfg_high,16,convnext_p,200,0.3431005775144379,6.573320718243449e-07
cfg_high,16,resnet_p,200,0.3812825320633017,2.544359267437392e-08
cfg_high,24,convnext_p,200,0.351598289957249,3.3057194182239e-07
cfg_high,24,resnet_p,200,0.3302242556063902,1.7930564734737587e-06
cfg_high,32,convnext_p,200,0.2973959348983725,1.897567102578691e-05
cfg_high,32,resnet_p,200,0.3206075151878798,3.6846440190544333e-06
cfg_high,40,convnext_p,200,0.2552418810470262,0.00026465516818535
cfg_high,40,resnet_p,200,0.3243576089402236,2.7905449472066022e-06
cfg_high,48,convnext_p,200,0.23616290407260188,0.0007608360665409397
cfg_high,48,resnet_p,200,0.34421360534013357,6.014283314805846e-07
cfg_tuned,8,convnext_p,200,0.1404860121503038,0.04723687048526836
cfg_tuned,8,resnet_p,200,0.11697442436060904,0.09903153809205714
cfg_tuned,16,convnext_p,200,0.32123453086327164,3.5182432635906572e-06
cfg_tuned,16,resnet_p,200,0.3715682892072303,6.059765520823605e-08
cfg_tuned,24,convnext_p,200,0.3557428935723393,2.3467069582495117e-07
cfg_tuned,24,resnet_p,200,0.3541123528088203,2.6869207395471345e-07
cfg_tuned,32,convnext_p,200,0.3459896497412435,5.215293254387655e-07
cfg_tuned,32,resnet_p,200,0.3194149853746344,4.022000914906282e-06
cfg_tuned,40,convnext_p,200,0.3435520888022201,6.340798731871565e-07
cfg_tuned,40,resnet_p,200,0.35824495612390317,1.903680382584465e-07
cfg_tuned,48,convnext_p,200,0.3178534463361584,4.508335722945338e-06
cfg_tuned,48,resnet_p,200,0.40576014400360016,2.510831216501319e-09
fsg_high,8,convnext_p,200,0.25288832220805524,0.0003028292219616021
fsg_high,8,resnet_p,200,0.37350633765844155,5.107979644179053e-08
fsg_high,16,convnext_p,200,0.4267261681542039,2.959499310384495e-10
fsg_high,16,resnet_p,200,0.34911422785569646,4.049857569029709e-07
fsg_high,24,convnext_p,200,0.23319282982074557,0.0008902051638104945
fsg_high,24,resnet_p,200,0.28748818720468017,3.664260817699538e-05
fsg_high,32,convnext_p,200,0.10188254706367661,0.15113222024824102
fsg_high,32,resnet_p,200,0.22459319905244174,0.0013873746229536312
fsg_high,40,convnext_p,200,0.06041101027525689,0.39545736824184474
fsg_high,40,resnet_p,200,0.2092269660546206,0.0029456918476863884
fsg_high,48,convnext_p,200,0.06152253806345159,0.38680465719669066
fsg_high,48,resnet_p,200,0.22502304434345516,0.0013574646843925468
fsg_length_high,8,convnext_p,200,0.3157818945473637,5.240269555863309e-06
fsg_length_high,8,resnet_p,200,0.3277296932423311,2.1665255146326167e-06
fsg_length_high,16,convnext_p,200,0.3380109502737569,9.82657352757594e-07
fsg_length_high,16,resnet_p,200,0.3626055651391285,1.3163219084665112e-07
fsg_length_high,24,convnext_p,200,0.25801095027375687,0.0002254871683059838
fsg_length_high,24,resnet_p,200,0.29447086177154436,2.310326144843015e-05
fsg_length_high,32,convnext_p,200,0.17205280132003306,0.014845052079266733
fsg_length_high,32,resnet_p,200,0.23683042076051902,0.0007342542255904129
fsg_length_high,40,convnext_p,200,0.09783994599864998,0.16811005444771315
fsg_length_high,40,resnet_p,200,0.2759168979224481,7.665059499820615e-05
fsg_length_high,48,convnext_p,200,0.06329408235205881,0.37325326059649544
fsg_length_high,48,resnet_p,200,0.2707792694817371,0.00010527776843913924
instant_high,8,convnext_p,200,0.15315982899572492,0.03037071209743127
instant_high,8,resnet_p,200,-0.017733443336083402,0.8031779198962494
instant_high,16,convnext_p,200,0.2099152478811971,0.0028510818110879053
instant_high,16,resnet_p,200,0.18606015150378763,0.008342877566620855
instant_high,24,convnext_p,200,0.2455306382659567,0.00045770495115667227
instant_high,24,resnet_p,200,0.2882652066301658,3.483008287346944e-05
instant_high,32,convnext_p,200,0.29815345383634595,1.8026413834341195e-05
instant_high,32,resnet_p,200,0.29688892222305563,1.9637202003423126e-05
instant_high,40,convnext_p,200,0.2979209480237006,1.831288640713283e-05
instant_high,40,resnet_p,200,0.26343208580214506,0.00016394791483018508
instant_high,48,convnext_p,200,0.21945698642466066,0.0017945093288586924
instant_high,48,resnet_p,200,0.22637665941648544,0.0012670904599430717
norm_high,8,convnext_p,200,-0.06576914422860572,0.35481589958999504
norm_high,8,resnet_p,200,-0.00010350258756468912,0.9988394192505756
norm_high,16,convnext_p,200,0.15402985074626865,0.02943063806954496
norm_high,16,resnet_p,200,0.1398514962874072,0.04825462282471467
norm_high,24,convnext_p,200,0.21418435460886526,0.0023232488101411555
norm_high,24,resnet_p,200,0.2122403060076502,0.002551490231707124
norm_high,32,convnext_p,200,0.1270066751668792,0.07310865351537907
norm_high,32,resnet_p,200,0.1919987999699993,0.006456677391961536
norm_high,40,convnext_p,200,0.06256506412660318,0.37879417010274197
norm_high,40,resnet_p,200,0.24277506937673443,0.0005325934940841878
norm_high,48,convnext_p,200,0.06673216830420761,0.3477990230001399
norm_high,48,resnet_p,200,0.22366642716057142,0.0014539245710713214
refined_high,8,convnext_p,200,0.19098627465686646,0.006748513834131965
refined_high,8,resnet_p,200,0.24293107327683192,0.0005280681004214722
refined_high,16,convnext_p,200,0.34705017625440643,4.787745243313709e-07
refined_high,16,resnet_p,200,0.38331808295207387,2.1136543618920608e-08
refined_high,24,convnext_p,200,0.3509322733068327,3.491250640449023e-07
refined_high,24,resnet_p,200,0.33066826670666766,1.7333738158400426e-06
refined_high,32,convnext_p,200,0.2949283732093303,2.2406044269002308e-05
refined_high,32,resnet_p,200,0.3187340878775023,4.227588947757582e-06
refined_high,40,convnext_p,200,0.25759243981099533,0.0002310383861079971
refined_high,40,resnet_p,200,0.3256221405535139,2.5387587538791265e-06
refined_high,48,convnext_p,200,0.23894847371184286,0.0006554726937179788
refined_high,48,resnet_p,200,0.3431788368551456,6.532442449087474e-07
smc_high,8,convnext_p,200,0.0527278181954549,0.45837457271001203
smc_high,8,resnet_p,200,-0.03464936623415586,0.6261939175752458
smc_high,16,convnext_p,200,0.15427135678391962,0.029174133734391743
smc_high,16,resnet_p,200,0.3003105077626941,1.556327672649308e-05
smc_high,24,convnext_p,200,0.2385554638865972,0.0006694739460845985
smc_high,24,resnet_p,200,0.24865821645541145,0.0003845797908325284
smc_high,32,convnext_p,200,0.1918472961824046,0.006499615236027829
smc_high,32,resnet_p,200,0.22585314632865822,0.0013013681605475846
smc_high,40,convnext_p,200,0.22634815870396763,0.001268935078800555
smc_high,40,resnet_p,200,0.23409435235880902,0.0008489440396745207
smc_high,48,convnext_p,200,0.19166579164479114,0.006551391096143387
smc_high,48,resnet_p,200,0.2771829295732394,7.081606074888846e-05
soft_high,8,convnext_p,200,0.01490587264681617,0.8340648030182349
soft_high,8,resnet_p,200,-0.09918847971199282,0.1622954618883289
soft_high,16,convnext_p,200,0.17404185104627615,0.01371142895973101
soft_high,16,resnet_p,200,0.1275346883672092,0.07191374815207567
soft_high,24,convnext_p,200,0.2786904672616816,6.441255429287796e-05
soft_high,24,resnet_p,200,0.28026850671266784,5.829471030467362e-05
soft_high,32,convnext_p,200,0.36173554338858477,1.4174973241576998e-07
soft_high,32,resnet_p,200,0.3403255081377035,8.191771267704486e-07
soft_high,40,convnext_p,200,0.4400675016875423,7.01869426879093e-11
soft_high,40,resnet_p,200,0.4240771019275482,3.909336152063938e-10
soft_high,48,convnext_p,200,0.4589304732618316,8.222417683301154e-12
soft_high,48,resnet_p,200,0.4525613140328508,1.721264078282117e-11
