horizon,variant,amount,w,k,displacement_rms,effective_coefficient_per_H,first_order_length_ratio,direction_cos_cfg,finite_error_flow_target,finite_error_own_euler_target,flow_vs_euler_target_relative_difference,n
0.03125,cfg_capped,2.0,3.0,24.0,0.008805840627852982,2.8341108094900846,0.9464150232573351,1.000000009002785,0.18265955914588025,0.1575373375089839,0.1694353682299455,192
0.03125,cfg_equal,2.0,3.0,24.0,0.008806516047722349,2.834500034029285,0.9465880127002796,1.000000009002785,0.18281708979823938,0.15761758755737296,0.1694353682299455,192
0.03125,cfg_first_order,2.0,3.0,24.0,0.009456894164031837,2.999999988824129,1.000000004346172,0.9999999987582365,0.19483253949632248,0.1863220187369734,0.1694353682299455,192
0.03125,euler_capped,2.0,3.0,24.0,0.008805840644830218,2.8341108125944934,0.9464150229468942,0.9600561674063405,0.26810024434234947,0.13868749456014484,0.1694353682299455,192
0.03125,euler_fsg,2.0,3.0,24.0,0.008806516064699585,2.8345000371336937,0.9465880123898387,0.9600561674063405,0.26819983873671543,0.13877600869939974,0.1694353682299455,192
0.03125,flow_inverse,2.0,3.0,24.0,0.009036156536846343,2.8841752161582312,0.9600641736760736,0.9828605611498157,8.962082500119095e-06,0.17425346409436315,0.1694353682299455,192
0.03125,own_euler_inverse,2.0,3.0,24.0,0.008828985714596152,2.825975095232328,0.9410461112856865,0.9878948532665769,0.16943465332345417,8.907986504880228e-06,0.1694353682299455,192
0.0625,cfg_capped,2.0,3.0,24.0,0.012526250650504759,1.9954098891466856,0.6432204122344652,1.0000000074505806,0.40126101501906913,0.371720528928563,0.32087431685067713,192
0.0625,cfg_equal,2.0,3.0,24.0,0.01726025581835226,2.8342232747624316,0.9538830444216728,1.0000000077610214,0.3618196554792424,0.32661614567041397,0.32087431685067713,192
0.0625,cfg_first_order,2.0,3.0,24.0,0.018913788328063674,2.999999988824129,1.000000004346172,0.9999999987582365,0.37545788233789307,0.37388587680955726,0.32087431685067713,192
0.0625,euler_capped,2.0,3.0,24.0,0.012526250626251567,1.9954098823169868,0.6432204116135836,0.8632562089090546,0.5213420072880884,0.3736354233697057,0.32087431685067713,192
0.0625,euler_fsg,2.0,3.0,24.0,0.01726025584745609,2.834223276625077,0.9538830453529954,0.863256205804646,0.5406124882089595,0.29391345583523315,0.32087431685067713,192
0.0625,flow_inverse,2.0,3.0,24.0,0.017332266257047497,2.785240958755215,0.9270808103804787,0.9431016448264321,5.6614791037172076e-05,0.33130631673460204,0.32087431685067713,192
0.0625,own_euler_inverse,2.0,3.0,24.0,0.016843276086243957,2.7216319534927607,0.9069882771000266,0.9575237985700369,0.3208677708171308,5.2167904404617126e-05,0.32087431685067713,192
0.125,cfg_capped,2.0,3.0,24.0,0.0125755705521442,1.000000009002785,0.3222222238158186,1.0000000080714624,0.6717967058842381,0.6671722270548344,0.5783881669243177,192
0.125,cfg_equal,2.0,3.0,24.0,0.03751653103002658,3.198056953648726,1.0948723886782925,1.0000000062088172,0.7730349857981006,0.7086241013991336,0.5783881669243177,192
0.125,cfg_first_order,2.0,3.0,24.0,0.03782757665612735,2.999999988824129,1.000000004346172,0.9999999987582365,0.6694235250664254,0.6893191582833728,0.5783881669243177,192
0.125,euler_capped,2.0,3.0,24.0,0.012575570540017603,1.0000000074505806,0.32222222288449603,0.6408313154242933,0.8145104444896182,0.6889636783550183,0.5783881669243177,192
0.125,euler_fsg,2.0,3.0,24.0,0.037516531156143174,3.1980569511651993,1.0948723886782925,0.6408313186839223,1.0832911982821922,0.5941804801890006,0.5783881669243177,192
0.125,flow_inverse,2.0,3.0,24.0,0.03220424806446923,2.6137724655369916,0.8691896586678922,0.8444294913982352,0.00037638211654211773,0.5650485112952689,0.5783881669243177,192
0.125,own_euler_inverse,2.0,3.0,24.0,0.0326033940994724,2.684701736395558,0.8982578214878837,0.8688413339356581,0.5783307868987322,0.00031294778627473835,0.5783881669243177,192
0.25,cfg_capped,2.0,3.0,24.0,0.012575570464832708,0.5000000009313226,0.16111111120941737,1.0000000058983762,0.8064199717094501,0.8414314547553658,1.0159552668531735,192
0.25,cfg_equal,2.0,3.0,24.0,0.10311840920864294,4.590269078811009,1.600468865595758,1.000000009002785,1.8426860583325226,1.411476459664603,1.0159552668531735,192
0.25,cfg_first_order,2.0,3.0,24.0,0.0756551533122547,2.999999988824129,1.000000004346172,0.9999999987582365,1.1038336704174678,1.0421250428383548,1.0159552668531735,192
0.25,euler_capped,2.0,3.0,24.0,0.012575570450280793,0.5000000001552204,0.16111111089897653,0.36915332860371564,0.9510790932302674,0.8505422919988632,1.0159552668531735,192
0.25,euler_fsg,2.0,3.0,24.0,0.10311840959669401,4.5902690924704075,1.600468869631489,0.3691533269205441,2.225594432403644,1.037530681739251,1.0159552668531735,192
0.25,flow_inverse,2.0,3.0,24.0,0.05807632092425289,2.3923011009270945,0.7939103084305922,0.6692248908802867,0.002443244117330323,0.7963323635049164,1.0159552668531735,192
0.25,own_euler_inverse,2.0,3.0,24.0,0.0733435686561279,3.131239087631305,1.0590017104210954,0.6736042482467989,1.0154813332483172,0.0018071233324311227,1.0159552668531735,192
