arm,source_arm,method,handoff,tail,reused,fid,complete,full_calls_per_image,prefix_calls_per_image,sum_batch_gpu_seconds,directory,sfid,inception_score,resnet_p,resnet_top1,convnext_p,convnext_top1,inception_total_variance,inception_within_target_variance,fid_delta_tuned_cfg,sampling_cost_ratio_tuned_cfg,within_target_variance_ratio_tuned_cfg
fsg_length_high,,fsg_length_high,,null,False,64.3008468746167,True,260.0,0.0,199.89976035244763,/home/zhoushunyu/data/eqvae/experiments/sit_fsg_ctrl_hypothesis_20260911/hypothesis_1k/fsg_length_high,210.30974026364822,69.83505249023438,0.8651787042617798,0.9129999876022339,0.7159580588340759,0.932,165.98560391005606,60.338604105968635,18.593505962841505,1.1753362847556625,0.7008244581459949
fsg_debiased_high,,fsg_debiased_high,,null,False,65.58412034178673,True,296.0,0.0,227.09196007344872,/home/zhoushunyu/data/eqvae/experiments/sit_fsg_ctrl_hypothesis_20260911/hypothesis_1k/fsg_debiased_high,209.8023159566153,70.65006256103516,0.8836038708686829,0.9229999780654907,0.7306484580039978,0.944,166.6320153621089,56.297619530872105,19.87677943001154,1.3352163113153044,0.6538889867810183
cycle_high,,cycle_high,,null,False,60.133183542777715,True,260.0,0.0,201.7662718608044,/home/zhoushunyu/data/eqvae/experiments/sit_fsg_ctrl_hypothesis_20260911/hypothesis_1k/cycle_high,207.56665901045562,69.83483123779297,0.8681779503822327,0.9279999732971191,0.6566624641418457,0.948,153.8461631143305,53.74638827393039,14.425842631002524,1.186310678610952,0.6242567921065904
instant_high,,instant_high,,null,False,122.9979168427351,True,224.0,0.0,178.60598112037405,/home/zhoushunyu/data/eqvae/experiments/sit_fsg_ctrl_hypothesis_20260911/hypothesis_1k/instant_high,208.5568960377508,14.961918830871582,0.0169513039290905,0.024000000208616257,0.012029396370053291,0.025,215.79754383532187,209.5543410632129,77.2905759309599,1.050136778128409,2.43394439934085
soft_high,,soft_high,,null,False,111.97531355239778,True,224.0,0.0,176.1979832998477,/home/zhoushunyu/data/eqvae/experiments/sit_fsg_ctrl_hypothesis_20260911/hypothesis_1k/soft_high,220.09049387523055,19.218364715576172,0.16737604141235352,0.21899999678134918,0.12689997255802155,0.223,214.08372897134856,195.91585847767755,66.26797264062259,1.035978646037169,2.2755353292345046
norm_high,,norm_high,,null,False,62.95503341896767,True,224.0,0.0,174.17359976284206,/home/zhoushunyu/data/eqvae/experiments/sit_fsg_ctrl_hypothesis_20260911/hypothesis_1k/norm_high,210.44032408482542,71.50751495361328,0.9083479046821594,0.9480000138282776,0.752784013748169,0.955,159.3193174438373,51.2144444456453,17.247692507192482,1.0240760233371233,0.5948486182217976
instant01_high,,instant01_high,,null,False,70.58699344819485,True,224.0,0.0,174.93455859832466,/home/zhoushunyu/data/eqvae/experiments/sit_fsg_ctrl_hypothesis_20260911/hypothesis_1k/instant01_high,211.76859643965417,33.52906799316406,0.42230144143104553,0.5199999809265137,0.3283739686012268,0.526,194.61196665125314,153.70473702456525,24.879652536419655,1.0285501784285112,1.785259049919884
refined_high,,refined_high,,null,False,54.65989017962397,True,260.0,0.0,201.0936957593076,/home/zhoushunyu/data/eqvae/experiments/sit_fsg_ctrl_hypothesis_20260911/hypothesis_1k/refined_high,206.16124881484268,70.58979034423828,0.8712044954299927,0.9330000281333923,0.7160241007804871,0.932,162.81489876823875,65.50208837719555,8.95254926784878,1.1823561811420458,0.7607976066824227
local_fit,,local_fit,,null,False,45.70181060545309,True,1005.0,0.0,717.8662856784649,/home/zhoushunyu/data/eqvae/experiments/sit_fsg_ctrl_hypothesis_20260911/hypothesis_1k/local_fit,206.31201755848713,60.8002815246582,0.7868849635124207,0.8759999871253967,0.6321836113929749,0.893,163.41022827473319,85.85319302892988,-0.005530306322100387,4.220786916768023,0.9971728444187115
agreement_fit,,agreement_fit,,null,False,45.70366916206109,True,1005.0,0.0,726.3485977449454,/home/zhoushunyu/data/eqvae/experiments/sit_fsg_ctrl_hypothesis_20260911/hypothesis_1k/agreement_fit,206.53224953995664,60.352481842041016,0.7858142256736755,0.8730000257492065,0.6309952735900879,0.891,163.37297325440704,86.44171614617662,-0.0036717497141012245,4.270659758700288,1.0040084582162478
