arm,fid,full_calls_per_image,prefix_calls_per_image,sum_batch_gpu_seconds,complete
fsg_length_high,64.3008468746167,260.0,0.0,199.89976035244763,True
fsg_debiased_high,65.58412034178673,296.0,0.0,227.09196007344872,True
cycle_high,60.133183542777715,260.0,0.0,201.7662718608044,True
instant_high,122.9979168427351,224.0,0.0,178.60598112037405,True
soft_high,111.97531355239778,224.0,0.0,176.1979832998477,True
norm_high,62.95503341896767,224.0,0.0,174.17359976284206,True
instant01_high,70.58699344819485,224.0,0.0,174.93455859832466,True
refined_high,54.65989017962397,260.0,0.0,201.0936957593076,True
local_fit,45.70181060545309,1005.0,0.0,717.8662856784649,True
agreement_fit,45.70366916206109,1005.0,0.0,726.3485977449454,True
write_fit,45.84142053253322,1005.0,0.0,720.0883453772403,True
guided_write_fit,45.84636062528318,1005.0,0.0,719.5764787974767,True
cfg_tuned_null_16,100.77048919530978,160.0,0.0,139.99060876853764,True
cfg_tuned_null_32,55.058357295787005,192.0,0.0,153.62946370244026,True
cfg_tuned_null_48,45.84108565914653,224.0,0.0,176.7143513499759,True
cfg_tuned_conditional_32,47.41786226140738,192.0,0.0,153.59684371296316,True
cfg_high_null_16,78.83832858038107,160.0,0.0,143.5842233551666,True
cfg_high_null_32,50.4992513096995,192.0,0.0,152.73731935024261,True
cfg_high_null_48,53.98437993264781,224.0,0.0,176.69528704648837,True
cfg_high_conditional_32,51.09423883302429,192.0,0.0,153.078480259981,True
fsg_high_null_16,68.90999529862358,172.0,0.0,139.18121177284047,True
fsg_high_null_32,58.791578725041575,216.0,0.0,169.53548773145303,True
fsg_high_null_48,67.53711023927366,260.0,0.0,201.91376996738836,True
fsg_high_conditional_32,61.61277545566031,216.0,0.0,171.49113215645775,True
smc_high_null_16,107.51409620443872,160.0,0.0,128.6119493455626,True
smc_high_null_32,57.905075512754195,192.0,0.0,153.77432325296104,True
smc_high_null_48,45.29606337905801,224.0,0.0,176.3084390326403,True
smc_high_conditional_32,47.641291796325845,192.0,0.0,155.89760809857398,True
instant_high_null_16,129.8009947106732,160.0,0.0,131.51890589576215,True
instant_high_null_32,124.76263787256443,192.0,0.0,157.28146055201069,True
instant_high_null_48,122.52028648161462,224.0,0.0,181.27138295862824,True
instant_high_conditional_32,127.45163610447605,192.0,0.0,152.6136936568655,True
