method,control,k,suffix,delta_resnet_top1,delta_resnet_top1_lo,delta_resnet_top1_hi,delta_convnext_top1,delta_convnext_top1_lo,delta_convnext_top1_hi,delta_resnet_p,delta_resnet_p_lo,delta_resnet_p_hi,delta_convnext_p,delta_convnext_p_lo,delta_convnext_p_hi,n
cfg_high,cfg_high,8,conditional,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
cfg_high,cfg_high,8,null,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
cfg_high,cfg_high,16,conditional,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
cfg_high,cfg_high,16,null,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
cfg_high,cfg_high,24,conditional,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
cfg_high,cfg_high,24,null,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
cfg_high,cfg_high,32,conditional,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
cfg_high,cfg_high,32,null,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
cfg_high,cfg_high,40,conditional,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
cfg_high,cfg_high,40,null,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
cfg_high,cfg_high,48,conditional,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
cfg_high,cfg_high,48,null,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
cfg_high,cfg_high,64,guided,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
cfg_high,cfg_tuned,8,conditional,0.105,0.055,0.16,0.07,0.01,0.125,0.09114589858334511,0.05889094092573214,0.12494541406018016,0.08265443300810148,0.05013926759254264,0.11536576173993397,200
cfg_high,cfg_tuned,8,null,0.065,0.025,0.105,0.04,0.01,0.075,0.05224585011850991,0.03063136122314047,0.07579012582485603,0.0394435577726108,0.02343921774753244,0.05778783587828956,200
cfg_high,cfg_tuned,16,conditional,0.115,0.05,0.18,0.1,0.045,0.155,0.12089640981904268,0.0821288416949119,0.1599341508419017,0.10335510292134131,0.07275271010705911,0.13567304880026496,200
cfg_high,cfg_tuned,16,null,0.175,0.115,0.235,0.225,0.16,0.295,0.17306129077552668,0.13122381984737536,0.21507782711479087,0.16628347398087498,0.12832198366569902,0.2063257103380629,200
cfg_high,cfg_tuned,24,conditional,0.07,0.02,0.125,0.09,0.035,0.145,0.1291679912052723,0.09187456594811953,0.16799450539742233,0.09058923367294483,0.06263186376616796,0.12134658741740711,200
cfg_high,cfg_tuned,24,null,0.23,0.165,0.3,0.185,0.115,0.255,0.2091059821734325,0.16489547138106195,0.2556034141071322,0.17783512779591548,0.13938760468183864,0.21437149161067645,200
