arm,idea_id,family,key,role,solver,strength,theta,external_semantics,fid,sfid,inception_score,independent_top1,independent_target_probability,full_calls_per_image,prefix_calls_per_image,auxiliary_decoder_images_per_output,auxiliary_classifier_images_per_output,sum_batch_gpu_seconds,complete
strong_00,,strong,native_ig,native,heun64,0.0,0.0,False,86.70093987033607,220.4237810116166,27.713043212890625,0.4300000071525574,0.3151271343231201,128.0,0.0,0.0,0.0,99.87950874213129,True
ig_local_00,,ig_local,ig_local_attention,control,heun64,0.8,2.0,False,64.3763732617955,208.80830055971717,38.04529571533203,0.5350000262260437,0.43427303433418274,128.0,64.0,0.0,0.0,126.85078865336254,True
cfg_native_00,,cfg_native,native_cfg,native,heun64,0.25,0.0,False,66.65949134871084,216.82202522810326,37.496360778808594,0.5680000185966492,0.46451544761657715,224.0,0.0,0.0,0.0,168.46709460113198,True
cfg_native_01,,cfg_native,native_cfg,native,heun64,0.5,0.0,False,55.05499176735418,213.37456771245854,47.072689056396484,0.7020000219345093,0.5827444791793823,224.0,0.0,0.0,0.0,168.61179602053016,True
cfg_native_02,,cfg_native,native_cfg,native,heun64,0.75,0.0,False,48.80185426434582,210.66635210728634,52.44966506958008,0.7820000052452087,0.6736291646957397,224.0,0.0,0.0,0.0,167.91734185256064,True
cfg_native_03,,cfg_native,native_cfg,native,heun64,1.0,0.0,False,45.98726292397288,209.15986116459032,58.09621047973633,0.8349999785423279,0.7360438108444214,224.0,0.0,0.0,0.0,168.56429254217073,True
cfg_native_04,,cfg_native,native_cfg,native,heun64,1.25,0.0,False,45.44286606900863,208.015921339937,63.091773986816406,0.8600000143051147,0.7769683599472046,224.0,0.0,0.0,0.0,167.80673357611522,True
cfg_native_05,,cfg_native,native_cfg,native,heun64,1.5,0.0,False,46.16378876358846,207.51889422040665,66.74603271484375,0.8840000033378601,0.8084326386451721,224.0,0.0,0.0,0.0,168.5904678949155,True
cfg_native_06,,cfg_native,native_cfg,native,heun64,1.75,0.0,False,47.2870933130867,207.30247542438394,67.3232421875,0.9070000052452087,0.8307653665542603,224.0,0.0,0.0,0.0,168.350514549762,True
cfg_native_07,,cfg_native,native_cfg,native,heun64,2.0,0.0,False,48.90898487420952,207.1039068371499,69.64414978027344,0.9129999876022339,0.8491643667221069,224.0,0.0,0.0,0.0,169.02404920198023,True
cfg_native_08,,cfg_native,native_cfg,native,heun64,2.25,0.0,False,50.664873071287275,207.34102946480505,69.97065734863281,0.9200000166893005,0.8653678297996521,224.0,0.0,0.0,0.0,177.03208703361452,True
cfg_native_09,,cfg_native,native_cfg,native,heun64,2.5,0.0,False,52.6758878003418,207.27829573774625,70.19281768798828,0.9309999942779541,0.8739709258079529,224.0,0.0,0.0,0.0,173.19652544241399,True
