arm,idea,key,source,strength,theta,solver,cutoff,role,fid,sfid,inception_score,full_calls_per_image,prefix_calls_per_image,auxiliary_full_calls_per_image,sum_batch_gpu_seconds
control_full,0,native_ig,ig,0.0,0.0,heun64,0.5,control,85.02317907532358,222.49428979578602,29.606731414794922,128.0,0.0,0.0,96.1698796460405
control_ig_heun64_00,0,native_ig,ig,0.25,0.0,heun64,0.5,control,72.62172422409822,213.37321806440377,31.98736000061035,128.0,0.0,0.0,101.4198696562089
control_ig_heun64_01,0,native_ig,ig,0.35,0.0,heun64,0.5,control,69.45085533386168,211.20983894133724,33.41423416137695,128.0,0.0,0.0,102.04343594470993
control_ig_heun64_02,0,native_ig,ig,0.5,0.0,heun64,0.5,control,66.85672410189147,209.4834971781504,35.214019775390625,128.0,0.0,0.0,100.6340121421963
control_ig_heun64_03,0,native_ig,ig,0.55,0.0,heun64,0.5,control,65.98568620332026,209.03394756415173,35.20374298095703,128.0,0.0,0.0,100.3965147617273
control_ig_heun64_04,0,native_ig,ig,0.65,0.0,heun64,0.5,control,65.3034143838562,209.00429471746315,35.073429107666016,128.0,0.0,0.0,101.05839942581952
control_ig_heun64_05,0,native_ig,ig,0.7,0.0,heun64,0.5,control,65.05814095831727,209.0416251789627,35.16897964477539,128.0,0.0,0.0,100.2843850958161
control_ig_heun64_06,0,native_ig,ig,0.8,0.0,heun64,0.5,control,65.59710830829181,209.3741859072136,35.13214874267578,128.0,0.0,0.0,100.490259940736
control_ig_heun64_07,0,native_ig,ig,0.85,0.0,heun64,0.5,control,66.26084392883917,209.71541271434398,35.093990325927734,128.0,0.0,0.0,100.59212026093155
control_ig_heun64_08,0,native_ig,ig,0.95,0.0,heun64,0.5,control,67.21613450767444,211.21998085966345,34.99502182006836,128.0,0.0,0.0,100.63877093372867
control_ig_heun64_09,0,native_ig,ig,1.1,0.0,heun64,0.5,control,69.00062863689817,213.65929482148613,33.54738998413086,128.0,0.0,0.0,100.03594066016376
control_ig_heun64_10,0,native_ig,ig,1.25,0.0,heun64,0.5,control,71.38121271916748,216.88545206804167,31.990028381347656,128.0,0.0,0.0,99.88261146657169
control_ig_heun64_11,0,native_ig,ig,1.5,0.0,heun64,0.5,control,76.6468977043786,222.41220799821997,28.80547332763672,128.0,0.0,0.0,100.14434141293168
control_ig_dopri5_00,0,native_ig,ig,0.25,0.0,dopri5,0.5,control,72.5650044456346,213.22030269365484,32.13394546508789,107.392,0.0,0.0,86.78021962475032
control_ig_dopri5_01,0,native_ig,ig,0.35,0.0,dopri5,0.5,control,69.62042559694686,211.17274507001548,33.69076156616211,108.784,0.0,0.0,90.11794997006655
control_ig_dopri5_02,0,native_ig,ig,0.5,0.0,dopri5,0.5,control,66.70187373422391,209.45430231925525,35.558860778808594,110.608,0.0,0.0,88.83224631240591
control_ig_dopri5_03,0,native_ig,ig,0.55,0.0,dopri5,0.5,control,65.88085677281578,208.95261668504793,35.2434196472168,112.288,0.0,0.0,89.80309486668557
control_ig_dopri5_04,0,native_ig,ig,0.65,0.0,dopri5,0.5,control,65.3374732040819,208.8089632487695,35.65361022949219,112.912,0.0,0.0,90.45213642437011
control_ig_dopri5_05,0,native_ig,ig,0.7,0.0,dopri5,0.5,control,65.13786824789673,208.8038886639306,35.63572311401367,113.776,0.0,0.0,91.00439131818712
control_ig_dopri5_06,0,native_ig,ig,0.8,0.0,dopri5,0.5,control,65.91189175134002,209.1552902758781,35.19427490234375,115.696,0.0,0.0,92.13464011158794
control_ig_dopri5_07,0,native_ig,ig,0.85,0.0,dopri5,0.5,control,66.45857644614517,209.57868745394035,35.141143798828125,116.752,0.0,0.0,92.67500884318724
control_ig_dopri5_08,0,native_ig,ig,0.95,0.0,dopri5,0.5,control,67.45427295672704,210.99787505072027,34.95801544189453,118.0,0.0,0.0,94.72740208683535
control_ig_dopri5_09,0,native_ig,ig,1.1,0.0,dopri5,0.5,control,69.27721055019049,213.6653381508163,33.193477630615234,120.16,0.0,0.0,95.18253869749606
control_ig_dopri5_10,0,native_ig,ig,1.25,0.0,dopri5,0.5,control,71.55327738859648,216.89842428287488,32.235450744628906,122.272,0.0,0.0,97.29020380880684
control_ig_dopri5_11,0,native_ig,ig,1.5,0.0,dopri5,0.5,control,77.04842767154116,222.41720476276885,29.039281845092773,123.616,0.0,0.0,97.30506808590144
control_cfg_c50_00,0,native_cfg,cfg,0.25,0.0,heun64,0.5,control,68.11692079703505,218.41817377332188,38.66693878173828,192.0,0.0,0.0,140.75804521562532
control_cfg_c50_01,0,native_cfg,cfg,0.5,0.0,heun64,0.5,control,59.54743505020724,215.5384849291744,44.380523681640625,192.0,0.0,0.0,140.11313095781952
control_cfg_c50_02,0,native_cfg,cfg,0.75,0.0,heun64,0.5,control,54.4363610843219,212.782692829079,49.31669998168945,192.0,0.0,0.0,140.5665346053429
control_cfg_c50_03,0,native_cfg,cfg,1.0,0.0,heun64,0.5,control,50.83224705073013,210.97650147495017,52.275184631347656,192.0,0.0,0.0,140.11339517543092
control_cfg_c50_04,0,native_cfg,cfg,1.25,0.0,heun64,0.5,control,48.89596440491607,208.97110407517755,54.00870895385742,192.0,0.0,0.0,140.42405790556222
control_cfg_c50_05,0,native_cfg,cfg,1.5,0.0,heun64,0.5,control,47.86316214012527,208.2100256629558,55.70553970336914,192.0,0.0,0.0,140.6775295548141
control_cfg_c50_06,0,native_cfg,cfg,1.75,0.0,heun64,0.5,control,47.84747278922168,207.68658517422477,59.30143356323242,192.0,0.0,0.0,140.5108757345006
control_cfg_c50_07,0,native_cfg,cfg,2.0,0.0,heun64,0.5,control,48.042815603322026,207.4274539041745,61.41483688354492,192.0,0.0,0.0,140.7289770618081
control_cfg_c50_08,0,native_cfg,cfg,2.25,0.0,heun64,0.5,control,48.85511535537182,207.06006292831307,63.2184944152832,192.0,0.0,0.0,140.62439528713003
control_cfg_c50_09,0,native_cfg,cfg,2.5,0.0,heun64,0.5,control,49.74013436928641,207.60785749858724,62.74456787109375,192.0,0.0,0.0,141.08192791882902
control_cfg_c50_10,0,native_cfg,cfg,3.0,0.0,heun64,0.5,control,51.5682931427599,207.62518146308048,63.659202575683594,192.0,0.0,0.0,140.7914817505516
control_cfg_c50_11,0,native_cfg,cfg,4.0,0.0,heun64,0.5,control,54.91228849983645,208.64376835898952,64.46561431884766,192.0,0.0,0.0,141.44533075485379
control_cfg_c75_00,0,native_cfg,cfg,0.25,0.0,heun64,0.75,control,64.91565644348265,218.30654445085065,40.49105453491211,224.0,0.0,0.0,163.39785977592692
control_cfg_c75_01,0,native_cfg,cfg,0.5,0.0,heun64,0.75,control,54.845516843998894,215.41322545091566,48.432613372802734,224.0,0.0,0.0,163.99300946574658
control_cfg_c75_02,0,native_cfg,cfg,0.75,0.0,heun64,0.75,control,50.11680754386754,212.56817684473515,53.99110794067383,224.0,0.0,0.0,164.33502901764587
control_cfg_c75_03,0,native_cfg,cfg,1.0,0.0,heun64,0.75,control,47.13710139821768,210.75755057907168,57.8637809753418,224.0,0.0,0.0,163.9348177043721
control_cfg_c75_04,0,native_cfg,cfg,1.25,0.0,heun64,0.75,control,46.724129632037716,209.06139471996983,59.588687896728516,224.0,0.0,0.0,164.95355400349945
control_cfg_c75_05,0,native_cfg,cfg,1.5,0.0,heun64,0.75,control,46.98025854129469,208.57738624409694,62.460262298583984,224.0,0.0,0.0,163.59943709569052
control_cfg_c75_06,0,native_cfg,cfg,1.75,0.0,heun64,0.75,control,48.127899443684555,208.33177971570535,64.73224639892578,224.0,0.0,0.0,164.47833420708776
