arm,idea_id,family,role,source,strength,theta,fid,full_calls_per_image,prefix_calls_per_image,sum_batch_gpu_seconds,complete
strong_00,,strong,native,ig,0.0,0.0,87.08201116646615,128.0,0.0,95.11657707206905,True
ig_local_00,,ig_local,control,ig,0.8,2.0,63.20238337311554,128.0,64.0,131.54791823448613,True
cfg_native_04,,cfg_native,native,cfg,1.25,0.0,45.70782519917765,224.0,0.0,172.52156418794766,True
cfg_apg_07,,cfg_apg,control,cfg,2.0,-0.5,44.503697494711446,224.0,0.0,169.42413976648822,True
ig_native_matched_00,,ig_native,native,ig,0.8,0.0,65.40126219161306,128.0,0.0,104.66332437144592,True
weak_native_00,,weak_native,control,ig,0.5,0.0,84.92025291326365,192.0,0.0,143.94176733586937,True
weak_native_01,,weak_native,control,ig,1.25,0.0,83.12240422087149,192.0,0.0,135.0748332249932,True
weak_native_02,,weak_native,control,ig,2.0,0.0,79.49829800146438,192.0,0.0,133.81792544340715,True
weak_native_03,,weak_native,control,ig,2.75,0.0,77.77821498746914,192.0,0.0,134.70339660765603,True
i59_clt_00,59,i59_clt,candidate,ig,0.5,0.0,74.15126566822704,192.0,0.0,136.799146279227,True
i59_clt_01,59,i59_clt,candidate,ig,1.25,0.0,70.211132842594,192.0,0.0,134.44615060463548,True
i59_clt_02,59,i59_clt,candidate,ig,2.0,0.0,75.95439531193097,192.0,0.0,135.5064162989147,True
i59_clt_03,59,i59_clt,candidate,ig,2.75,0.0,86.31018741609955,192.0,0.0,136.82723495783284,True
i60_factor_00,60,i60_factor,candidate,ig,0.5,0.0,71.16481721228956,192.0,0.0,133.32508719759062,True
i60_factor_01,60,i60_factor,candidate,ig,1.25,0.0,72.16815881354876,192.0,0.0,133.63437040895224,True
i60_factor_02,60,i60_factor,candidate,ig,2.0,0.0,82.89285791961555,192.0,0.0,134.85794773325324,True
i60_factor_03,60,i60_factor,candidate,ig,2.75,0.0,99.46753604529715,192.0,0.0,134.492262349464,True
i61_local_label_00,61,i61_local_label,candidate,cfg,0.5,0.0,77.37731685279527,224.0,0.0,155.41399250132963,True
i61_local_label_01,61,i61_local_label,candidate,cfg,1.25,0.0,65.73800574482391,224.0,0.0,158.73975636297837,True
i61_local_label_02,61,i61_local_label,candidate,cfg,2.0,0.0,58.43057076769384,224.0,0.0,160.32417445769534,True
i61_local_label_03,61,i61_local_label,candidate,cfg,2.75,0.0,54.89498534706081,224.0,0.0,161.14674787875265,True
i63_defensive_00,63,i63_defensive,candidate,ig,0.5,0.0,80.69251107472144,192.0,0.0,145.83047141693532,True
i63_defensive_01,63,i63_defensive,candidate,ig,1.25,0.0,75.4310892047406,192.0,0.0,143.9513234817423,True
i63_defensive_02,63,i63_defensive,candidate,ig,2.0,0.0,72.56167156838,192.0,0.0,144.9618543353863,True
i63_defensive_03,63,i63_defensive,candidate,ig,2.75,0.0,71.23452103465598,192.0,0.0,137.77382376557216,True
weak_heat_00,,weak_heat,control,ig,0.5,0.0,87.36313581357115,192.0,0.0,137.38012710446492,True
weak_heat_01,,weak_heat,control,ig,1.25,0.0,121.17898043665951,192.0,0.0,136.289360223338,True
weak_heat_02,,weak_heat,control,ig,2.0,0.0,143.01585157477103,192.0,0.0,137.09045233065262,True
