arm,source,role,strength,fid,full_calls_per_image,prefix_calls_per_image,sum_batch_gpu_seconds,complete
ig_original_00,ig,control,0.8,65.40238606012122,128.0,0.0,99.9527503233403,True
ig_real_00,ig,control,0.8,65.02219627589864,128.0,0.0,101.67007310921326,True
ig_ig_00,ig,candidate,0.8,64.53671252616482,128.0,0.0,102.2406703978777,True
ig_cfg_00,ig,candidate,0.8,69.1405511041392,128.0,0.0,99.26675125770271,True
cfg_original_00,cfg,control,1.25,45.707899746231135,224.0,0.0,156.88240275299177,True
cfg_real_00,cfg,control,1.25,45.537269130574316,224.0,0.0,158.1448031598702,True
cfg_ig_00,cfg,candidate,1.25,45.561636793546825,224.0,0.0,156.77104610204697,True
cfg_cfg_00,cfg,candidate,1.25,45.05699940132513,224.0,0.0,158.25447267154232,True
cfg_apg_07,cfg,control,2.0,44.503787329959266,224.0,0.0,173.45731542166322,True
ig_adg_reference_00,ig,control,0.8,64.69156705550739,128.0,0.0,111.9514211975038,True
