arm,source,role,strength,fid,full_calls_per_image,prefix_calls_per_image,sum_batch_gpu_seconds,complete
ig_original_00,ig,control,0.8,65.40107225421809,128.0,0.0,99.08926437282935,True
ig_real_00,ig,control,0.8,65.02082492155841,128.0,0.0,105.57728951610625,True
ig_teacher_00,ig,candidate,0.8,64.82825581439806,128.0,0.0,105.78996085375547,True
ig_strong_00,ig,candidate,0.8,65.17288452702508,128.0,0.0,102.99146397644654,True
ig_teacherstrong_00,ig,candidate,0.8,65.30230976463349,128.0,0.0,105.28167242137715,True
ig_ig_00,ig,control,0.8,64.53451090654238,128.0,0.0,98.97481335233897,True
cfg_original_00,cfg,control,1.25,45.70805936144916,224.0,0.0,152.56850618030876,True
cfg_real_00,cfg,control,1.25,45.53702829897185,224.0,0.0,160.47858298243955,True
cfg_strong_00,cfg,candidate,1.25,45.79710956118606,224.0,0.0,156.35241953795776,True
cfg_cfg_00,cfg,control,1.25,45.056693870858226,224.0,0.0,155.3018601979129,True
ig_half_00,ig,control,0.4,70.48978147922594,128.0,0.0,100.42830645525828,True
strong_00,ig,native,0.0,87.0807818845185,128.0,0.0,96.93375220149755,True
cfg_apg_07,cfg,control,2.0,44.504049621917545,224.0,0.0,174.34394877264276,True
ig_adg_reference_00,ig,control,0.8,64.68997554501198,128.0,0.0,110.68372741574422,True
