phase,seed,protocol,arm,kind,alpha,omega,steps,model,samples,fid,sfid,inception_score,full_calls_per_output,seconds,baseline,delta_fid,relative_seconds,kappa,shift,angle,kernel,weights,weight_source,base
sit_screen_1k,2026091407,ADM ImageNet100,cfg_e64,baseline,1.25,0,64,sit,1000,45.480870714367825,207.7007897910985,60.494873046875,112,61.20206141797826,cfg_e64,0.0,1.0,,,,,,,
sit_screen_1k,2026091407,ADM ImageNet100,cfg_log_k02_w1,log,1.25,1,64,sit,1000,45.4111660544562,205.67042199007756,60.170475006103516,240,113.65970196109265,cfg_e64,-0.069704659911622,1.8571221185648632,0.2,,,,,,
sit_screen_1k,2026091407,ADM ImageNet100,cfg_log_k01_w1,log,1.25,1,64,sit,1000,45.41913740183958,206.99952561945474,60.25819396972656,240,114.34751067403704,cfg_e64,-0.0617333125282471,1.8683604444808322,0.1,,,,,,
sit_screen_1k,2026091407,ADM ImageNet100,cfg_log_k02_w3,log,1.25,3,64,sit,1000,46.905000458893085,206.04146239642455,58.95054244995117,240,113.67393667297438,cfg_e64,1.4241297445252599,1.8573547040620166,0.2,,,,,,
sit_screen_1k,2026091407,ADM ImageNet100,cfg_log_k04_w1,log,1.25,1,64,sit,1000,48.146160469836104,208.17841018006436,57.740108489990234,240,114.31429554149508,cfg_e64,2.6652897554682795,1.8678177318372968,0.4,,,,,,
sit_screen_1k,2026091407,ADM ImageNet100,cfg_e137,baseline,1.25,0,137,sit,1000,45.24263332948425,207.56331346226534,60.29800033569336,240,114.05685149505734,cfg_e64,-0.2382373848835755,1.863611271458789,,,,,,,
sit_screen_1k,2026091407,ADM ImageNet100,cfg_sg_w1,sg,1.25,1,64,sit,1000,45.052437366585934,210.3581612349078,59.37276840209961,175,87.25816096644849,cfg_e64,-0.42843334778189046,1.4257389203040174,,0.01,,,,,
sit_screen_1k,2026091407,ADM ImageNet100,strong_e64,baseline,0,0,64,sit,1000,86.54317406514934,220.12450267967074,28.52666664123535,64,41.21711340965703,strong_e64,0.0,1.0,,,,,,,
sit_screen_1k,2026091407,ADM ImageNet100,strong_log_k02_w1,log,0,1,64,sit,1000,82.67638367296871,212.19745443000204,30.36794090270996,192,94.03977806819603,strong_e64,-3.866790392180633,2.2815711797557086,0.2,,,,,,
angular_screen_1k,2026091407,ADM ImageNet100,cfg_e64,baseline,1.25,0,64,sit,1000,45.48135596397833,207.701858742255,60.49470138549805,112,61.08127192873508,cfg_e64,0.0,1.0,,,,,,,
angular_screen_1k,2026091407,ADM ImageNet100,cfg_angular_a01_w1,angular,1.25,1,64,sit,1000,45.504643053976736,207.3929612483371,60.0135383605957,240,113.16274815564975,cfg_e64,0.02328708999840501,1.8526586723288823,,,0.1,,,,
angular_screen_1k,2026091407,ADM ImageNet100,cfg_angular_a02_w1,angular,1.25,1,64,sit,1000,45.51759342626838,206.64865949669445,59.6667366027832,240,113.13622673647478,cfg_e64,0.036237462290046096,1.8522244734601043,,,0.2,,,,
angular_screen_1k,2026091407,ADM ImageNet100,cfg_e137,baseline,1.25,0,137,sit,1000,45.242646973018225,207.56326898751934,60.29909133911133,240,112.97793826228008,cfg_e64,-0.2387089909601059,1.8496330330857227,,,,,,,
moment_screen_1k,2026091407,ADM ImageNet100,cfg_e64,baseline,1.25,0,64,sit,1000,45.48103107132408,207.70133989010264,60.49470138549805,112,60.71785434242338,cfg_e64,0.0,1.0,,,,,,,
moment_screen_1k,2026091407,ADM ImageNet100,cfg_moment_k02_w1,moment,1.25,1,64,sit,1000,45.42897072670246,207.5079680237884,60.08082962036133,175,86.5624757008627,cfg_e64,-0.05206034462162279,1.4256510978251378,0.2,,,,,,
moment_screen_1k,2026091407,ADM ImageNet100,cfg_e100,baseline,1.25,0,100,sit,1000,45.362347565874074,207.57152095302774,60.80072021484375,175,86.6898948228918,cfg_e64,-0.11868350545000794,1.42774964237038,,,,,,,
strong_confirm_1k,2026091408,ADM ImageNet100,strong_e64,baseline,0,0,64,sit,1000,87.54491553175313,221.690456352635,28.881834030151367,64,40.91697117034346,strong_e64,0.0,1.0,,,,,,,
strong_confirm_1k,2026091408,ADM ImageNet100,strong_log_k02_w1,log,0,1,64,sit,1000,83.47262277741947,213.3329485928033,30.881223678588867,192,93.02096072724089,strong_e64,-4.07229275433366,2.273407783288278,0.2,,,,,,
strong_confirm_1k,2026091408,ADM ImageNet100,strong_e192,baseline,0,0,192,sit,1000,86.53026430807603,220.69461198406486,28.757972717285156,192,93.43273375742137,strong_e64,-1.014651223677106,2.283471407706278,,,,,,,
strong_sg_1k,2026091408,ADM ImageNet100,strong_sg_e64_w1,sg,0,1,64,sit,1000,88.98376667015765,226.59070066797403,27.407089233398438,127,67.11991707934067,strong_confirm_1k/strong_e64,1.438851138404516,1.6403930975220633,,0.01,,,,,
strong_sg_1k,2026091408,ADM ImageNet100,strong_sg_e96_w1,sg,0,1,96,sit,1000,88.2001623936464,226.0122902686171,27.560455322265625,191,93.51080542104319,strong_confirm_1k/strong_e64,0.6552468618932608,2.2853794586051777,,0.01,,,,,
strong_band_1k,2026091408,ADM ImageNet100,strong_band_w1,calibrated,0,,64,sit,1000,80.30914325404564,206.70980237279116,31.523353576660156,320,145.1149767478928,strong_confirm_1k/strong_e64,-7.235772277707497,3.546571815977226,,,,band,"[1, 1, 1, 1, 1, 1, 1, 1]",fixed; not fitted by DSM,
strong_band_1k,2026091408,ADM ImageNet100,strong_e320,baseline,0,0,320,sit,1000,86.4173341026135,220.46616040402284,28.742618560791016,320,146.70985818328336,strong_confirm_1k/strong_e64,-1.1275814291396387,3.585550298249309,,,,,,,
strong_band_confirm_1k,2026091409,ADM ImageNet100,strong_e320,baseline,0,0,320,sit,1000,85.16548644689158,220.17009509224022,30.056697845458984,320,147.76431894255802,strong_e320,0.0,1.0,,,,,,,
strong_band_confirm_1k,2026091409,ADM ImageNet100,strong_band_w1,calibrated,0,,64,sit,1000,80.4528248673667,206.81682569857594,29.53725242614746,320,144.9263295866549,strong_e320,-4.712661579524877,0.9807938115492796,,,,band,"[1, 1, 1, 1, 1, 1, 1, 1]",fixed; not fitted by DSM,
strong_band_confirm_1k,2026091409,ADM ImageNet100,strong_log_k04_e64_w1,log,0,1,64,sit,1000,82.25153500918776,207.36730655488486,29.541086196899414,192,93.81237539462745,strong_e320,-2.9139514377038154,0.6348784068168455,0.4,,,,,,
strong_band_confirm_1k,2026091409,ADM ImageNet100,strong_log_k04_e106_w1,log,0,1,106,sit,1000,81.09070440349228,207.2822589384864,29.535091400146484,318,144.92496646987274,strong_e320,-4.074782043399296,0.9807845866105941,0.4,,,,,,
