arm,method,early,late,iterations,samples,seed,fid,noise_sha256,label_sha256,sample_sha256,sum_batch_gpu_seconds,run,source
ig_e0.000_l0.000_m1_n1000_s202609831,ig,0.0,0.0,,,,63.674574320406634,,,,,jit_fine_sweep_20260909,/home/zhoushunyu/data/eqvae/experiments/jit_fine_sweep_20260909/ig_e0.000_l0.000_m1_n1000_s202609831/result.json
ig_e0.000_l0.100_m1_n1000_s202609831,ig,0.0,0.1,1,1000,202609831,64.61380644184527,1a2536397ae0bc67f1baaa0eddad6e8a7a2e96ad10d203166926c7b754a406b0,702746827e553786bb026ac120cb58745fef3d3f554c33891809001cc37639f0,ad60dd3d772fbbeace3db8160ab0474bba1b4a17bb547ec2a0c9a98dc68dd436,416.8568347655237,jit_fine_sweep_20260909,/home/zhoushunyu/data/eqvae/experiments/jit_fine_sweep_20260909/ig_e0.000_l0.100_m1_n1000_s202609831/result.json
ig_e0.000_l0.200_m1_n1000_s202609831,ig,0.0,0.2,1,1000,202609831,69.58781407989125,1a2536397ae0bc67f1baaa0eddad6e8a7a2e96ad10d203166926c7b754a406b0,702746827e553786bb026ac120cb58745fef3d3f554c33891809001cc37639f0,275e45d7dc5ab1842a2e5e4faa90aae0c814a5d4b181d422218de8fd220da65f,422.55812381766737,jit_fine_sweep_20260909,/home/zhoushunyu/data/eqvae/experiments/jit_fine_sweep_20260909/ig_e0.000_l0.200_m1_n1000_s202609831/result.json
ig_e0.000_l0.300_m1_n1000_s202609831,ig,0.0,0.3,1,1000,202609831,77.76442470024335,1a2536397ae0bc67f1baaa0eddad6e8a7a2e96ad10d203166926c7b754a406b0,702746827e553786bb026ac120cb58745fef3d3f554c33891809001cc37639f0,dd78a660ae0d6f04fabfd3c212ac4b67fc3b1843fa0d9251a890e87762d8a992,417.47718090750277,jit_fine_sweep_20260909,/home/zhoushunyu/data/eqvae/experiments/jit_fine_sweep_20260909/ig_e0.000_l0.300_m1_n1000_s202609831/result.json
ig_e0.000_l0.400_m1_n1000_s202609831,ig,0.0,0.4,1,1000,202609831,89.28007934728055,1a2536397ae0bc67f1baaa0eddad6e8a7a2e96ad10d203166926c7b754a406b0,702746827e553786bb026ac120cb58745fef3d3f554c33891809001cc37639f0,88bc8af71713927316ae11cdd439ecf6964bc48f10851c3104f954de3bf0b213,414.28154479246587,jit_fine_sweep_20260909,/home/zhoushunyu/data/eqvae/experiments/jit_fine_sweep_20260909/ig_e0.000_l0.400_m1_n1000_s202609831/result.json
ig_e0.000_l0.500_m1_n1000_s202609831,ig,0.0,0.5,1,1000,202609831,103.51337522128063,1a2536397ae0bc67f1baaa0eddad6e8a7a2e96ad10d203166926c7b754a406b0,702746827e553786bb026ac120cb58745fef3d3f554c33891809001cc37639f0,614ac988878d714b2a572de48c3b795d9da6dce19ee2b921833e49a2fd7a4fe4,416.8347087041475,jit_fine_sweep_20260909,/home/zhoushunyu/data/eqvae/experiments/jit_fine_sweep_20260909/ig_e0.000_l0.500_m1_n1000_s202609831/result.json
ig_e0.000_l0.600_m1_n1000_s202609831,ig,0.0,0.6,1,1000,202609831,117.83049285361182,1a2536397ae0bc67f1baaa0eddad6e8a7a2e96ad10d203166926c7b754a406b0,702746827e553786bb026ac120cb58745fef3d3f554c33891809001cc37639f0,1d814897e0c0f82066718c6ac1c21889b28d6f84a59c8df2aed27f78ecbb9209,411.42187315505,jit_fine_sweep_20260909,/home/zhoushunyu/data/eqvae/experiments/jit_fine_sweep_20260909/ig_e0.000_l0.600_m1_n1000_s202609831/result.json
ig_e0.150_l0.000_m1_n1000_s202609831,ig,0.15,0.0,1,1000,202609831,57.55908947019668,1a2536397ae0bc67f1baaa0eddad6e8a7a2e96ad10d203166926c7b754a406b0,702746827e553786bb026ac120cb58745fef3d3f554c33891809001cc37639f0,52ec546b6458422ef7e38022f40a7c8fabbf21deb09b6b13134236c353c9b828,413.242521897424,jit_fine_sweep_20260909,/home/zhoushunyu/data/eqvae/experiments/jit_fine_sweep_20260909/ig_e0.150_l0.000_m1_n1000_s202609831/result.json
ig_e0.150_l0.100_m1_n1000_s202609831,ig,0.15,0.1,1,1000,202609831,60.676202417906154,1a2536397ae0bc67f1baaa0eddad6e8a7a2e96ad10d203166926c7b754a406b0,702746827e553786bb026ac120cb58745fef3d3f554c33891809001cc37639f0,836e9e0f9b88f64a5c69ffe0e7a816972202cbb3902b117576cdf10a077a1ad6,421.14321932476014,jit_fine_sweep_20260909,/home/zhoushunyu/data/eqvae/experiments/jit_fine_sweep_20260909/ig_e0.150_l0.100_m1_n1000_s202609831/result.json
ig_e0.150_l0.200_m1_n1000_s202609831,ig,0.15,0.2,1,1000,202609831,66.29476092017666,1a2536397ae0bc67f1baaa0eddad6e8a7a2e96ad10d203166926c7b754a406b0,702746827e553786bb026ac120cb58745fef3d3f554c33891809001cc37639f0,0179be6bd175cadf741b1467086e3523133376ac8eb80ee4b5fb1bb239f67acb,414.58393159741536,jit_fine_sweep_20260909,/home/zhoushunyu/data/eqvae/experiments/jit_fine_sweep_20260909/ig_e0.150_l0.200_m1_n1000_s202609831/result.json
ig_e0.150_l0.300_m1_n1000_s202609831,ig,0.15,0.3,1,1000,202609831,73.75850000567169,1a2536397ae0bc67f1baaa0eddad6e8a7a2e96ad10d203166926c7b754a406b0,702746827e553786bb026ac120cb58745fef3d3f554c33891809001cc37639f0,d59114b76e09885730750e94f4ca904dd5f03f15d6beb1ae4c4d6307b85b5ffc,416.838312250562,jit_fine_sweep_20260909,/home/zhoushunyu/data/eqvae/experiments/jit_fine_sweep_20260909/ig_e0.150_l0.300_m1_n1000_s202609831/result.json
ig_e0.150_l0.400_m1_n1000_s202609831,ig,0.15,0.4,1,1000,202609831,84.56194214564425,1a2536397ae0bc67f1baaa0eddad6e8a7a2e96ad10d203166926c7b754a406b0,702746827e553786bb026ac120cb58745fef3d3f554c33891809001cc37639f0,346ae484590016f169b258b5d6a5866e189b78dd55a0fd80c4767e1d5c554b4d,414.11929653491825,jit_fine_sweep_20260909,/home/zhoushunyu/data/eqvae/experiments/jit_fine_sweep_20260909/ig_e0.150_l0.400_m1_n1000_s202609831/result.json
ig_e0.150_l0.500_m1_n1000_s202609831,ig,0.15,0.5,1,1000,202609831,98.75924971484403,1a2536397ae0bc67f1baaa0eddad6e8a7a2e96ad10d203166926c7b754a406b0,702746827e553786bb026ac120cb58745fef3d3f554c33891809001cc37639f0,bffdba3ce85d58fc15acb04aa54242d711d6267d0c7ef0e4b1fa0ccf711022f9,404.80399324931204,jit_fine_sweep_20260909,/home/zhoushunyu/data/eqvae/experiments/jit_fine_sweep_20260909/ig_e0.150_l0.500_m1_n1000_s202609831/result.json
ig_e0.150_l0.600_m1_n1000_s202609831,ig,0.15,0.6,1,1000,202609831,113.04038193636381,1a2536397ae0bc67f1baaa0eddad6e8a7a2e96ad10d203166926c7b754a406b0,702746827e553786bb026ac120cb58745fef3d3f554c33891809001cc37639f0,fcd5324d3d2b4328bfbafcbbaaeb29d2bd9fe910c813be90088d2491caec0bd0,426.36816394422203,jit_fine_sweep_20260909,/home/zhoushunyu/data/eqvae/experiments/jit_fine_sweep_20260909/ig_e0.150_l0.600_m1_n1000_s202609831/result.json
ig_e0.200_l0.000_m1_n1000_s202609831,ig,0.2,0.0,1,1000,202609831,56.1398487956385,1a2536397ae0bc67f1baaa0eddad6e8a7a2e96ad10d203166926c7b754a406b0,702746827e553786bb026ac120cb58745fef3d3f554c33891809001cc37639f0,4aba66e91fdc1455586a90aff0b3160ee3742e39dfb421ee8258cebf4b675fc7,410.7643681871705,jit_fine_sweep_20260909,/home/zhoushunyu/data/eqvae/experiments/jit_fine_sweep_20260909/ig_e0.200_l0.000_m1_n1000_s202609831/result.json
ig_e0.200_l0.050_m1_n1000_s202609831,ig,0.2,0.05,1,1000,202609831,57.56932753143764,1a2536397ae0bc67f1baaa0eddad6e8a7a2e96ad10d203166926c7b754a406b0,702746827e553786bb026ac120cb58745fef3d3f554c33891809001cc37639f0,5d1d1e51a428a627ce56605a7d74c93a8fe805daa05333d65312409fbbf909ab,420.8024733522907,jit_fine_sweep_20260909,/home/zhoushunyu/data/eqvae/experiments/jit_fine_sweep_20260909/ig_e0.200_l0.050_m1_n1000_s202609831/result.json
ig_e0.250_l0.000_m1_n1000_s202609831,ig,0.25,0.0,1,1000,202609831,55.62257906856962,1a2536397ae0bc67f1baaa0eddad6e8a7a2e96ad10d203166926c7b754a406b0,702746827e553786bb026ac120cb58745fef3d3f554c33891809001cc37639f0,d309877c64c07c133d8ebd1e9a2833724432aa353a27ce3f795ebf8438ebb1cf,421.3640992050059,jit_fine_sweep_20260909,/home/zhoushunyu/data/eqvae/experiments/jit_fine_sweep_20260909/ig_e0.250_l0.000_m1_n1000_s202609831/result.json
ig_e0.250_l0.050_m1_n1000_s202609831,ig,0.25,0.05,1,1000,202609831,57.38300750004544,1a2536397ae0bc67f1baaa0eddad6e8a7a2e96ad10d203166926c7b754a406b0,702746827e553786bb026ac120cb58745fef3d3f554c33891809001cc37639f0,1edb6a4c08a7b20def3ce1a18349b50f44734a68891d2e94d3ca6c967deb4ca7,419.0824739970267,jit_fine_sweep_20260909,/home/zhoushunyu/data/eqvae/experiments/jit_fine_sweep_20260909/ig_e0.250_l0.050_m1_n1000_s202609831/result.json
ig_e0.300_l0.000_m1_n1000_s202609831,ig,0.3,0.0,1,1000,202609831,55.48032592279077,1a2536397ae0bc67f1baaa0eddad6e8a7a2e96ad10d203166926c7b754a406b0,702746827e553786bb026ac120cb58745fef3d3f554c33891809001cc37639f0,078b882faa0c83762e025690c305c65f218fcf9ea8699d39ab08a67137b6fa51,411.8460606154986,jit_fine_sweep_20260909,/home/zhoushunyu/data/eqvae/experiments/jit_fine_sweep_20260909/ig_e0.300_l0.000_m1_n1000_s202609831/result.json
ig_e0.300_l0.050_m1_n1000_s202609831,ig,0.3,0.05,1,1000,202609831,57.40425962438354,1a2536397ae0bc67f1baaa0eddad6e8a7a2e96ad10d203166926c7b754a406b0,702746827e553786bb026ac120cb58745fef3d3f554c33891809001cc37639f0,e40957c09a5dfe89c81056960dbc0829246e2deb4f316e8903f7d650da04933f,429.3922614380717,jit_fine_sweep_20260909,/home/zhoushunyu/data/eqvae/experiments/jit_fine_sweep_20260909/ig_e0.300_l0.050_m1_n1000_s202609831/result.json
ig_e0.300_l0.100_m1_n1000_s202609831,ig,0.3,0.1,1,1000,202609831,59.58133868312552,1a2536397ae0bc67f1baaa0eddad6e8a7a2e96ad10d203166926c7b754a406b0,702746827e553786bb026ac120cb58745fef3d3f554c33891809001cc37639f0,e7fd3c93a5f449941564b394ff3fe48912d246425290d4f3bced3727a380e1fe,429.15703407721594,jit_fine_sweep_20260909,/home/zhoushunyu/data/eqvae/experiments/jit_fine_sweep_20260909/ig_e0.300_l0.100_m1_n1000_s202609831/result.json
