condition,time,rollout_bayes_velocity_mse,state_swd_2d,state_intrinsic_swd,state_off_subspace_rms,true_off_subspace_rms,gate_mean,gate_std
D0_x_shared,0.01,0.0003824438317678869,0.029255366761859962,0.029255366761859962,5.4476327449037854e-08,5.4825669337787986e-08,,
D0_x_shared,0.03,0.0002873210178222507,0.03107175534997469,0.03107175534997469,5.397832580911199e-08,5.351238741013731e-08,,
D0_x_shared,0.1,0.00029926616116426885,0.023603872676044017,0.023603872676044017,4.9893213116547486e-08,4.8166953092732e-08,,
D0_x_shared,0.3,0.0007309482898563147,0.023183584210469302,0.023183584210469302,4.169389455910277e-08,3.972796491780173e-08,,
D0_x_shared,0.5,0.0013592622708529234,0.019696356323040502,0.019696356323040502,3.8659614176594914e-08,3.732086995000827e-08,,
D0_x_shared,0.7,0.009047171100974083,0.018311644145099844,0.018311644145099844,4.2886110662720967e-08,4.217360682901017e-08,,
D0_x_shared,0.9,0.23801398277282715,0.021699517631248277,0.021699517631248277,5.1261022093740394e-08,5.2573049913462455e-08,,
D0_x_shared,0.97,0.91880202293396,0.02404112330140873,0.02404112330140873,5.659523694134805e-08,5.5274526289395e-08,,
D0_x_shared,0.99,5.825307846069336,0.038130770297288175,0.038130770297288175,5.785626910892461e-08,5.650083778618864e-08,,
D0_eps_shared,0.01,4.4904632568359375,0.16366782281088854,0.16366782281088854,4.235380046679893e-08,5.4825669337787986e-08,,
D0_eps_shared,0.03,0.34916406869888306,0.17232576390529125,0.17232576390529125,4.258124519651574e-08,5.351238741013731e-08,,
D0_eps_shared,0.1,0.02681000530719757,0.1546576736147469,0.1546576736147469,4.048845880788576e-08,4.8166953092732e-08,,
D0_eps_shared,0.3,0.0029663676396012306,0.13659670181346611,0.13659670181346611,3.378989887892203e-08,3.972796491780173e-08,,
D0_eps_shared,0.5,0.001962011680006981,0.11447835229221476,0.11447835229221476,3.209093080158709e-08,3.732086995000827e-08,,
D0_eps_shared,0.7,0.005624112673103809,0.10266136216101937,0.10266136216101937,3.721164532066723e-08,4.217360682901017e-08,,
D0_eps_shared,0.9,0.12490244209766388,0.1090272213403584,0.1090272213403584,4.4938481380540907e-08,5.2573049913462455e-08,,
D0_eps_shared,0.97,0.305156409740448,0.11527107908923895,0.11527107908923895,5.003924030688722e-08,5.5274526289395e-08,,
D0_eps_shared,0.99,0.07477206736803055,0.11929832646075367,0.11929832646075367,5.127773761159915e-08,5.650083778618864e-08,,
D3_oracle_bayes_gate,0.01,0.000287513539660722,0.02926150053397567,0.02926150053397567,5.432244876146797e-08,5.4825669337787986e-08,0.9980313181877136,0.005875859875231981
D3_oracle_bayes_gate,0.03,0.00020190534996800125,0.031106353976748283,0.031106353976748283,5.28471773009187e-08,5.351238741013731e-08,0.9927142262458801,0.016307100653648376
D3_oracle_bayes_gate,0.1,0.00022455121506936848,0.02367561056685092,0.02367561056685092,5.0695422970647996e-08,4.8166953092732e-08,0.9616162776947021,0.09606564790010452
D3_oracle_bayes_gate,0.3,0.0003021248849108815,0.023511838597773713,0.023511838597773713,4.098699690757712e-08,3.972796491780173e-08,0.7882877588272095,0.3111843466758728
D3_oracle_bayes_gate,0.5,0.000808028387837112,0.02007490250009778,0.02007490250009778,3.944499127328527e-08,3.732086995000827e-08,0.5746742486953735,0.3522554039955139
D3_oracle_bayes_gate,0.7,0.002342208754271269,0.01842668667238527,0.01842668667238527,4.2798831145773875e-08,4.217360682901017e-08,0.38877493143081665,0.34049326181411743
D3_oracle_bayes_gate,0.9,0.0764930248260498,0.01836500296683924,0.01836500296683924,5.128263325104854e-08,5.2573049913462455e-08,0.14254428446292877,0.23911572992801666
D3_oracle_bayes_gate,0.97,0.05581999197602272,0.016867887571815274,0.016867887571815274,5.577845740845078e-08,5.5274526289395e-08,0.1196984201669693,0.17084923386573792
D3_oracle_bayes_gate,0.99,0.015359561890363693,0.022229236423199673,0.022229236423199673,5.731780561291089e-08,5.650083778618864e-08,0.012798383831977844,0.04674876481294632
D1_x_own,0.01,0.00030909341876395047,0.029247587654689027,0.029247587654689027,5.428225335890602e-08,5.4825669337787986e-08,,
D1_x_own,0.03,0.000294666679110378,0.03103607958682079,0.03103607958682079,5.395979485456337e-08,5.351238741013731e-08,,
D1_x_own,0.1,0.00030645716469734907,0.023465406252154434,0.023465406252154434,5.011303016999591e-08,4.8166953092732e-08,,
D1_x_own,0.3,0.0006766911246813834,0.02304561173969756,0.02304561173969756,4.070761150387625e-08,3.972796491780173e-08,,
D1_x_own,0.5,0.0013277020771056414,0.019643995116998457,0.019643995116998457,3.832680306459224e-08,3.732086995000827e-08,,
D1_x_own,0.7,0.00882352702319622,0.01810646215591538,0.01810646215591538,4.125720920455933e-08,4.217360682901017e-08,,
D1_x_own,0.9,0.21481755375862122,0.02062792600465362,0.02062792600465362,5.0593950362554097e-08,5.2573049913462455e-08,,
D1_x_own,0.97,0.9212372899055481,0.02551696143366374,0.02551696143366374,5.630292321257002e-08,5.5274526289395e-08,,
D1_x_own,0.99,4.189538478851318,0.04000284732069773,0.04000284732069773,5.7099732941878756e-08,5.650083778618864e-08,,
D1_eps_own,0.01,6.495514869689941,0.03952412407036421,0.03952412407036421,5.101649946936959e-08,5.4825669337787986e-08,,
D1_eps_own,0.03,0.4535974860191345,0.052732120112159275,0.052732120112159275,5.2613394529998914e-08,5.351238741013731e-08,,
D1_eps_own,0.1,0.03513963147997856,0.04723910180554096,0.04723910180554096,4.8508585592799136e-08,4.8166953092732e-08,,
D1_eps_own,0.3,0.003933432511985302,0.05003314398556772,0.05003314398556772,4.10076808066151e-08,3.972796491780173e-08,,
D1_eps_own,0.5,0.002455285517498851,0.045861336439120055,0.045861336439120055,3.881722676624122e-08,3.732086995000827e-08,,
D1_eps_own,0.7,0.004862367175519466,0.03411565852340183,0.03411565852340183,4.254573582329613e-08,4.217360682901017e-08,,
D1_eps_own,0.9,0.1332179307937622,0.04145019546213687,0.04145019546213687,5.1879631257634173e-08,5.2573049913462455e-08,,
D1_eps_own,0.97,0.38724836707115173,0.04809228526979559,0.04809228526979559,5.590892016016369e-08,5.5274526289395e-08,,
D1_eps_own,0.99,0.09746158123016357,0.044917480401787446,0.044917480401787446,5.773275191245375e-08,5.650083778618864e-08,,
