page	source_path	description
1	aggregate/endpoint_ambient_swd.png	跨 seed 的闭环终点 full-D SWD 总览
2	aggregate/solver_step_convergence.png	Heun 采样步数的数值收敛检查
3	aggregate/spiral_common_head_gate_controls.png	固定 D0 双头后只替换 gate 的公平对照
4	aggregate/spiral_common_head_teacher_vs_rollout.png	固定 D0 双头的 teacher/rollout Bayes 场误差
5	aggregate/spiral_endpoint_geometry_atlas.png	连续螺旋的六类终点几何指标总览
6	aggregate/teacher_vs_rollout_bayes_error.png	teacher-forced 与真实 rollout 的 Bayes 场误差
7	seed20260831/D2_H128/endpoint_scatter.png	seed=20260831, D2_H128: 参考螺旋与各方法闭环终点散点图
8	seed20260831/D2_H128/mechanism_summary.png	seed=20260831, D2_H128: 单 setting 的终点、teacher 与 rollout 机制摘要
9	seed20260831/D512_H128/endpoint_scatter.png	seed=20260831, D512_H128: 参考螺旋与各方法闭环终点散点图
10	seed20260831/D512_H128/mechanism_summary.png	seed=20260831, D512_H128: 单 setting 的终点、teacher 与 rollout 机制摘要
11	seed20260901/D2_H128/endpoint_scatter.png	seed=20260901, D2_H128: 参考螺旋与各方法闭环终点散点图
12	seed20260901/D2_H128/mechanism_summary.png	seed=20260901, D2_H128: 单 setting 的终点、teacher 与 rollout 机制摘要
13	seed20260901/D512_H128/endpoint_scatter.png	seed=20260901, D512_H128: 参考螺旋与各方法闭环终点散点图
14	seed20260901/D512_H128/mechanism_summary.png	seed=20260901, D512_H128: 单 setting 的终点、teacher 与 rollout 机制摘要
15	seed20260902/D2_H128/endpoint_scatter.png	seed=20260902, D2_H128: 参考螺旋与各方法闭环终点散点图
16	seed20260902/D2_H128/mechanism_summary.png	seed=20260902, D2_H128: 单 setting 的终点、teacher 与 rollout 机制摘要
17	seed20260902/D512_H128/endpoint_scatter.png	seed=20260902, D512_H128: 参考螺旋与各方法闭环终点散点图
18	seed20260902/D512_H128/mechanism_summary.png	seed=20260902, D512_H128: 单 setting 的终点、teacher 与 rollout 机制摘要
