sample_index,global_seed,class_slot,class_id,final_severity,blur_component_consensus,discrete_structure_component_consensus
0,250,0,207,clean_good,false,false
1,250,1,602,clean_good,false,false
2,250,2,795,clean_good,false,false
3,251,0,207,clean_good,false,false
4,251,1,602,clean_good,false,false
5,251,2,795,clean_good,false,false
6,252,0,207,clean_good,false,false
7,252,1,602,clean_good,false,false
8,252,2,795,clean_good,false,false
9,253,0,207,clean_good,false,false
10,253,1,602,clean_good,false,false
11,253,2,795,clean_good,false,false
12,254,0,207,clean_good,false,false
13,254,1,602,clean_good,false,false
14,254,2,795,clean_good,false,false
15,255,0,207,clean_good,false,false
16,255,1,602,clean_good,false,false
17,255,2,795,clean_good,false,false
18,256,0,207,clean_good,false,false
19,256,1,602,clean_good,false,false
20,256,2,795,clean_good,false,false
21,257,0,207,clean_good,false,false
22,257,1,602,clean_good,false,false
23,257,2,795,clean_good,false,false
24,258,0,207,clean_good,false,false
25,258,1,602,clean_good,false,false
26,258,2,795,clean_good,false,false
27,259,0,207,clean_good,false,false
28,259,1,602,clean_good,false,false
29,259,2,795,clean_good,false,false
30,260,0,207,clean_good,false,false
31,260,1,602,clean_good,false,false
32,260,2,795,clean_good,false,false
33,261,0,207,clean_good,false,false
34,261,1,602,clean_good,false,false
35,261,2,795,clean_good,false,false
36,262,0,207,clean_good,false,false
37,262,1,602,clean_good,false,false
38,262,2,795,clean_good,false,false
39,263,0,207,clean_good,false,false
40,263,1,602,clean_good,false,false
41,263,2,795,clean_good,false,false
42,264,0,207,clean_good,false,false
43,264,1,602,clean_good,false,false
44,264,2,795,clean_good,false,false
45,265,0,207,clean_good,false,false
46,265,1,602,clean_good,false,false
47,265,2,795,clean_good,false,false
48,266,0,207,clean_good,false,false
49,266,1,602,clean_good,false,false
50,266,2,795,clean_good,false,false
51,267,0,207,clean_good,false,false
52,267,1,602,clean_good,false,false
53,267,2,795,clean_good,false,false
54,268,0,207,clean_good,false,false
55,268,1,602,clean_good,false,false
56,268,2,795,clean_good,false,false
57,269,0,207,clean_good,false,false
58,269,1,602,clean_good,false,false
59,269,2,795,clean_good,false,false
60,270,0,207,clean_good,false,false
61,270,1,602,clean_good,false,false
62,270,2,795,clean_good,false,false
63,271,0,207,clean_good,false,false
64,271,1,602,clean_good,false,false
65,271,2,795,clean_good,false,false
66,272,0,207,clean_good,false,false
67,272,1,602,clean_good,false,false
68,272,2,795,clean_good,false,false
69,273,0,207,clean_good,false,false
70,273,1,602,clean_good,false,false
71,273,2,795,clean_good,false,false
72,274,0,207,clean_good,false,false
73,274,1,602,clean_good,false,false
74,274,2,795,clean_good,false,false
75,275,0,207,mild_or_disputed,true,false
76,275,1,602,clean_good,false,false
77,275,2,795,clean_good,false,false
78,276,0,207,clean_good,false,false
79,276,1,602,clean_good,false,false
80,276,2,795,clean_good,false,false
81,277,0,207,clean_good,false,false
82,277,1,602,clean_good,false,false
83,277,2,795,clean_good,false,false
84,278,0,207,mild_or_disputed,true,false
85,278,1,602,clean_good,false,false
86,278,2,795,clean_good,false,false
87,279,0,207,clean_good,false,false
88,279,1,602,clean_good,false,false
89,279,2,795,clean_good,false,false
90,280,0,207,clean_good,false,false
91,280,1,602,clean_good,false,false
92,280,2,795,clean_good,false,false
93,281,0,207,clean_good,false,false
94,281,1,602,clean_good,false,false
95,281,2,795,clean_good,false,false
96,282,0,207,clean_good,false,false
97,282,1,602,clean_good,false,false
98,282,2,795,clean_good,false,false
99,283,0,207,clean_good,false,false
100,283,1,602,clean_good,false,false
101,283,2,795,clean_good,false,false
102,284,0,207,clean_good,false,false
103,284,1,602,clean_good,false,false
104,284,2,795,clean_good,false,false
105,285,0,207,clean_good,false,false
106,285,1,602,clean_good,false,false
107,285,2,795,clean_good,false,false
108,286,0,207,clean_good,false,false
109,286,1,602,clean_good,false,false
110,286,2,795,clean_good,false,false
111,287,0,207,clean_good,false,false
112,287,1,602,clean_good,false,false
113,287,2,795,clean_good,false,false
114,288,0,207,clean_good,false,false
115,288,1,602,clean_good,false,false
116,288,2,795,clean_good,false,false
117,289,0,207,clean_good,false,false
118,289,1,602,clean_good,false,false
119,289,2,795,clean_good,false,false
120,290,0,207,clean_good,false,false
121,290,1,602,clean_good,false,false
122,290,2,795,clean_good,false,false
123,291,0,207,clean_good,false,false
124,291,1,602,clean_good,false,false
125,291,2,795,clean_good,false,false
126,292,0,207,clean_good,false,false
127,292,1,602,clean_good,false,false
128,292,2,795,clean_good,false,false
129,293,0,207,clean_good,false,false
130,293,1,602,clean_good,false,false
131,293,2,795,clean_good,false,false
132,294,0,207,mild_or_disputed,true,false
133,294,1,602,clean_good,false,false
134,294,2,795,clean_good,false,false
135,295,0,207,clean_good,false,false
136,295,1,602,clean_good,false,false
137,295,2,795,clean_good,false,false
138,296,0,207,clean_good,false,false
139,296,1,602,clean_good,false,false
140,296,2,795,clean_good,false,false
141,297,0,207,clean_good,false,false
142,297,1,602,clean_good,false,false
143,297,2,795,clean_good,false,false
144,298,0,207,clean_good,false,false
145,298,1,602,clean_good,false,false
146,298,2,795,clean_good,false,false
147,299,0,207,mild_or_disputed,true,false
148,299,1,602,clean_good,false,false
149,299,2,795,clean_good,false,false
150,300,0,207,clean_good,false,false
151,300,1,602,clean_good,false,false
152,300,2,795,clean_good,false,false
153,301,0,207,clean_good,false,false
154,301,1,602,clean_good,false,false
155,301,2,795,clean_good,false,false
156,302,0,207,clean_good,false,false
157,302,1,602,clean_good,false,false
158,302,2,795,clean_good,false,false
159,303,0,207,clean_good,false,false
160,303,1,602,clean_good,false,false
161,303,2,795,clean_good,false,false
162,304,0,207,clean_good,false,false
163,304,1,602,clean_good,false,false
164,304,2,795,clean_good,false,false
165,305,0,207,clean_good,false,false
166,305,1,602,clean_good,false,false
167,305,2,795,clean_good,false,false
168,306,0,207,clean_good,false,false
169,306,1,602,clean_good,false,false
170,306,2,795,clean_good,false,false
171,307,0,207,clean_good,false,false
172,307,1,602,clean_good,false,false
173,307,2,795,clean_good,false,false
174,308,0,207,clean_good,false,false
175,308,1,602,clean_good,false,false
176,308,2,795,clean_good,false,false
177,309,0,207,clean_good,false,false
178,309,1,602,clean_good,false,false
179,309,2,795,clean_good,false,false
180,310,0,207,clean_good,false,false
181,310,1,602,clean_good,false,false
182,310,2,795,clean_good,false,false
183,311,0,207,clean_good,false,false
184,311,1,602,clean_good,false,false
185,311,2,795,clean_good,false,false
186,312,0,207,clean_good,false,false
187,312,1,602,clean_good,false,false
188,312,2,795,clean_good,false,false
189,313,0,207,clean_good,false,false
190,313,1,602,clean_good,false,false
191,313,2,795,clean_good,false,false
192,314,0,207,clean_good,false,false
193,314,1,602,clean_good,false,false
194,314,2,795,clean_good,false,false
195,315,0,207,clean_good,false,false
196,315,1,602,clean_good,false,false
197,315,2,795,clean_good,false,false
198,316,0,207,clean_good,false,false
199,316,1,602,clean_good,false,false
200,316,2,795,clean_good,false,false
201,317,0,207,mild_or_disputed,true,false
202,317,1,602,clean_good,false,false
203,317,2,795,clean_good,false,false
204,318,0,207,clean_good,false,false
205,318,1,602,clean_good,false,false
206,318,2,795,clean_good,false,false
207,319,0,207,clean_good,false,false
208,319,1,602,clean_good,false,false
209,319,2,795,clean_good,false,false
210,320,0,207,clean_good,false,false
211,320,1,602,clean_good,false,false
212,320,2,795,clean_good,false,false
213,321,0,207,clean_good,false,false
214,321,1,602,clean_good,false,false
215,321,2,795,clean_good,false,false
216,322,0,207,mild_or_disputed,true,false
217,322,1,602,clean_good,false,false
218,322,2,795,clean_good,false,false
219,323,0,207,clean_good,false,false
220,323,1,602,clean_good,false,false
221,323,2,795,clean_good,false,false
222,324,0,207,clean_good,false,false
223,324,1,602,clean_good,false,false
224,324,2,795,clean_good,false,false
225,325,0,207,clean_good,false,false
226,325,1,602,clean_good,false,false
227,325,2,795,clean_good,false,false
228,326,0,207,clean_good,false,false
229,326,1,602,clean_good,false,false
230,326,2,795,clean_good,false,false
231,327,0,207,clean_good,false,false
232,327,1,602,clean_good,false,false
233,327,2,795,clean_good,false,false
234,328,0,207,clean_good,false,false
235,328,1,602,clean_good,false,false
236,328,2,795,clean_good,false,false
237,329,0,207,clean_good,false,false
238,329,1,602,clean_good,false,false
239,329,2,795,clean_good,false,false
240,330,0,207,mild_or_disputed,true,false
241,330,1,602,clean_good,false,false
242,330,2,795,clean_good,false,false
243,331,0,207,clean_good,false,false
244,331,1,602,clean_good,false,false
245,331,2,795,clean_good,false,false
246,332,0,207,clean_good,false,false
247,332,1,602,clean_good,false,false
248,332,2,795,clean_good,false,false
249,333,0,207,mild_or_disputed,false,false
250,333,1,602,clean_good,false,false
251,333,2,795,clean_good,false,false
252,334,0,207,clean_good,false,false
253,334,1,602,clean_good,false,false
254,334,2,795,clean_good,false,false
255,335,0,207,mild_or_disputed,true,false
256,335,1,602,clean_good,false,false
257,335,2,795,clean_good,false,false
258,336,0,207,clean_good,false,false
259,336,1,602,clean_good,false,false
260,336,2,795,clean_good,false,false
261,337,0,207,clean_good,false,false
262,337,1,602,clean_good,false,false
263,337,2,795,clean_good,false,false
264,338,0,207,clean_good,false,false
265,338,1,602,clean_good,false,false
266,338,2,795,clean_good,false,false
267,339,0,207,clean_good,false,false
268,339,1,602,clean_good,false,false
269,339,2,795,clean_good,false,false
270,340,0,207,clean_good,false,false
271,340,1,602,clean_good,false,false
272,340,2,795,clean_good,false,false
273,341,0,207,clean_good,false,false
274,341,1,602,clean_good,false,false
275,341,2,795,clean_good,false,false
276,342,0,207,clean_good,false,false
277,342,1,602,clean_good,false,false
278,342,2,795,clean_good,false,false
279,343,0,207,clean_good,false,false
280,343,1,602,clean_good,false,false
281,343,2,795,clean_good,false,false
282,344,0,207,clean_good,false,false
283,344,1,602,clean_good,false,false
284,344,2,795,clean_good,false,false
285,345,0,207,clean_good,false,false
286,345,1,602,clean_good,false,false
287,345,2,795,clean_good,false,false
288,346,0,207,clean_good,false,false
289,346,1,602,clean_good,false,false
290,346,2,795,clean_good,false,false
291,347,0,207,clean_good,false,false
292,347,1,602,clean_good,false,false
293,347,2,795,clean_good,false,false
294,348,0,207,clean_good,false,false
295,348,1,602,clean_good,false,false
296,348,2,795,clean_good,false,false
297,349,0,207,clean_good,false,false
298,349,1,602,clean_good,false,false
299,349,2,795,clean_good,false,false
300,350,0,207,clean_good,false,false
301,350,1,602,clean_good,false,false
302,350,2,795,clean_good,false,false
303,351,0,207,clean_good,false,false
304,351,1,602,clean_good,false,false
305,351,2,795,clean_good,false,false
306,352,0,207,clean_good,false,false
307,352,1,602,clean_good,false,false
308,352,2,795,clean_good,false,false
309,353,0,207,clean_good,false,false
310,353,1,602,clean_good,false,false
311,353,2,795,clean_good,false,false
312,354,0,207,clean_good,false,false
313,354,1,602,clean_good,false,false
314,354,2,795,clean_good,false,false
315,355,0,207,clean_good,false,false
316,355,1,602,clean_good,false,false
317,355,2,795,clean_good,false,false
318,356,0,207,clean_good,false,false
319,356,1,602,clean_good,false,false
320,356,2,795,clean_good,false,false
321,357,0,207,clean_good,false,false
322,357,1,602,clean_good,false,false
323,357,2,795,clean_good,false,false
324,358,0,207,clean_good,false,false
325,358,1,602,clean_good,false,false
326,358,2,795,clean_good,false,false
327,359,0,207,clean_good,false,false
328,359,1,602,clean_good,false,false
329,359,2,795,clean_good,false,false
330,360,0,207,clean_good,false,false
331,360,1,602,clean_good,false,false
332,360,2,795,clean_good,false,false
333,361,0,207,clean_good,false,false
334,361,1,602,clean_good,false,false
335,361,2,795,clean_good,false,false
336,362,0,207,clean_good,false,false
337,362,1,602,clean_good,false,false
338,362,2,795,clean_good,false,false
339,363,0,207,clean_good,false,false
340,363,1,602,clean_good,false,false
341,363,2,795,clean_good,false,false
342,364,0,207,clean_good,false,false
343,364,1,602,clean_good,false,false
344,364,2,795,clean_good,false,false
345,365,0,207,clean_good,false,false
346,365,1,602,clean_good,false,false
347,365,2,795,clean_good,false,false
348,366,0,207,clean_good,false,false
349,366,1,602,clean_good,false,false
350,366,2,795,clean_good,false,false
351,367,0,207,clean_good,false,false
352,367,1,602,clean_good,false,false
353,367,2,795,clean_good,false,false
354,368,0,207,clean_good,false,false
355,368,1,602,clean_good,false,false
356,368,2,795,clean_good,false,false
357,369,0,207,clean_good,false,false
358,369,1,602,clean_good,false,false
359,369,2,795,clean_good,false,false
360,370,0,207,clean_good,false,false
361,370,1,602,clean_good,false,false
362,370,2,795,clean_good,false,false
363,371,0,207,clean_good,false,false
364,371,1,602,clean_good,false,false
365,371,2,795,clean_good,false,false
366,372,0,207,clean_good,false,false
367,372,1,602,clean_good,false,false
368,372,2,795,clean_good,false,false
369,373,0,207,clean_good,false,false
370,373,1,602,clean_good,false,false
371,373,2,795,clean_good,false,false
372,374,0,207,clean_good,false,false
373,374,1,602,clean_good,false,false
374,374,2,795,clean_good,false,false
375,375,0,207,mild_or_disputed,true,false
376,375,1,602,clean_good,false,false
377,375,2,795,clean_good,false,false
378,376,0,207,clean_good,false,false
379,376,1,602,clean_good,false,false
380,376,2,795,clean_good,false,false
381,377,0,207,clean_good,false,false
382,377,1,602,clean_good,false,false
383,377,2,795,clean_good,false,false
384,378,0,207,clean_good,false,false
385,378,1,602,clean_good,false,false
386,378,2,795,clean_good,false,false
387,379,0,207,clean_good,false,false
388,379,1,602,clean_good,false,false
389,379,2,795,clean_good,false,false
390,380,0,207,clean_good,false,false
391,380,1,602,clean_good,false,false
392,380,2,795,clean_good,false,false
393,381,0,207,clean_good,false,false
394,381,1,602,clean_good,false,false
395,381,2,795,clean_good,false,false
396,382,0,207,clean_good,false,false
397,382,1,602,clean_good,false,false
398,382,2,795,clean_good,false,false
399,383,0,207,mild_or_disputed,true,true
400,383,1,602,clean_good,false,false
401,383,2,795,clean_good,false,false
402,384,0,207,clean_good,false,false
403,384,1,602,clean_good,false,false
404,384,2,795,clean_good,false,false
405,385,0,207,clean_good,false,false
406,385,1,602,clean_good,false,false
407,385,2,795,clean_good,false,false
408,386,0,207,clean_good,false,false
409,386,1,602,clean_good,false,false
410,386,2,795,clean_good,false,false
411,387,0,207,clean_good,false,false
412,387,1,602,clean_good,false,false
413,387,2,795,clean_good,false,false
414,388,0,207,clean_good,false,false
415,388,1,602,clean_good,false,false
416,388,2,795,clean_good,false,false
417,389,0,207,clean_good,false,false
418,389,1,602,clean_good,false,false
419,389,2,795,clean_good,false,false
420,390,0,207,clean_good,false,false
421,390,1,602,clean_good,false,false
422,390,2,795,clean_good,false,false
423,391,0,207,clean_good,false,false
424,391,1,602,clean_good,false,false
425,391,2,795,clean_good,false,false
426,392,0,207,clean_good,false,false
427,392,1,602,clean_good,false,false
428,392,2,795,clean_good,false,false
429,393,0,207,clean_good,false,false
430,393,1,602,clean_good,false,false
431,393,2,795,clean_good,false,false
432,394,0,207,clean_good,false,false
