review_id,severity,global_blur,local_blur,soft_fusion_or_melting,discrete_duplication_or_extra_part,detachment_or_floating_part,topology_or_attachment_error,limb_or_object_misalignment,texture_break,other,none
2_723f0874e5b050ae806a,0,0,0,0,0,0,0,0,0,0,1
2_d8216db6bcc80cd1bb2e,0,0,0,0,0,0,0,0,0,0,1
2_712e3f5a0154ed107984,0,0,0,0,0,0,0,0,0,0,1
2_5001812cba568f65f039,0,0,0,0,0,0,0,0,0,0,1
2_55739db2e98ec217d4f3,0,0,0,0,0,0,0,0,0,0,1
2_6d149e4e0132883074a7,0,0,0,0,0,0,0,0,0,0,1
2_41f28ee96cf0e937fd68,0,0,0,0,0,0,0,0,0,0,1
2_838f5658acf6a14044a2,0,0,0,0,0,0,0,0,0,0,1
2_010fca7947eb8bfed97c,0,0,0,0,0,0,0,0,0,0,1
2_e151c02f22e1f73b9f10,0,0,0,0,0,0,0,0,0,0,1
2_d228d2635fa05c1315cf,0,0,0,0,0,0,0,0,0,0,1
2_4cab6f9835cc4e38c45e,0,0,0,0,0,0,0,0,0,0,1
2_91d8f9e45f8d421ef8e8,0,0,0,0,0,0,0,0,0,0,1
2_e3681eaa709ff2848bf6,0,0,0,0,0,0,0,0,0,0,1
2_94b08cea216fcbc13d25,0,0,0,0,0,0,0,0,0,0,1
2_4765d8a460a50a3ed344,0,0,0,0,0,0,0,0,0,0,1
2_e551825c72d5f717a44a,0,0,0,0,0,0,0,0,0,0,1
2_e070318d6a5d18131e03,0,0,0,0,0,0,0,0,0,0,1
2_e036ad15f92caeb9f22f,0,0,0,0,0,0,0,0,0,0,1
2_bf078d9258f25fa808fe,0,0,0,0,0,0,0,0,0,0,1
2_0e5d40d101457d7364a4,0,0,0,0,0,0,0,0,0,0,1
2_2b7a22efd803c367e3cb,0,0,0,0,0,0,0,0,0,0,1
2_7ec7414ae4982df52ccd,0,0,0,0,0,0,0,0,0,0,1
2_7d1e7be43c3fb30cbeba,0,0,0,0,0,0,0,0,0,0,1
2_e386c01f8152ccec27d6,0,0,0,0,0,0,0,0,0,0,1
2_b878c0e05358d77a245c,0,0,0,0,0,0,0,0,0,0,1
2_d05b04e67a1fe501d7e9,0,0,0,0,0,0,0,0,0,0,1
2_dceed0d47b139ce4dad7,0,0,0,0,0,0,0,0,0,0,1
2_07cb531972851798b478,0,0,0,0,0,0,0,0,0,0,1
2_94ee99ec275d3ee73cca,0,0,0,0,0,0,0,0,0,0,1
