review_id,severity,global_blur,local_blur,soft_fusion_or_melting,discrete_duplication_or_extra_part,detachment_or_floating_part,topology_or_attachment_error,limb_or_object_misalignment,texture_break,other,none
1_b6dda879bfffbda79146,0,0,0,0,0,0,0,0,0,0,1
1_0a9b940f6ac3d398dea4,0,0,0,0,0,0,0,0,0,0,1
1_5bc156b89c5de9c60d5a,0,0,0,0,0,0,0,0,0,0,1
1_f4dafa007490fbfdc4bc,0,0,0,0,0,0,0,0,0,0,1
1_8adeb3d2bd0c86a5ae41,0,0,0,0,0,0,0,0,0,0,1
1_a4b2d5a71bafec3f024b,2,1,0,0,0,0,0,0,0,0,0
1_967af2b9aa983f058ae6,0,0,0,0,0,0,0,0,0,0,1
1_7178fd368d3c1a969956,0,0,0,0,0,0,0,0,0,0,1
1_4c0664ce676504e157dc,0,0,0,0,0,0,0,0,0,0,1
1_2440ff9a1f1eabc6ded0,0,0,0,0,0,0,0,0,0,0,1
1_0beec089b49336848897,0,0,0,0,0,0,0,0,0,0,1
1_f3ef1b836ed9c477afa5,0,0,0,0,0,0,0,0,0,0,1
1_d6b901ce5f71c889b501,0,0,0,0,0,0,0,0,0,0,1
1_447195fa609bcd377ffb,0,0,0,0,0,0,0,0,0,0,1
1_3fe5633520f9102a1ea6,0,0,0,0,0,0,0,0,0,0,1
1_2f44787dc4f5c964fc56,1,1,0,0,0,0,0,0,0,0,0
1_1990a7df0a0a32080452,0,0,0,0,0,0,0,0,0,0,1
1_86c4beae9bc7ecae2598,0,0,0,0,0,0,0,0,0,0,1
1_64769ce233f375f16a2f,0,0,0,0,0,0,0,0,0,0,1
1_cd715eb3ae1d91addd71,0,0,0,0,0,0,0,0,0,0,1
1_60d1fa950be597981e21,0,0,0,0,0,0,0,0,0,0,1
1_a10d352922059a1e1897,0,0,0,0,0,0,0,0,0,0,1
1_16d2fb62301117feb05f,0,0,0,0,0,0,0,0,0,0,1
1_f3aef18446fb13cd9047,0,0,0,0,0,0,0,0,0,0,1
1_4991011688bf038d1812,0,0,0,0,0,0,0,0,0,0,1
1_edc851d8964370ba8c7d,0,0,0,0,0,0,0,0,0,0,1
1_2a709945dbf2ba728d1a,0,0,0,0,0,0,0,0,0,0,1
1_4608cf77f2bc0aa98c47,0,0,0,0,0,0,0,0,0,0,1
1_3d96ae0fef0625accec6,0,0,0,0,0,0,0,0,0,0,1
1_585f2592a0ced778bbe0,0,0,0,0,0,0,0,0,0,0,1
1_aeec6353439f0a9ce55a,0,0,0,0,0,0,0,0,0,0,1
1_7133031e829f62f7e073,0,0,0,0,0,0,0,0,0,0,1
1_41eb90988672411838c9,2,1,0,0,0,0,0,0,0,0,0
1_a2d100475ef18b79e338,0,0,0,0,0,0,0,0,0,0,1
1_8c973aab992a5b0f3832,0,0,0,0,0,0,0,0,0,0,1
1_235f030717e22b50e8ba,0,0,0,0,0,0,0,0,0,0,1
1_fa2512c69117bb03590c,0,0,0,0,0,0,0,0,0,0,1
1_fe9eebdbb23e002ce17e,0,0,0,0,0,0,0,0,0,0,1
1_4c82134d68448efec415,0,0,0,0,0,0,0,0,0,0,1
1_ca7661253ce5f15eb805,0,0,0,0,0,0,0,0,0,0,1
1_b9cf91437e3a13630444,0,0,0,0,0,0,0,0,0,0,1
1_5330196b9c741ec4e1e7,0,0,0,0,0,0,0,0,0,0,1
1_86e4e4e1f9bb62c4805d,0,0,0,0,0,0,0,0,0,0,1
1_95686b18cfcc75dd6a17,0,0,0,0,0,0,0,0,0,0,1
1_a0621c6598ffe71c5db9,0,0,0,0,0,0,0,0,0,0,1
1_deacd7a4130943325c5f,0,0,0,0,0,0,0,0,0,0,1
1_792f26e9d1742d9296e8,0,0,0,0,0,0,0,0,0,0,1
1_0c1f2462eb8732d5a836,0,0,0,0,0,0,0,0,0,0,1
1_816e0b015edab5f37be3,0,0,0,0,0,0,0,0,0,0,1
1_c28c90c9a7d1aae30a98,0,0,0,0,0,0,0,0,0,0,1
1_094527a2bf32b6ca5155,0,0,0,0,0,0,0,0,0,0,1
1_5a01a3626ff49506c7ab,0,0,0,0,0,0,0,0,0,0,1
1_8c6303649b294b19224f,0,0,0,0,0,0,0,0,0,0,1
1_61b2300d6a7dbc26eb25,0,0,0,0,0,0,0,0,0,0,1
1_5e2bbbff9101f0f6042e,0,0,0,0,0,0,0,0,0,0,1
1_59e09eb21f3393083eaa,0,0,0,0,0,0,0,0,0,0,1
1_6e408439c19d668893e0,0,0,0,0,0,0,0,0,0,0,1
1_8a65fd88c47eda45823e,0,0,0,0,0,0,0,0,0,0,1
1_0f44f6999d254d865dc2,0,0,0,0,0,0,0,0,0,0,1
1_4f6536310192980c4a20,2,1,0,0,0,0,0,0,0,0,0
1_cb5aeda7356f2f87614d,0,0,0,0,0,0,0,0,0,0,1
1_2c0172c5d35556ea5e01,0,0,0,0,0,0,0,0,0,0,1
1_f06c95dbb8b9df5096c9,0,0,0,0,0,0,0,0,0,0,1
1_1389a4bcfe09f031731e,0,0,0,0,0,0,0,0,0,0,1
1_b87662563902d5e84a9b,0,0,0,0,0,0,0,0,0,0,1
1_39d52128228d3d23982b,0,0,0,0,0,0,0,0,0,0,1
1_e1f634db0ef559215600,0,0,0,0,0,0,0,0,0,0,1
1_0160fb9d69a08f162467,0,0,0,0,0,0,0,0,0,0,1
1_1914028278f1d074e7fe,0,0,0,0,0,0,0,0,0,0,1
1_61740ab1bb67d8426ae1,0,0,0,0,0,0,0,0,0,0,1
1_44f494c08677ce1481bb,0,0,0,0,0,0,0,0,0,0,1
1_add9fb0e413ef11e7f24,0,0,0,0,0,0,0,0,0,0,1
1_fcaf746b968b3fefa8d0,0,0,0,0,0,0,0,0,0,0,1
1_9f867626082b48ed8d7d,0,0,0,0,0,0,0,0,0,0,1
1_d9f29ba7cff237782a6c,0,0,0,0,0,0,0,0,0,0,1
1_815193da0723a61332be,0,0,0,0,0,0,0,0,0,0,1
1_e2c61846a5378018213b,0,0,0,0,0,0,0,0,0,0,1
1_2f4606017f4c22337af6,0,0,0,0,0,0,0,0,0,0,1
1_43c6c80a0fae765c769a,0,0,0,0,0,0,0,0,0,0,1
1_926e3649a7e1036382b2,0,0,0,0,0,0,0,0,0,0,1
1_c98aef97a8493bee7be6,0,0,0,0,0,0,0,0,0,0,1
1_6d96212e14775a136ad1,0,0,0,0,0,0,0,0,0,0,1
1_b22ffdc93fed472d9332,0,0,0,0,0,0,0,0,0,0,1
1_5ba2653e088f03a9880b,0,0,0,0,0,0,0,0,0,0,1
1_295d8a0fabd86889e93b,0,0,0,0,0,0,0,0,0,0,1
1_aab9e867c9a893a04c1f,0,0,0,0,0,0,0,0,0,0,1
1_b6925b37349b2d1aecce,0,0,0,0,0,0,0,0,0,0,1
1_569a027781f145221277,0,0,0,0,0,0,0,0,0,0,1
1_27710e148db2636f691b,0,0,0,0,0,0,0,0,0,0,1
1_9d402ed95d894d058717,0,0,0,0,0,0,0,0,0,0,1
1_8a85e0b7bdcaff353d18,0,0,0,0,0,0,0,0,0,0,1
1_bc8fa6750f97e63a2cd3,0,0,0,0,0,0,0,0,0,0,1
1_62aacc0b7d284efe196e,0,0,0,0,0,0,0,0,0,0,1
1_9940c25a34c96156727d,0,0,0,0,0,0,0,0,0,0,1
1_cbe8311ee4b4d13b5a1e,1,0,0,0,0,0,0,0,1,0,0
1_7c27bf0bb1dadb028928,0,0,0,0,0,0,0,0,0,0,1
1_5121c2b36bd7b70dc589,0,0,0,0,0,0,0,0,0,0,1
1_76a9ccb60ecdbde9f8d5,0,0,0,0,0,0,0,0,0,0,1
1_0394f2b5e438ddac4cdf,0,0,0,0,0,0,0,0,0,0,1
1_c6b5d2d347c0afaccdcd,0,0,0,0,0,0,0,0,0,0,1
1_dd6e32db00df58e2ac76,0,0,0,0,0,0,0,0,0,0,1
1_86cc2f98039f7fa86e81,0,0,0,0,0,0,0,0,0,0,1
1_8d92d7934b9155e6a0a1,0,0,0,0,0,0,0,0,0,0,1
1_b25dfbd833908b0c6a93,0,0,0,0,0,0,0,0,0,0,1
1_8b26df4f028972ef4043,0,0,0,0,0,0,0,0,0,0,1
1_b0b22c8541219686f896,0,0,0,0,0,0,0,0,0,0,1
1_147d76d6c0df42420f41,0,0,0,0,0,0,0,0,0,0,1
1_7831609353097a22de84,0,0,0,0,0,0,0,0,0,0,1
1_d60124b9ee9b0cb9bbd3,0,0,0,0,0,0,0,0,0,0,1
1_2319dd587f92eca3b769,0,0,0,0,0,0,0,0,0,0,1
1_0de7ac149d62c3b45833,0,0,0,0,0,0,0,0,0,0,1
1_dc92d488ba6ad3bad93f,0,0,0,0,0,0,0,0,0,0,1
1_42cc98b5adbb98e78a2c,0,0,0,0,0,0,0,0,0,0,1
1_8d9b87aedf72007cad88,0,0,0,0,0,0,0,0,0,0,1
1_c9243fe96deb10aed384,0,0,0,0,0,0,0,0,0,0,1
1_c790c1c1434833c71f24,0,0,0,0,0,0,0,0,0,0,1
1_a44ebcb8bcaa887f4d4f,0,0,0,0,0,0,0,0,0,0,1
1_06ca290299aca20ae6b4,0,0,0,0,0,0,0,0,0,0,1
1_4c1c8982c2e8b6e7289c,0,0,0,0,0,0,0,0,0,0,1
1_83a6c9e915bd7ac95d29,2,1,0,0,0,0,0,0,0,0,0
1_b381fde3b13383144301,0,0,0,0,0,0,0,0,0,0,1
1_b0e846bbd53ac079c44d,0,0,0,0,0,0,0,0,0,0,1
1_0b3267f4b730ff849a3a,0,0,0,0,0,0,0,0,0,0,1
1_838b30fdc2f03a52cfbd,0,0,0,0,0,0,0,0,0,0,1
1_ce9072ceeccc1670e11f,0,0,0,0,0,0,0,0,0,0,1
1_bf060e3c5e90d2e68270,0,0,0,0,0,0,0,0,0,0,1
1_382a57ffc3b8b911758e,0,0,0,0,0,0,0,0,0,0,1
1_207e2958bc27554c181f,0,0,0,0,0,0,0,0,0,0,1
1_667fea036ba4121ea391,0,0,0,0,0,0,0,0,0,0,1
1_8defebabc74e0189c255,0,0,0,0,0,0,0,0,0,0,1
1_897b3be1cdcbd548254e,0,0,0,0,0,0,0,0,0,0,1
1_3077d754b0d6e3a874aa,0,0,0,0,0,0,0,0,0,0,1
1_e6494d5993119e25eb8b,0,0,0,0,0,0,0,0,0,0,1
1_c01ecb320eb0d148effb,2,1,0,0,0,0,0,0,0,0,0
1_733bdd1916d15f4d792d,0,0,0,0,0,0,0,0,0,0,1
1_e282c6a8668bcba74120,0,0,0,0,0,0,0,0,0,0,1
1_12bf259e4fb843c68b99,0,0,0,0,0,0,0,0,0,0,1
1_b8cce6ceed7643d25073,0,0,0,0,0,0,0,0,0,0,1
1_d8d73831bf6a03d2fc9a,2,1,0,0,0,0,0,0,0,0,0
1_acb9a7072766fe7c425a,2,1,0,0,0,0,0,0,0,0,0
1_4d9c1215a481cbd81d85,0,0,0,0,0,0,0,0,0,0,1
1_29fd110bc6e7a9f8869e,0,0,0,0,0,0,0,0,0,0,1
1_55a2537d8c5a85b6463f,0,0,0,0,0,0,0,0,0,0,1
1_64c9257430cb434b93f6,0,0,0,0,0,0,0,0,0,0,1
1_686048a43e896da30e65,0,0,0,0,0,0,0,0,0,0,1
1_8dc66b3707504c942266,0,0,0,0,0,0,0,0,0,0,1
1_abd3e7eea5635d9186e4,0,0,0,0,0,0,0,0,0,0,1
1_1dcd9c5e006962b8b573,0,0,0,0,0,0,0,0,0,0,1
1_995202664670c913b9f7,0,0,0,0,0,0,0,0,0,0,1
1_3b871ae7694ce7fe857b,0,0,0,0,0,0,0,0,0,0,1
1_65e29e7e9edbaf1bdaa1,0,0,0,0,0,0,0,0,0,0,1
1_6ffbc93d30826e132df5,0,0,0,0,0,0,0,0,0,0,1
1_7f798bc72a87dc837fad,0,0,0,0,0,0,0,0,0,0,1
1_e4c63212e18c27d85f46,0,0,0,0,0,0,0,0,0,0,1
1_8ede2add21b05ebd4daa,0,0,0,0,0,0,0,0,0,0,1
1_1e3b473103d0376662d3,0,0,0,0,0,0,0,0,0,0,1
1_b0097594272a447ef0a7,0,0,0,0,0,0,0,0,0,0,1
1_1855a67776ff7fa3b240,0,0,0,0,0,0,0,0,0,0,1
1_7236df0cee3618db6718,0,0,0,0,0,0,0,0,0,0,1
1_de9d5956d10e6323b0ee,0,0,0,0,0,0,0,0,0,0,1
1_2fb376ad807be86a3728,0,0,0,0,0,0,0,0,0,0,1
