sample_index,run_index,global_seed,class_slot,class_id,pred_xstart_cond_uncond_disagreement_rms_channel4__q1_centered_cusum_range,cfg_variance_raw_gap_tile4x4_concentration_guided3__q2_max_positive_jump,fixed_two_phase_predicted_clean_score_label_free_reference,learned_range_cond_minus_uncond_logstd_gap_tile4x4_concentration_guided3__q2_max_positive_jump,weak_conditional_cfg1_full_running_max_log_e_from_E0__full_maximum,weak_conditional_cfg1_tile4x4_uniform_mixture_running_max_log_e_from_E0__full_maximum,weak_unconditional_full_running_max_log_e_from_E0__full_maximum,weak_unconditional_tile4x4_uniform_mixture_running_max_log_e_from_E0__full_maximum,z_A_low_is_bad,z_B_high_is_bad,S_AND
0,0,10,0,207,3.242312180124297,0.0449347042486705,-0.269002007123216,0.044910746666887,0.6726128044249857,0.7419424717826346,0.7801947002000131,1.0696267912801978,0.10715906897917434,0.6797556574884622,0.10715906897917434
5,0,10,5,602,2.9104015568779094,0.0889758091713028,1.402938051262678,0.0887824963435699,0.6752748991008019,0.1529894905027195,0.8135272061191327,0.4054796291932789,0.0996441794715578,-0.07305828260669173,-0.07305828260669173
6,0,10,6,795,3.817142224911979,0.1260517579024928,-0.99609358337341,0.1261349371361206,0.0,0.3596525007459368,0.0,0.7381481669298275,-3.3658501442008437,0.5099482533958017,-3.3658501442008437
8,1,11,0,207,5.557496469990142,0.0533741541837798,-0.8732600663304495,0.0534648129014613,0.7375374596503341,0.6597534182633639,0.8602200589962011,0.6560760328859132,-0.30830778177856677,3.5878069066808544,-0.30830778177856677
13,1,11,5,602,5.378245218238709,0.1080858015956284,0.1958675284098425,0.1081224288751739,0.1183727338649007,2.5237717839785367,0.1530600998041409,2.1520881593747774,-0.5296804909389431,3.904073634219729,-0.5296804909389431
14,1,11,6,795,4.013680214409121,0.0340602127458379,0.4441836180466542,0.0340631671749639,0.1344127707596336,2.5492424537013494,0.1064132119419209,1.7745912864203557,0.6719599476653215,0.7023405997628143,0.6719599476653215
16,2,12,0,207,4.161200595451115,0.0488554623133825,-0.0095384524896646,0.0488340978272475,0.5693363437437668,0.4382969060942703,0.6679794830268964,0.3014092764195326,-0.08339619518553265,1.8339508616267954,-0.08339619518553265
21,2,12,5,602,6.099379381641878,0.0569176013321303,0.2674393449313247,0.0569063489331856,0.804359990138019,1.0515578238214291,0.878386948887452,0.5935789641745969,1.136899398961865,5.066240323499872,1.136899398961865
22,2,12,6,795,3.131844840194749,0.0431917682649788,-0.58906001587057,0.0432073597193424,0.6049724701439456,0.44180582702004,0.9316993592950495,0.4434391020298824,0.27094112340207843,-0.16089391885936205,-0.16089391885936205
24,3,13,0,207,3.1865598396523214,0.0865749628531658,-0.4551686146757801,0.0865568302869173,0.1831345907510439,3.955384419269528,0.2459951096206572,3.8334187040869447,-1.9155710261039163,0.6097263885163915,-1.9155710261039163
29,3,13,5,602,2.4591160162575845,0.1545377814315278,0.5449020985400393,0.1545312118985362,0.3491051670364561,0.3040227172487881,0.5013999428263491,0.4777234719916529,-2.039830127324859,-0.8003418440838695,-2.039830127324859
30,3,13,6,795,9.817590883659852,0.0648086675961314,-1.078301547820134,0.064823186410417,0.147127419800749,0.3397247923411379,0.4748724181921857,0.3069198809907529,-0.6770215712878688,6.3838273933270955,-0.6770215712878688
32,4,14,0,207,3.684295964829916,0.0445080375681697,-0.5331702858831369,0.0446635027090837,1.2147988091129225,0.9138603380965512,1.3669100654245014,1.704249109942702,0.11916758816765444,1.2349216124675517,0.11916758816765444
37,4,14,5,602,2.68589090771885,0.1107889243734759,0.5547564071318202,0.1109054800605388,0.2576437975073124,0.5902100917364059,0.3422477491485901,0.1557090794817885,-0.6202414464698495,-0.43487555750876283,-0.6202414464698495
38,4,14,6,795,3.298286978472722,0.0426974418140042,0.2114820677118824,0.0426268306951713,2.086948309723432,0.8692266925285236,2.45048840483806,0.5721720043431752,0.2964002402780568,0.002037398386598097,0.002037398386598097
40,5,15,0,207,2.371316755262574,0.0438087194467579,-0.9779493022535992,0.043659793342668,2.69006800613502,0.2266832171792021,2.8990867465580017,0.2850534708612454,0.16791726558484502,-0.4142822315889388,-0.4142822315889388
45,5,15,5,602,4.106560250237717,0.1348706822949533,-0.0480866319728307,0.1347940501821348,1.380023091676147,1.622801280542248,0.2401618645612627,2.5062656395824088,-1.3975795521630598,1.8546492911897192,-1.3975795521630598
46,5,15,6,795,8.001403680242001,0.0310694783708376,0.926492355620286,0.0310420507726892,0.5233258275564868,0.2266677435067792,0.4840943940808807,0.1897425248003672,0.8044510934633615,4.605949648666516,0.8044510934633615
48,6,16,0,207,2.690699075865263,0.0391671303415999,0.0923986895258134,0.0392005616373822,0.3680535470077278,1.7326841720890926,0.4078803944429545,1.9085864028129536,0.3844999880690324,-0.013113235900723785,-0.013113235900723785
53,6,16,5,602,2.4698591337538085,0.0949104672583608,0.88811246236591,0.0949068763297857,1.4733749595047754,0.1145355624694608,1.8329133527471195,0.1542390606859024,-0.09964417947155736,-0.7830284315085815,-0.7830284315085815
54,6,16,6,795,2.677248136755713,0.049889200662297,-0.8428313618156669,0.0498951216038228,0.7741407195370628,1.1873904189554627,0.0015008133464131,1.4479669782671785,-0.02235086436513047,-0.6059016583255126,-0.6059016583255126
56,7,17,0,207,2.7115787338527837,0.0738599888503079,0.0146046454068903,0.0738415651402994,0.948772184866034,0.0972606515867024,1.0936327324920687,0.1257486548235136,-1.2979967611697956,0.013113235900723226,-1.2979967611697956
61,7,17,5,602,3.094211310748601,0.0270000998821061,1.09808693321138,0.0270073289141119,0.3854918280555708,0.518305980494143,0.3070466734980908,0.7613036414852985,2.109818559271881,0.22316617042046435,0.22316617042046435
62,7,17,6,795,2.626880282997731,0.0387278987114205,0.1598343798231281,0.0387024261340321,0.511859754097702,0.2334568599564885,0.5269655730210157,0.3643409674237005,0.46850511398927774,-0.6552070856923151,-0.6552070856923151
