sample_index,run_index,global_seed,class_slot,class_id,cohort_role,A_posterior_logstd_concentration_jump,B_withheld_channel_predx0_cusum,z_A_low_is_bad,z_B_high_is_bad,S_INTERSECTION,S_UNION
0,0,30,0,207,label_free_calibration,0.0280803914318955,3.4840349290167207,0.9246012648735064,0.9833782006059972,0.9246012648735064,0.9833782006059972
1,0,30,1,602,label_free_calibration,0.1170477954692525,8.380818573928112,-0.820113427089706,8.74296619151413,-0.820113427089706,8.74296619151413
2,0,30,2,795,label_free_calibration,0.0680880598360401,2.522661078371555,-0.8202026882817994,-0.7572279589384283,-0.8202026882817994,-0.7572279589384283
3,1,31,0,207,label_free_calibration,0.1629695479227481,2.9575136541746323,-5.626899683542003,0.3220265934215732,-5.626899683542003,0.3220265934215732
4,1,31,1,602,label_free_calibration,0.0592378607495467,4.804339513527572,1.0610316107474072,2.979177648630098,1.0610316107474072,2.979177648630098
5,1,31,2,795,label_free_calibration,0.1051603438806017,3.8285351780765424,-2.446008760075701,0.5211008910969813,-2.446008760075701,0.5211008910969813
6,2,32,0,207,label_free_calibration,0.0498778750744828,2.325655103454308,-0.1340919501527624,-0.4716368120266413,-0.4716368120266413,-0.1340919501527624
7,2,32,1,602,label_free_calibration,0.0672997855780987,4.5820281915192,0.7986952154517234,2.620904769324674,0.7986952154517234,2.620904769324674
8,2,32,2,795,label_free_calibration,0.0440544203148996,7.650947507357971,0.2337932568778876,4.262885767874439,0.2337932568778876,4.262885767874439
9,3,33,0,207,label_free_calibration,0.0404696035823273,2.171097867629664,0.3228632359224601,-0.66577270206312,-0.66577270206312,0.3228632359224601
10,3,33,1,602,label_free_calibration,0.0618644863221044,2.0885836882126507,0.9755607710720128,-1.3974849983106294,-1.3974849983106294,0.9755607710720128
11,3,33,2,795,label_free_calibration,0.2142741669909852,5.623225552663582,-7.231198577791583,2.2779352469003142,-7.231198577791583,2.2779352469003142
12,4,34,0,207,label_free_calibration,0.0641390923727476,3.592939969238969,-0.8267523617513599,1.1201713879336497,-0.8267523617513599,1.1201713879336497
13,4,34,1,602,label_free_calibration,0.1121711507295692,2.4698159474667447,-0.6614265837672095,-0.7830980297425943,-0.7830980297425943,-0.6614265837672095
14,4,34,2,795,label_free_calibration,0.0583701923156869,4.071262897254215,-0.3940253316212863,0.7587086713555906,-0.3940253316212863,0.7587086713555906
15,5,35,0,207,label_free_calibration,0.0252282133246758,2.2930256886760083,1.0631301730572196,-0.5126218907617556,-0.5126218907617556,1.0631301730572196
16,5,35,1,602,label_free_calibration,0.1335315788103196,2.678327444385108,-1.3564985205373303,-0.4470646973223375,-1.3564985205373303,-0.4470646973223375
17,5,35,2,795,label_free_calibration,0.0582944024635671,3.895396215168059,-0.3907015654997107,0.586551605432063,-0.3907015654997107,0.586551605432063
18,6,36,0,207,label_free_calibration,0.0634997646211967,2.940078179967127,-0.7957005227481401,0.3001262838992004,-0.7957005227481401,0.3001262838992004
19,6,36,1,602,label_free_calibration,0.059623984638969,2.7083895616957667,1.0484670741829063,-0.3986171363542036,-0.3986171363542036,1.0484670741829063
20,6,36,2,795,label_free_calibration,0.0284338700757199,2.535093624121946,0.9188329321537236,-0.7450576571339125,-0.7450576571339125,0.9188329321537236
21,7,37,0,207,label_free_calibration,0.1096219621052191,2.546083375198461,-3.035833298580804,-0.1947617857884284,-3.035833298580804,-0.1947617857884284
22,7,37,1,602,label_free_calibration,0.0446559659130336,2.5236503624086435,1.5355289310949924,-0.6963394666936523,-0.6963394666936523,1.5355289310949924
23,7,37,2,795,label_free_calibration,0.040550597709041,3.259287073719828,0.3874534969711686,-0.0361398680172,-0.0361398680172,0.3874534969711686
24,8,38,0,207,label_free_calibration,0.0399950126889409,3.1414364657979603,0.3459138855745038,0.5530479269877183,0.3459138855745038,0.5530479269877183
25,8,38,1,602,label_free_calibration,0.1032640648403158,5.697486170669971,-0.3715885048384248,4.418556541282137,-0.3715885048384248,4.418556541282137
26,8,38,2,795,label_free_calibration,0.0775944023036267,3.3884897631863407,-1.2371036077335584,0.090337504866236,-1.2371036077335584,0.090337504866236
27,9,39,0,207,label_free_calibration,0.0435086470702898,2.94961688720576,0.1752583667718956,0.3121076409006308,0.1752583667718956,0.3121076409006308
28,9,39,1,602,label_free_calibration,0.0644271983721632,2.943695963017474,0.8921696882114714,-0.0194016238066651,-0.0194016238066651,0.8921696882114714
29,9,39,2,795,label_free_calibration,0.0293646712101484,2.352862013996189,0.8780126219142065,-0.9234453934898036,-0.9234453934898036,0.8780126219142065
30,10,40,0,207,label_free_calibration,0.0332369994090397,2.416247117865179,0.674147314891558,-0.3578462071803832,-0.3578462071803832,0.674147314891558
31,10,40,1,602,label_free_calibration,0.0468843408451907,4.351016625665922,1.463017234508713,2.248610735429309,1.463017234508713,2.248610735429309
