family,metric,contrast,mean,class_cluster_se,samples,classes
raev2,target_prob,ig_erasure,-0.0024698191552306524,0.0007563867904803182,200,100
raev2,target_prob,pfr_erasure,-0.0017450645716962753,0.0006721986936593748,200,100
raev2,target_prob,conditional_pfr_minus_ig,0.015565635157108772,0.0059166464577713514,200,100
raev2,target_prob,unconditional_pfr_minus_ig,0.01629038974064315,0.005918344254730484,200,100
raev2,target_prob,erasure_interaction,0.0007247545835343772,0.0006200450958792674,200,100
raev2,top1,ig_erasure,-0.005,0.008689364217539193,200,100
raev2,top1,pfr_erasure,0.0,0.007106690545187014,200,100
raev2,top1,conditional_pfr_minus_ig,0.0,0.014213381090374028,200,100
raev2,top1,unconditional_pfr_minus_ig,0.005,0.01506718958599121,200,100
raev2,top1,erasure_interaction,0.005,0.011225422086055427,200,100
raev2,top5,ig_erasure,0.0,0.0,200,100
raev2,top5,pfr_erasure,0.0,0.0,200,100
raev2,top5,conditional_pfr_minus_ig,0.005,0.008689364217539193,200,100
raev2,top5,unconditional_pfr_minus_ig,0.005,0.008689364217539193,200,100
raev2,top5,erasure_interaction,0.0,0.0,200,100
sit,target_prob,ig_erasure,-0.2698458465701515,0.02207543304608548,200,100
sit,target_prob,pfr_erasure,-0.2905336461663137,0.022168295602072577,200,100
sit,target_prob,conditional_pfr_minus_ig,0.0261753164332913,0.013633090551239584,200,100
sit,target_prob,unconditional_pfr_minus_ig,0.005487516837129078,0.0055132833324157615,200,100
sit,target_prob,erasure_interaction,-0.020687799596162224,0.015062389970551239,200,100
sit,top1,ig_erasure,-0.445,0.03685557397915997,200,100
sit,top1,pfr_erasure,-0.48,0.03821787619172552,200,100
sit,top1,conditional_pfr_minus_ig,0.045,0.031054692711310786,200,100
sit,top1,unconditional_pfr_minus_ig,0.01,0.012268049987877066,200,100
sit,top1,erasure_interaction,-0.035,0.034270905291441445,200,100
sit,top5,ig_erasure,-0.575,0.03718300361153948,200,100
sit,top5,pfr_erasure,-0.6,0.03623715376697394,200,100
sit,top5,conditional_pfr_minus_ig,0.035,0.029520580049596696,200,100
sit,top5,unconditional_pfr_minus_ig,0.01,0.017378728435078386,200,100
sit,top5,erasure_interaction,-0.025,0.03361622383686938,200,100
