family,metric,contrast,mean,class_cluster_se,samples,classes
raev2,target_prob,ig_erasure,-0.004829662202610052,0.003066218003537089,128,128
raev2,target_prob,pfr_erasure,-0.0029267632999108173,0.0015670280956759871,128,128
raev2,target_prob,conditional_pfr_minus_ig,0.007409206531519885,0.008298866522742457,128,128
raev2,target_prob,unconditional_pfr_minus_ig,0.00931210543421912,0.007524487629454186,128,128
raev2,target_prob,erasure_interaction,0.001902898902699235,0.001944943927497992,128,128
raev2,top1,ig_erasure,0.0,0.0,128,128
raev2,top1,pfr_erasure,0.0,0.0,128,128
raev2,top1,conditional_pfr_minus_ig,0.0078125,0.02073956712274816,128,128
raev2,top1,unconditional_pfr_minus_ig,0.0078125,0.02073956712274816,128,128
raev2,top1,erasure_interaction,0.0,0.0,128,128
raev2,top5,ig_erasure,0.0,0.0,128,128
raev2,top5,pfr_erasure,0.0078125,0.0078125,128,128
raev2,top5,conditional_pfr_minus_ig,0.015625,0.011004959288293977,128,128
raev2,top5,unconditional_pfr_minus_ig,0.0234375,0.013424675715302162,128,128
raev2,top5,erasure_interaction,0.0078125,0.0078125,128,128
sit,target_prob,ig_erasure,-0.29713129342209754,0.026513466252173486,128,100
sit,target_prob,pfr_erasure,-0.29944891435820864,0.025467804507461594,128,100
sit,target_prob,conditional_pfr_minus_ig,0.01416631655627043,0.014237316222536907,128,100
sit,target_prob,unconditional_pfr_minus_ig,0.011848695620159333,0.006709830923904296,128,100
sit,target_prob,erasure_interaction,-0.0023176209361110978,0.01563609877408539,128,100
sit,top1,ig_erasure,-0.5,0.04300639707524846,128,100
sit,top1,pfr_erasure,-0.4609375,0.04434050383414044,128,100
sit,top1,conditional_pfr_minus_ig,0.015625,0.027108727845146854,128,100
sit,top1,unconditional_pfr_minus_ig,0.0546875,0.020119637855129362,128,100
sit,top1,erasure_interaction,0.0390625,0.03029854517314086,128,100
sit,top5,ig_erasure,-0.578125,0.04404521166550604,128,100
sit,top5,pfr_erasure,-0.59375,0.04569429689245149,128,100
sit,top5,conditional_pfr_minus_ig,0.015625,0.027179704835473797,128,100
sit,top5,unconditional_pfr_minus_ig,0.0,0.02220840795370942,128,100
sit,top5,erasure_interaction,-0.015625,0.03507168550271348,128,100
