model,quartet,label,data_time,residual_energy,pair_difference_energy,certificate_energy
raev2,0,0,0.05,0.05274723462100825,0.051518538628442405,0.04515183930953898
raev2,0,0,0.1,0.054615149825626236,0.04444541277217707,0.028420928803311367
raev2,0,0,0.2,0.02578909289970318,0.03184880789690295,0.01591536481451869
raev2,1,1,0.05,0.040574694864403404,0.06280548005763112,0.026625417357025234
raev2,1,1,0.1,0.042991868874863934,0.042945500199404775,0.02324522545545833
raev2,1,1,0.2,0.024372301909350625,0.029539854953414227,0.016087803725578907
raev2,2,2,0.05,0.02917845719893046,0.0492730334456324,0.029453568848936865
raev2,2,2,0.1,0.037354298535755504,0.042316468944234874,0.02506039271739664
raev2,2,2,0.2,0.02216762783027307,0.02511917567851416,0.015524118785140088
raev2,3,3,0.05,0.03937298417009146,0.04187586114430688,0.036449165279212596
raev2,3,3,0.1,0.03427116792399852,0.05245426249861583,0.023409896211597687
raev2,3,3,0.2,0.021091741746122897,0.029870648973955773,0.014947827509771874
raev2,4,4,0.05,0.04911889281526382,0.07812277084897853,0.03997126368589205
raev2,4,4,0.1,0.04385557206081128,0.05092450163888529,0.026017596444218312
raev2,4,4,0.2,0.027784177986320373,0.02874907913629545,0.017021649392111753
raev2,5,5,0.05,0.04891506494045125,0.06762307597722929,0.039408118280023066
raev2,5,5,0.1,0.03750914729024043,0.037094374890821694,0.02083117456230281
raev2,5,5,0.2,0.020209204099601443,0.02552045274221144,0.014251004760660012
raev2,6,6,0.05,0.0829153347371606,0.056428305443761706,0.04412870993347859
raev2,6,6,0.1,0.04525038990478837,0.06815766949305832,0.03196221262106894
raev2,6,6,0.2,0.01967604047056216,0.025656380590050328,0.01410318498027799
raev2,7,7,0.05,0.03393892898309875,0.04550541432372847,0.02936818428775588
raev2,7,7,0.1,0.04101100313575654,0.04769006676233956,0.023712443988724824
raev2,7,7,0.2,0.02319112894704564,0.030534324214852415,0.01582370058432442
raev2,8,8,0.05,0.08280154018464682,0.06437468399407828,0.0441468119918164
raev2,8,8,0.1,0.052492617308571014,0.05477052990718795,0.02895823368107259
raev2,8,8,0.2,0.025190691927393045,0.031010998353515604,0.015565699905309122
raev2,9,9,0.05,0.0685107730518115,0.06442899276941455,0.048465951964539476
raev2,9,9,0.1,0.05626104959246255,0.05242077347414323,0.026759243335240834
raev2,9,9,0.2,0.026020451124034914,0.030697672968344955,0.016762415460199166
raev2,10,10,0.05,0.047002677777136403,0.05366289076654585,0.03531353909967418
raev2,10,10,0.1,0.054487531379405395,0.05349041601141541,0.027615131385683042
raev2,10,10,0.2,0.023109217006308386,0.02930399666303077,0.015849697994090254
raev2,11,11,0.05,0.049556992325990264,0.06837563981944209,0.03673421242273039
raev2,11,11,0.1,0.04131292981075394,0.05596834765213381,0.026853230500847064
raev2,11,11,0.2,0.021140545238135026,0.028837791190106366,0.014918570116291127
raev2,12,12,0.05,0.03874025082683714,0.05298198040907441,0.030110987611288734
raev2,12,12,0.1,0.056550562609176555,0.04804564618636013,0.026644533808334515
raev2,12,12,0.2,0.021297771861324307,0.025039490040008563,0.014053797804542134
