experiment,kind,depth_order,rms_matched,best_gamma,best_fid,fid_improvement_vs_baseline,sfid,inception_score,condition_name
schedule_4_10_native,schedule,4->10,False,0.5,67.17403476260313,17.796302302074196,212.40383366616538,34.38383102416992,gamma_schedule_sweep_v4_schedule_4_10_native_g0p5
schedule_4_6_8_10_native,schedule,4->6->8->10,False,0.35,67.93674023962723,17.033596825050097,213.7488720064805,33.47285461425781,gamma_schedule_sweep_v4_schedule_4_6_8_10_native_g0p35
schedule_4_6_10_native,schedule,4->6->10,False,0.4,67.94033699906402,17.030000065613308,214.30854738859102,33.31940841674805,gamma_schedule_sweep_v4_schedule_4_6_10_native_g0p4
schedule_4_8_10_native,schedule,4->8->10,False,0.45,68.22867378731758,16.74166327735975,213.67606586827355,33.6756706237793,gamma_schedule_sweep_v4_schedule_4_8_10_native_g0p45
schedule_4_8_native,schedule,4->8,False,0.3,68.28982612574885,16.680510938928478,214.66307807895316,34.42534637451172,gamma_schedule_sweep_v4_schedule_4_8_native_g0p3
schedule_4_6_8_10_rms,schedule,4->6->8->10,True,0.35,68.65819686581824,16.312140198859083,214.496376813476,32.85184860229492,gamma_schedule_sweep_v4_schedule_4_6_8_10_rms_g0p35
schedule_4_8_rms,schedule,4->8,True,0.3,68.6873766718785,16.282960392798827,214.87970729290464,34.29083251953125,gamma_schedule_sweep_v4_schedule_4_8_rms_g0p3
schedule_4_6_8_native,schedule,4->6->8,False,0.3,68.69575860880684,16.274578455870483,215.3226664631544,33.89518356323242,gamma_schedule_sweep_v4_schedule_4_6_8_native_g0p3
schedule_4_6_10_rms,schedule,4->6->10,True,0.35,68.72510012743965,16.245236937237678,214.51644815678958,32.84532928466797,gamma_schedule_sweep_v4_schedule_4_6_10_rms_g0p35
schedule_6_10_native,schedule,6->10,False,0.5,68.73921395120442,16.231123113472904,212.58693447275164,31.866044998168945,gamma_schedule_sweep_v4_schedule_6_10_native_g0p5
schedule_4_6_8_rms,schedule,4->6->8,True,0.3,68.84861762990835,16.121719434768977,215.3429628738054,33.844608306884766,gamma_schedule_sweep_v4_schedule_4_6_8_rms_g0p3
schedule_4_10_rms,schedule,4->10,True,0.4,69.00336367464831,15.966973390029011,213.7377084563724,33.24514389038086,gamma_schedule_sweep_v4_schedule_4_10_rms_g0p4
schedule_4_6_rms,schedule,4->6,True,0.3,69.29202539730204,15.678311667375283,215.74701836614827,34.223487854003906,gamma_schedule_sweep_v4_schedule_4_6_rms_g0p3
schedule_4_6_native,schedule,4->6,False,0.25,69.4467486471579,15.52358841751942,215.51699193967636,34.386783599853516,gamma_schedule_sweep_v4_schedule_4_6_native_g0p25
schedule_4_8_10_rms,schedule,4->8->10,True,0.35,69.50241000379003,15.467927060887291,214.5637749584307,32.99613952636719,gamma_schedule_sweep_v4_schedule_4_8_10_rms_g0p35
schedule_6_8_native,schedule,6->8,False,0.3,69.57948046124619,15.390856603431132,215.10897582859639,32.30256271362305,gamma_schedule_sweep_v4_schedule_6_8_native_g0p3
schedule_6_8_rms,schedule,6->8,True,0.3,69.6605473241255,15.309789740551821,215.42006699478998,32.305206298828125,gamma_schedule_sweep_v4_schedule_6_8_rms_g0p3
depth4_v,static,4,False,0.25,69.73868613129753,15.231650933379797,215.618162740652,34.3632698059082,gamma_schedule_sweep_v4_depth4_v_g0p25
schedule_6_8_10_native,schedule,6->8->10,False,0.35,69.75404897300655,15.216288091670776,214.03324356856558,32.3672981262207,gamma_schedule_sweep_v4_schedule_6_8_10_native_g0p35
schedule_6_10_rms,schedule,6->10,True,0.4,70.20480641711669,14.765530647560638,214.1662194233902,30.764135360717773,gamma_schedule_sweep_v4_schedule_6_10_rms_g0p4
depth6_v,static,6,False,0.25,70.4250036788228,14.54533338585452,216.2182784492611,32.33025360107422,gamma_schedule_sweep_v4_depth6_v_g0p25
schedule_6_8_10_rms,schedule,6->8->10,True,0.35,70.56751629391579,14.402820770761537,215.01621121776043,31.3265323638916,gamma_schedule_sweep_v4_schedule_6_8_10_rms_g0p35
schedule_6_4_rms,schedule,6->4,True,0.3,70.6252518386101,14.345085226067226,216.26236615700827,32.406517028808594,gamma_schedule_sweep_v4_schedule_6_4_rms_g0p3
schedule_6_4_native,schedule,6->4,False,0.25,70.69653955757707,14.273797507100255,216.2120762155639,32.32286834716797,gamma_schedule_sweep_v4_schedule_6_4_native_g0p25
schedule_8_6_4_rms,schedule,8->6->4,True,0.3,72.27121302270848,12.699124041968844,217.62785318945703,31.702699661254883,gamma_schedule_sweep_v4_schedule_8_6_4_rms_g0p3
