weak,gamma,scale_internal,fid,sfid,inception_score,num_samples,noise_fingerprint,label_fingerprint,total_nfe,total_model_forwards
v270,1.5,-1.5,66.01618743066695,218.27112073093622,37.119728088378906,1000,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,8584,17168
v270,2.0,-2.0,63.2904839415433,218.3172933158546,38.004547119140625,1000,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,9130,18260
v270,2.5,-2.5,62.41757925371314,218.42474994048223,37.777408599853516,1000,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,10042,20084
v270,3.0,-3.0,61.26135988051999,218.74425081565528,37.12431335449219,1000,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,10966,21932
v270,3.5,-3.5,61.040592660547986,219.42024984315958,38.52859115600586,1000,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,11980,23960
v270,4.0,-4.0,61.969375987794706,220.47822336349952,38.98876190185547,1000,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,13054,26108
v400,1.5,-1.5,74.59496081809613,218.20609090557832,34.312774658203125,1000,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,8224,16448
v400,2.0,-2.0,72.68084744797119,218.20208441963814,34.84757614135742,1000,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,8944,17888
v400,2.5,-2.5,71.23200942470157,218.2853567999315,34.443031311035156,1000,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,9364,18728
v400,3.0,-3.0,70.9107176060727,218.60910952017673,34.50596618652344,1000,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,10366,20732
v400,3.5,-3.5,70.09078325491373,218.84637106029572,35.09260177612305,1000,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,10978,21956
v400,4.0,-4.0,68.62171869191951,219.06019731886363,33.40037155151367,1000,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,11644,23288
